,lowes_male,lowes_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.37587935,-0.59369177,"('unsociable', 'sociable')",1.2175746,0.93378294,-0.30825707,-0.49024647,0.1778127,-0.0500518,-0.2278645
1,-0.2480423,-0.36929092,"('unfriendly', 'friendly')",-0.6457311,-0.71464926,1.4179462,1.3754295,0.1747243,0.0971631,-0.0775612
2,1.1988388,1.2515112,"('unlikable', 'likable')",1.4521283,1.5580361,0.8976747,1.082672,1.1828806,1.2974065,0.1145259
3,-0.5434799,-0.43997455,"('repellent', 'pleasant')",0.854364,0.81468403,0.38159797,0.39553854,0.2308273,0.2567494,0.0259221
4,0.0771762,-0.06499839,"('disliked', 'liked')",0.15521061,0.15147328,-5.622299,-5.5692306,-1.7966375,-1.8275852,-0.0309477
5,-0.63394094,-0.58848464,"('distant', 'outgoing')",-1.5262152,-1.306233,-0.30115226,-0.1505045,-0.8204362,-0.6817408,0.1386954
6,-0.79404926,-0.68763185,"('distant', 'open')",-2.257564,-1.9749256,0.22874421,0.33961287,-0.9409564,-0.7743149,0.1666415
7,0.67412275,0.59858954,"('insensitive', 'sensitive')",0.78972995,0.70939803,0.4379576,0.3898627,0.6339368,0.5659501,-0.0679867
8,-0.45656365,-0.44485825,"('unaffectionate', 'affectionate')",-0.8631799,-0.78718024,0.09143107,0.13531098,-0.4094375,-0.3655758,0.0438617
9,-0.19131306,-0.22377992,"('unaffectionate', 'caring')",0.16298133,0.15806815,0.9082192,0.96163684,0.2932958,0.2986417,0.0053459
10,-0.29164958,-0.4400403,"('unsympathetic', 'sympathetic')",1.1249261,0.93208504,-0.058769353,-0.18436834,0.2581691,0.1025588,-0.1556103
11,0.29116234,0.13461599,"('unhelpful', 'helpful')",1.7362297,1.5712168,2.366908,2.4184542,1.4647667,1.3747624,-0.0900043
12,0.31953216,0.4447064,"('unsupportive', 'supportive')",1.4264033,1.619512,-1.6673967,-1.5239434,0.0261796,0.1800916,0.153912
13,0.93356967,0.7504666,"('impolite', 'polite')",1.6539785,1.5043213,0.1206968,0.029266842,0.9027483,0.7613516,-0.1413967
14,0.1439468,0.015108116,"('antisocial', 'social')",2.2779136,2.074596,-0.44609693,-0.5625526,0.6585879,0.5090505,-0.1495374
15,0.4010015,0.19319682,"('boring', 'funny')",-0.28692463,-0.40302202,0.3767382,0.32924065,0.163605,0.0398051,-0.1237999
16,-0.40534952,-0.38951942,"('unpopular', 'popular')",-0.93645114,-0.8941312,0.79810643,0.81001854,-0.1812314,-0.1578774,0.023354
17,-0.15077254,-0.070712835,"('nasty', 'nice')",-0.38437328,-0.33295426,-0.2875014,-0.27495483,-0.2742157,-0.2262073,0.0480084
18,-1.102012,-1.043549,"('disagreeable', 'welcoming')",-0.6035822,-0.41781768,-0.58579177,-0.50477,-0.7637954,-0.6553789,0.1084165
19,0.32772723,0.35801268,"('inhospitable', 'hospitable')",-1.0193843,-0.97690094,-0.21523106,-0.064620726,-0.302296,-0.2278363,0.0744597
20,0.5717562,0.6616621,"('rough', 'thoughtful')",-0.058732457,-0.0126163475,0.6795122,0.6950963,0.397512,0.4480474,0.0505354
