,salesforce_male,salesforce_female,tuple,com_male,com_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.07620228,-0.16682573,"('unsociable', 'sociable')",1.4573243,1.3961793,-0.29365435,-0.42214856,0.3624892,0.2690683,-0.0934209
1,-0.70281804,-0.7767561,"('unfriendly', 'friendly')",0.82470715,0.8523375,1.5517389,1.4565356,0.557876,0.5107056,-0.0471704
2,0.7929692,0.8001454,"('unlikable', 'likable')",1.1152039,1.0920745,0.7301399,0.7599527,0.8794377,0.8840575,0.0046198
3,0.42544562,0.6376795,"('repellent', 'pleasant')",0.57785195,0.62975883,0.3504235,0.36400962,0.4512404,0.543816,0.0925756
4,-0.49442905,-0.5811238,"('disliked', 'liked')",-2.8685493,-2.858154,-6.269018,-6.28973,-3.2106654,-3.2430026,-0.0323372
5,-0.27254534,-0.14801486,"('distant', 'outgoing')",-0.77912456,-0.71335924,-0.6788003,-0.5396188,-0.5768234,-0.4669976,0.1098258
6,-1.1622055,-1.0220897,"('distant', 'open')",-1.0055887,-0.9133729,-0.039836854,0.11479192,-0.735877,-0.6068902,0.1289868
7,0.051414736,0.15531978,"('insensitive', 'sensitive')",0.9565059,1.1699765,0.9328671,1.0148633,0.6469293,0.7800531,0.1331238
8,-0.44557485,-0.50289214,"('unaffectionate', 'affectionate')",-0.99470425,-1.0226923,0.6251906,0.64095193,-0.2716962,-0.2948775,-0.0231813
9,-0.02365298,-0.025428275,"('unaffectionate', 'caring')",0.4299815,0.4454462,1.1692302,1.2357485,0.5251863,0.5519222,0.0267359
10,-0.15605263,-0.041764725,"('unsympathetic', 'sympathetic')",0.14667675,0.30191314,-0.48082888,-0.46674126,-0.1634016,-0.0688643,0.0945373
11,0.573374,0.5727912,"('unhelpful', 'helpful')",1.0929755,1.1119579,1.5057915,1.5448942,1.0573804,1.0765478,0.0191674
12,0.5219572,0.7040301,"('unsupportive', 'supportive')",-0.08768672,0.051159605,-2.3953466,-2.2526727,-0.653692,-0.499161,0.154531
13,0.35464925,0.27070487,"('impolite', 'polite')",0.5207994,0.47064003,-0.81440926,-0.8385232,0.0203465,-0.0323928,-0.0527393
