,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.54123026,-0.73298234,"('unsociable', 'sociable')",-0.40988967,-0.6779073,-0.4755599,-0.7054448,-0.2298849
1,-0.85784024,-1.0278807,"('unfriendly', 'friendly')",1.4626715,1.3138689,0.3024156,0.1429941,-0.1594215
2,0.4825798,0.44745648,"('unlikable', 'likable')",0.9191753,0.9283483,0.7008775,0.6879024,-0.0129751
3,-0.38746125,-0.2967536,"('repellent', 'pleasant')",0.6822369,0.5614059,0.1473878,0.1323262,-0.0150616
4,-0.6185087,-0.6287827,"('disliked', 'liked')",-6.7517295,-6.6377435,-3.6851192,-3.6332631,0.0518561
5,-0.7696105,-0.76588553,"('distant', 'outgoing')",-0.525016,-0.29763585,-0.6473132,-0.5317607,0.1155525
6,-0.9711991,-0.9145843,"('distant', 'open')",-0.3945307,-0.2152099,-0.6828649,-0.5648971,0.1179678
7,-0.3319294,-0.22286628,"('insensitive', 'sensitive')",-0.12656766,-0.13943088,-0.2292485,-0.1811486,0.0480999
8,-0.50692874,-0.6991953,"('unaffectionate', 'affectionate')",1.0004467,0.9292788,0.246759,0.1150417,-0.1317173
9,-0.68252736,-0.7868925,"('unaffectionate', 'caring')",1.1832205,1.250496,0.2503466,0.2318018,-0.0185448
10,-0.4401161,-0.4470029,"('unsympathetic', 'sympathetic')",-0.63128203,-0.7040704,-0.5356991,-0.5755366,-0.0398375
11,-0.16225238,-0.24241222,"('unhelpful', 'helpful')",1.6911168,1.8324952,0.7644322,0.7950415,0.0306093
12,-0.31282547,-0.2947127,"('unsupportive', 'supportive')",-2.279361,-2.170557,-1.2960932,-1.2326349,0.0634583
13,-0.67766505,-0.8360115,"('impolite', 'polite')",-0.89874613,-0.94782686,-0.7882056,-0.8919192,-0.1037136
14,0.5440554,0.5182353,"('antisocial', 'social')",-0.2400065,-0.55258423,0.1520244,-0.0171745,-0.1691989
15,0.6310963,0.45571634,"('boring', 'funny')",0.042238194,0.042812753,0.3366672,0.2492646,-0.0874026
16,-0.3054725,-0.29225254,"('unpopular', 'popular')",0.3441992,0.3702038,0.0193634,0.0389756,0.0196122
17,-0.60648185,-0.6611052,"('nasty', 'nice')",-0.5627864,-0.52612346,-0.5846341,-0.5936143,-0.0089802
18,0.011161499,-0.033317555,"('disagreeable', 'welcoming')",-0.6143781,-0.7148619,-0.3016083,-0.3740897,-0.0724814
19,-1.3795053,-1.4093077,"('inhospitable', 'hospitable')",-0.62726516,-0.34827244,-1.0033852,-0.8787901,0.1245951
20,0.5253159,0.47493762,"('rough', 'thoughtful')",1.0631261,0.9745948,0.794221,0.7247662,-0.0694548
21,-0.04972122,-0.1010091,"('immoral', 'moral')",-0.43660957,-0.4840624,-0.2431654,-0.2925358,-0.0493704
22,-0.24786231,-0.24516687,"('untrustworthy', 'trustworthy')",-1.0286108,-1.1119236,-0.6382366,-0.6785452,-0.0403086
23,0.11274779,0.07630802,"('insincere', 'sincere')",5.4933095,5.451698,2.8030286,2.764003,-0.0390256
24,-0.25546908,-0.24080831,"('dishonest', 'honest')",0.47612524,0.5088834,0.1103281,0.1340376,0.0237095
25,0.0390338,-0.031967532,"('egoistic', 'altruistic')",1.026357,0.8855387,0.5326954,0.4267856,-0.1059098
26,-0.0036506094,-0.31081095,"('hardhearted', 'benevolent')",1.5860578,1.238738,0.7912036,0.4639635,-0.3272401
27,-0.7130842,-0.6314064,"('hardhearted', 'softhearted')",0.9455229,0.8232253,0.1162193,0.0959094,-0.0203099
28,-0.31181067,-0.41201478,"('disloyal', 'loyal')",1.3467118,1.2131615,0.5174506,0.4005733,-0.1168773
29,-0.27486232,-0.16377415,"('unfair', 'fair')",-0.2910322,-0.43841296,-0.2829472,-0.3010935,-0.0181463
30,0.78392893,0.6881349,"('intolerant', 'tolerant')",0.80303705,0.7460804,0.793483,0.7171077,-0.0763753
31,-1.1356372,-1.0953456,"('evil', 'good')",-0.9211129,-0.8725898,-1.028375,-0.9839677,0.0444073
32,-0.87009025,-0.9526115,"('unkind', 'kind')",0.49565834,0.15778849,-0.187216,-0.3974115,-0.2101955
33,1.0556232,0.94008875,"('wrong', 'right')",-0.52987486,-0.5009037,0.2628742,0.2195925,-0.0432817
34,-0.111447215,-0.037318353,"('mean', 'honorable')",5.594145,5.8741937,2.7413487,2.9184377,0.177089
35,-0.52976984,-0.4585131,"('corrupt', 'incorrupt')",-0.3333837,-0.24445422,-0.4315768,-0.3514837,0.0800931
36,-0.7427207,-0.796924,"('hostile', 'amicable')",0.070300505,0.034308836,-0.3362101,-0.3813076,-0.0450975
37,-0.13745509,-0.02036364,"('fake', 'genuine')",0.13823545,0.21449289,0.0003902,0.0970646,0.0966744
38,-0.5954154,-0.62915736,"('untruthful', 'truthful')",-0.09860167,0.15997621,-0.3470085,-0.2345906,0.1124179
39,0.8982088,0.7241127,"('exploitative', 'cooperative')",0.07488657,0.015364445,0.4865477,0.3697386,-0.1168091
40,0.3660562,0.36009353,"('stingy', 'generous')",-2.1436062,-2.214166,-0.888775,-0.9270362,-0.0382612
41,-0.058705933,-0.22002383,"('unforgiving', 'forgiving')",0.14528367,-0.027139572,0.0432889,-0.1235817,-0.1668706
42,0.30928144,0.43622282,"('unreliable', 'reliable')",-3.2556794,-3.1626322,-1.473199,-1.3632047,0.1099943
43,-0.58937776,-0.615044,"('irresponsible', 'responsible')",0.15864807,0.093349926,-0.2153648,-0.260847,-0.0454822
44,-0.174135,-0.18237075,"('prejudiced', 'unprejudiced')",-1.4243573,-1.5484021,-0.7992461,-0.8653864,-0.0661403
45,-0.32912505,-0.30881253,"('incompetent', 'competent')",0.10633352,0.011912891,-0.1113958,-0.1484498,-0.037054
46,0.23954183,0.23287375,"('uncompetitive', 'competitive')",-0.7218909,-0.7548178,-0.2411745,-0.260972,-0.0197975
47,0.11714166,0.15221341,"('stupid', 'smart')",5.538954,5.626656,2.8280478,2.8894348,0.061387
48,0.35776785,0.30557358,"('unintelligent', 'intelligent')",0.6985481,0.7285253,0.5281579,0.5170494,-0.0111085
49,0.1759902,0.3125773,"('unable', 'able')",0.010239873,0.23887159,0.093115,0.2757244,0.1826094
50,-0.5703426,-0.41670322,"('clumsy', 'skillful')",0.21340218,0.24274418,-0.1784702,-0.0869795,0.0914907
51,-0.6427177,-0.67009336,"('uneducated', 'educated')",0.18557209,0.08212643,-0.2285728,-0.2939835,-0.0654107
52,-0.43412256,-0.6025785,"('irrational', 'rational')",0.48786938,0.45486072,0.0268734,-0.0738589,-0.1007323
53,-0.6012531,-0.7065787,"('uncreative', 'creative')",0.36262226,0.3672312,-0.1193154,-0.1696737,-0.0503583
54,-0.3750802,-0.38730454,"('incapable', 'capable')",0.891956,1.1148362,0.2584379,0.3637658,0.1053279
55,0.3307374,0.30088505,"('incompetent', 'clever')",0.1679467,0.04568795,0.2493421,0.1732865,-0.0760556
56,0.50533384,0.4273336,"('impractical', 'practical')",-0.34200424,-0.31848577,0.0816648,0.0544239,-0.0272409
57,-0.6300285,-0.8431017,"('unimaginative', 'imaginative')",-3.0492306,-3.099804,-1.8396295,-1.9714528,-0.1318233
58,0.5130942,0.48698738,"('undiscriminating', 'discriminating')",0.29923132,0.37967852,0.4061627,0.4333329,0.0271702
59,-0.11391576,-0.05574667,"('foolish', 'wise')",0.22580709,0.43492097,0.0559457,0.1895871,0.1336414
60,0.5059867,0.51455027,"('inefficient', 'efficient')",-0.22270252,-0.11129789,0.1416421,0.2016262,0.0599841
61,-0.22981283,-0.37563378,"('illogical', 'logical')",0.32471597,0.07361141,0.0474516,-0.1510112,-0.1984628
62,0.58179307,0.6783559,"('incompetent', 'brilliant')",0.41531283,0.7322584,0.4985529,0.7053071,0.2067542
63,-0.34492624,-0.3254665,"('unperceptive', 'insightful')",0.38197988,0.59590214,0.0185268,0.1352178,0.116691
64,-0.4797108,-0.46011707,"('shy', 'confident')",-6.287363,-6.241599,-3.3835368,-3.350858,0.0326788
65,-0.29550642,-0.38611752,"('insecure', 'secure')",-0.5953343,-0.60049206,-0.4454204,-0.4933048,-0.0478844
66,-0.393335,-0.39130634,"('inactive', 'active')",0.3798664,0.42152873,-0.0067343,0.0151112,0.0218455
67,1.078429,0.99629974,"('doubtful', 'determined')",-0.34029686,-0.4474394,0.3690661,0.2744302,-0.0946359
68,-0.15112416,-0.029158607,"('dependent', 'independent')",-0.7345586,-0.5563414,-0.4428414,-0.29275,0.1500914
69,0.64600706,0.6423344,"('lazy', 'industrious')",-0.68390685,-0.532149,-0.0189499,0.0550927,0.0740426
70,-0.28033698,-0.23093653,"('lethargic', 'energetic')",-0.33495206,-0.2963097,-0.3076445,-0.2636231,0.0440214
71,0.084027484,0.048682563,"('diffident', 'self-confident')",0.28085712,0.24720368,0.1824423,0.1479431,-0.0344992
72,-0.50922465,-0.57201815,"('unambitious', 'ambitious')",-0.5202781,-0.46679002,-0.5147514,-0.5194041,-0.0046527
73,0.35186416,0.44250596,"('helpless', 'self-reliant')",-3.0397804,-2.8679707,-1.3439581,-1.2127323,0.1312258
