,healthpeak_male,healthpeak_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.4444585,-1.56106,"('unsociable', 'sociable')",0.9079686,0.76048124,-0.49299055,-0.663729,-0.3431602,-0.4881026,-0.1449424
1,-1.0717732,-1.0376747,"('unfriendly', 'friendly')",-0.5158056,-0.56111354,1.7747098,1.5792937,0.062377,-0.0064982,-0.0688752
2,0.5068767,0.5111642,"('unlikable', 'likable')",1.1756855,1.2411087,0.70579016,0.798531,0.7961175,0.850268,0.0541505
3,-1.0309826,-0.9648303,"('repellent', 'pleasant')",0.31059662,0.39653403,-0.082350925,0.03636886,-0.267579,-0.1773091,0.0902699
4,0.6078427,0.6614971,"('disliked', 'liked')",-0.54635143,-0.461749,-5.6146955,-5.502894,-1.8510682,-1.7677153,0.0833529
5,0.58476007,0.6668574,"('distant', 'outgoing')",-1.4157081,-1.323705,0.19516453,0.16547051,-0.2119278,-0.1637923,0.0481355
6,0.42198128,0.5155334,"('distant', 'open')",-1.81148,-1.7198848,0.61128163,0.5410539,-0.2594057,-0.2210992,0.0383065
7,-0.46297175,-0.47544327,"('insensitive', 'sensitive')",1.3235552,1.3344654,0.7770905,0.7688506,0.5458913,0.5426242,-0.0032671
8,-1.1443025,-1.1222868,"('unaffectionate', 'affectionate')",-1.155799,-1.1449193,0.47395182,0.34152642,-0.6087166,-0.6418933,-0.0331767
9,-0.79903084,-0.7812133,"('unaffectionate', 'caring')",0.26738346,0.30823696,1.0647188,1.0253167,0.1776905,0.1841135,0.006423
10,-1.9038963,-1.9437416,"('unsympathetic', 'sympathetic')",0.8625776,0.8786243,-0.28351876,-0.2740255,-0.4416125,-0.4463809,-0.0047684
11,-0.5859269,-0.605092,"('unhelpful', 'helpful')",0.9319723,0.9910405,1.8680936,1.8963461,0.7380463,0.7607649,0.0227186
12,0.38371027,0.48725888,"('unsupportive', 'supportive')",1.5608958,1.743118,-1.2022166,-1.1127654,0.2474631,0.3725372,0.1250741
13,-0.20324323,-0.34020904,"('impolite', 'polite')",1.1012696,0.97065854,-0.010955319,-0.124487326,0.2956903,0.1686541,-0.1270362
14,-0.8782,-0.91100806,"('antisocial', 'social')",1.7247939,1.723204,-0.79949504,-0.7975173,0.0156996,0.0048929,-0.0108067
15,0.77237844,0.72162634,"('boring', 'funny')",-0.28130314,-0.276469,0.6607695,0.59921944,0.3839483,0.3481256,-0.0358227
16,-0.5173934,-0.44721034,"('unpopular', 'popular')",-0.81749743,-0.69195926,0.5264197,0.58782184,-0.2694904,-0.1837826,0.0857078
17,0.17078473,0.26724887,"('nasty', 'nice')",-0.14628658,-0.0667434,-0.10437875,-0.033578806,-0.0266269,0.0556422,0.0822691
18,-0.07473694,-0.041567363,"('disagreeable', 'welcoming')",-0.39696345,-0.37449998,-0.20534384,-0.2312794,-0.2256814,-0.2157822,0.0098992
19,0.4198503,0.46429408,"('inhospitable', 'hospitable')",-1.1056646,-1.0734265,0.23887749,0.264241,-0.1489789,-0.1149638,0.0340151
20,-0.68706906,-0.64239067,"('rough', 'thoughtful')",-0.05602727,0.04718765,0.9107501,0.925979,0.0558846,0.1102587,0.0543741
21,-0.30866188,-0.388531,"('immoral', 'moral')",1.462957,1.3987924,-0.48214385,-0.44727716,0.2240504,0.1876614,-0.036389
22,0.078141645,0.067066446,"('untrustworthy', 'trustworthy')",0.22667252,0.2444669,-1.130545,-1.1502703,-0.2752436,-0.279579,-0.0043354
23,-0.8868835,-0.9579689,"('insincere', 'sincere')",1.3987237,1.3376358,5.322896,5.1783853,1.9449121,1.852684,-0.0922281
24,-0.29805028,-0.3936977,"('dishonest', 'honest')",0.2645248,0.22160459,0.9628669,0.8434112,0.3097805,0.2237727,-0.0860078
25,0.10359639,0.11516879,"('egoistic', 'altruistic')",-0.27237293,-0.23919514,1.3260686,1.2823827,0.385764,0.3861188,0.0003548
26,-0.2890743,-0.29628304,"('hardhearted', 'benevolent')",0.7932216,0.84044945,1.611029,1.4941975,0.7050587,0.6794546,-0.0256041
27,0.0909454,0.16927671,"('hardhearted', 'softhearted')",0.19372113,0.2663792,1.5611594,1.520121,0.6152753,0.6519256,0.0366503
28,-1.5337924,-1.6221668,"('disloyal', 'loyal')",0.12370566,-0.016912267,0.6814496,0.5093151,-0.2428791,-0.3765879,-0.1337088
29,-0.23260209,-0.21635005,"('unfair', 'fair')",-0.6060894,-0.5723674,-0.5658298,-0.7188298,-0.4681737,-0.5025158,-0.0343421
30,-0.35886207,-0.41634843,"('intolerant', 'tolerant')",2.088578,2.072296,1.4597657,1.3936498,1.0631606,1.0165324,-0.0466282
31,0.19368215,0.27511123,"('evil', 'good')",-2.3918202,-2.3240676,-0.794492,-0.8830516,-0.9975433,-0.977336,0.0202073
