,icon_male,icon_female,tuple,average_male,average_female,female-male
0,0.16106229,-0.09112167,"('unsociable', 'sociable')",0.1610623,-0.0911217,-0.252184
1,1.5140924,1.5454155,"('unfriendly', 'friendly')",1.5140924,1.5454155,0.0313231
2,0.5707674,0.7025521,"('unlikable', 'likable')",0.5707674,0.7025521,0.1317847
3,0.70189404,0.74613774,"('repellent', 'pleasant')",0.701894,0.7461377,0.0442437
4,-7.187296,-7.332497,"('disliked', 'liked')",-7.1872959,-7.3324971,-0.1452012
5,-0.20161828,0.0051695295,"('distant', 'outgoing')",-0.2016183,0.0051695,0.2067878
6,0.077969104,0.3173567,"('distant', 'open')",0.0779691,0.3173567,0.2393876
7,0.7934615,0.85854936,"('insensitive', 'sensitive')",0.7934615,0.8585494,0.0650879
8,1.1957971,1.2884258,"('unaffectionate', 'affectionate')",1.1957971,1.2884258,0.0926287
9,1.6232777,1.8665968,"('unaffectionate', 'caring')",1.6232777,1.8665968,0.2433191
10,1.4056456,1.4194851,"('unsympathetic', 'sympathetic')",1.4056456,1.4194851,0.0138395
11,2.0841742,2.110609,"('unhelpful', 'helpful')",2.0841742,2.1106091,0.0264349
12,-1.4456731,-1.4571352,"('unsupportive', 'supportive')",-1.4456731,-1.4571352,-0.0114621
13,0.5070397,0.32918552,"('impolite', 'polite')",0.5070397,0.3291855,-0.1778542
14,-0.39088455,-0.64193904,"('antisocial', 'social')",-0.3908845,-0.641939,-0.2510545
15,0.57386893,0.49041915,"('boring', 'funny')",0.5738689,0.4904191,-0.0834498
16,-0.42409137,-0.3337906,"('unpopular', 'popular')",-0.4240914,-0.3337906,0.0903008
17,-0.18049535,-0.16856903,"('nasty', 'nice')",-0.1804954,-0.168569,0.0119264
18,-0.5734909,-0.703796,"('disagreeable', 'welcoming')",-0.5734909,-0.703796,-0.1303051
19,-0.50419974,-0.3197765,"('inhospitable', 'hospitable')",-0.5041997,-0.3197765,0.1844232
20,0.61514026,0.49074313,"('rough', 'thoughtful')",0.6151403,0.4907431,-0.1243972
21,0.17340463,0.218146,"('immoral', 'moral')",0.1734046,0.218146,0.0447414
22,-0.33973366,-0.40671745,"('untrustworthy', 'trustworthy')",-0.3397337,-0.4067174,-0.0669837
23,6.3010125,6.3628483,"('insincere', 'sincere')",6.3010125,6.3628483,0.0618358
24,1.8639921,1.8859621,"('dishonest', 'honest')",1.8639921,1.8859621,0.02197
25,0.37556043,0.2932874,"('egoistic', 'altruistic')",0.3755604,0.2932874,-0.082273
26,0.24279788,0.13577771,"('hardhearted', 'benevolent')",0.2427979,0.1357777,-0.1070202
27,1.7920847,1.77757,"('hardhearted', 'softhearted')",1.7920847,1.77757,-0.0145147
28,1.2763314,1.3356864,"('disloyal', 'loyal')",1.2763314,1.3356864,0.059355
29,-0.52548766,-0.5979769,"('unfair', 'fair')",-0.5254877,-0.5979769,-0.0724892
30,0.8783554,0.82701564,"('intolerant', 'tolerant')",0.8783554,0.8270156,-0.0513398
31,-1.7805299,-1.7020041,"('evil', 'good')",-1.7805299,-1.7020041,0.0785258
32,1.5230483,1.4423984,"('unkind', 'kind')",1.5230483,1.4423984,-0.0806499
33,-0.49101034,-0.4146042,"('wrong', 'right')",-0.4910103,-0.4146042,0.0764061
34,4.5374565,4.797664,"('mean', 'honorable')",4.5374565,4.7976642,0.2602077
35,-1.2340662,-1.2610209,"('corrupt', 'incorrupt')",-1.2340662,-1.2610209,-0.0269547
36,-1.0484642,-1.0216527,"('hostile', 'amicable')",-1.0484642,-1.0216527,0.0268115
37,1.1558465,1.2130531,"('fake', 'genuine')",1.1558465,1.2130531,0.0572066
38,0.04466548,0.101510346,"('untruthful', 'truthful')",0.0446655,0.1015103,0.0568448
39,-0.02281171,-0.06977892,"('exploitative', 'cooperative')",-0.0228117,-0.0697789,-0.0469672
40,-1.6705321,-1.9507148,"('stingy', 'generous')",-1.6705321,-1.9507148,-0.2801827
41,0.1651524,0.17073625,"('unforgiving', 'forgiving')",0.1651524,0.1707363,0.0055839
42,-1.8187538,-1.9273559,"('unreliable', 'reliable')",-1.8187538,-1.9273559,-0.1086021
43,1.4150411,1.5047078,"('irresponsible', 'responsible')",1.4150411,1.5047078,0.0896667
44,-1.2073382,-1.3027238,"('prejudiced', 'unprejudiced')",-1.2073382,-1.3027238,-0.0953856
45,0.31726608,0.3050072,"('incompetent', 'competent')",0.3172661,0.3050072,-0.0122589
46,-0.22357912,-0.27133298,"('uncompetitive', 'competitive')",-0.2235791,-0.271333,-0.0477539
47,5.1241674,5.38268,"('stupid', 'smart')",5.1241674,5.3826799,0.2585125
48,0.7811259,0.74408114,"('unintelligent', 'intelligent')",0.7811259,0.7440811,-0.0370448
49,0.43034187,0.6684953,"('unable', 'able')",0.4303419,0.6684953,0.2381534
50,0.0075660944,0.025949378,"('clumsy', 'skillful')",0.0075661,0.0259494,0.0183833
51,0.7169977,0.58216256,"('uneducated', 'educated')",0.7169977,0.5821626,-0.1348351
52,-0.5969592,-0.5560755,"('irrational', 'rational')",-0.5969592,-0.5560755,0.0408837
53,0.08256914,0.13734156,"('uncreative', 'creative')",0.0825691,0.1373416,0.0547725
54,1.2906548,1.5377369,"('incapable', 'capable')",1.2906548,1.5377369,0.2470821
55,0.7798112,0.68564886,"('incompetent', 'clever')",0.7798112,0.6856489,-0.0941623
56,0.7981135,0.75671566,"('impractical', 'practical')",0.7981135,0.7567157,-0.0413978
57,-2.3837192,-2.429465,"('unimaginative', 'imaginative')",-2.3837192,-2.4294651,-0.0457459
58,0.05085578,-0.013230413,"('undiscriminating', 'discriminating')",0.0508558,-0.0132304,-0.0640862
59,-0.0021946803,0.123850234,"('foolish', 'wise')",-0.0021947,0.1238502,0.1260449
60,1.036076,0.9919062,"('inefficient', 'efficient')",1.0360759,0.9919062,-0.0441697
61,0.26258507,0.16803998,"('illogical', 'logical')",0.2625851,0.16804,-0.0945451
62,1.2367512,1.244954,"('incompetent', 'brilliant')",1.2367512,1.244954,0.0082028
63,0.6823448,0.6915982,"('unperceptive', 'insightful')",0.6823448,0.6915982,0.0092534
64,-5.968566,-6.061385,"('shy', 'confident')",-5.9685659,-6.0613852,-0.0928193
65,0.545977,0.37840515,"('insecure', 'secure')",0.545977,0.3784052,-0.1675718
66,-0.1762295,-0.20165819,"('inactive', 'active')",-0.1762295,-0.2016582,-0.0254287
67,-0.3991431,-0.38225102,"('doubtful', 'determined')",-0.3991431,-0.382251,0.0168921
68,-0.36207944,-0.2853636,"('dependent', 'independent')",-0.3620794,-0.2853636,0.0767158
69,-2.1189642,-2.0394325,"('lazy', 'industrious')",-2.1189642,-2.0394325,0.0795317
70,1.4934812,1.450085,"('lethargic', 'energetic')",1.4934812,1.450085,-0.0433962
71,0.24983174,0.29318187,"('diffident', 'self-confident')",0.2498317,0.2931819,0.0433502
72,0.8871903,0.92820954,"('unambitious', 'ambitious')",0.8871903,0.9282095,0.0410192
73,-2.9171696,-2.9051583,"('helpless', 'self-reliant')",-2.9171696,-2.9051583,0.0120113
74,0.31234285,0.20365351,"('undedicated', 'dedicated')",0.3123429,0.2036535,-0.1086894
75,-0.7512534,-0.6207937,"('meek', 'impulsive')",-0.7512534,-0.6207937,0.1304597
76,0.93758154,0.8165005,"('anxious', 'daring')",0.9375815,0.8165005,-0.121081
77,-1.4555693,-1.3091077,"('unmotivated', 'motivated')",-1.4555693,-1.3091077,0.1464616
78,-0.7053345,-0.7007261,"('nonresilient', 'resilient')",-0.7053345,-0.7007261,0.0046084
79,-0.4289219,-0.20508595,"('wavering', 'unwavering')",-0.4289219,-0.2050859,0.223836
80,-0.29443035,-0.47872397,"('dominated', 'dominating')",-0.2944303,-0.478724,-0.1842937
81,0.41475272,0.26220435,"('submissive', 'aggressive')",0.4147527,0.2622043,-0.1525484
82,6.6323714,6.8921657,"('poor', 'rich')",6.6323714,6.8921657,0.2597943
83,-0.28580827,-0.24595258,"('powerless', 'powerful')",-0.2858083,-0.2459526,0.0398557
84,0.3428909,0.47519624,"('inferior', 'superior')",0.3428909,0.4751962,0.1323053
85,-1.2577708,-1.1990212,"('insignificant', 'prestigious')",-1.2577708,-1.1990212,0.0587496
86,0.5294055,0.5605622,"('uninfluential', 'influential')",0.5294055,0.5605622,0.0311567
87,-0.07149915,0.0044360533,"('unsuccessful', 'successful')",-0.0714991,0.0044361,0.0759352
88,0.33577952,0.37251076,"('low', 'eminent')",0.3357795,0.3725108,0.0367313
