,conifer_male,conifer_female,tuple,average_male,average_female,female-male
0,0.036782768,0.0610929,"('unsociable', 'sociable')",0.0367828,0.0610929,0.0243101
1,0.68491364,0.5133216,"('unfriendly', 'friendly')",0.6849136,0.5133216,-0.171592
2,-0.12950507,-0.098829836,"('unlikable', 'likable')",-0.1295051,-0.0988298,0.0306753
3,-0.65521944,-0.47636047,"('repellent', 'pleasant')",-0.6552194,-0.4763605,0.1788589
4,-3.3056996,-3.2368548,"('disliked', 'liked')",-3.3056996,-3.2368548,0.0688448
5,-0.008691583,-0.04834673,"('distant', 'outgoing')",-0.0086916,-0.0483467,-0.0396551
6,0.14108318,0.057625737,"('distant', 'open')",0.1410832,0.0576257,-0.0834575
7,-0.0391704,0.045111395,"('insensitive', 'sensitive')",-0.0391704,0.0451114,0.0842818
8,0.2452437,0.08202654,"('unaffectionate', 'affectionate')",0.2452437,0.0820265,-0.1632172
9,0.5446984,0.44714952,"('unaffectionate', 'caring')",0.5446984,0.4471495,-0.0975489
10,-0.6646249,-0.54972774,"('unsympathetic', 'sympathetic')",-0.6646249,-0.5497277,0.1148972
11,0.427101,0.5401322,"('unhelpful', 'helpful')",0.427101,0.5401322,0.1130312
12,-0.93717164,-0.77687675,"('unsupportive', 'supportive')",-0.9371716,-0.7768767,0.1602949
13,-0.11480276,-0.042242117,"('impolite', 'polite')",-0.1148028,-0.0422421,0.0725607
14,-0.36188948,-0.29692543,"('antisocial', 'social')",-0.3618895,-0.2969254,0.0649641
15,0.5518353,0.47063464,"('boring', 'funny')",0.5518353,0.4706346,-0.0812007
16,0.071546756,0.020930108,"('unpopular', 'popular')",0.0715468,0.0209301,-0.0506167
17,-0.190035,-0.11613415,"('nasty', 'nice')",-0.190035,-0.1161342,0.0739008
18,-0.6551846,-0.62205184,"('disagreeable', 'welcoming')",-0.6551846,-0.6220518,0.0331328
19,-0.83352554,-0.8207205,"('inhospitable', 'hospitable')",-0.8335255,-0.8207205,0.012805
20,0.21528609,0.25430605,"('rough', 'thoughtful')",0.2152861,0.254306,0.0390199
21,-0.42667386,-0.2389797,"('immoral', 'moral')",-0.4266739,-0.2389797,0.1876942
22,-0.6151854,-0.5885245,"('untrustworthy', 'trustworthy')",-0.6151854,-0.5885245,0.0266609
23,2.5095377,2.541476,"('insincere', 'sincere')",2.5095377,2.541476,0.0319383
24,0.92588556,0.88838905,"('dishonest', 'honest')",0.9258856,0.8883891,-0.0374965
25,0.83701533,0.70063794,"('egoistic', 'altruistic')",0.8370153,0.7006379,-0.1363774
26,0.9341009,0.7651501,"('hardhearted', 'benevolent')",0.9341009,0.7651501,-0.1689508
27,0.5293887,0.45705807,"('hardhearted', 'softhearted')",0.5293887,0.4570581,-0.0723306
28,0.6236712,0.46434516,"('disloyal', 'loyal')",0.6236712,0.4643452,-0.159326
29,0.007743098,-0.035710674,"('unfair', 'fair')",0.0077431,-0.0357107,-0.0434538
30,0.15896437,0.2188408,"('intolerant', 'tolerant')",0.1589644,0.2188408,0.0598764
31,-0.79264504,-0.78272486,"('evil', 'good')",-0.792645,-0.7827249,0.0099201
32,0.4405936,0.37931177,"('unkind', 'kind')",0.4405936,0.3793118,-0.0612818
33,0.51781726,0.4098073,"('wrong', 'right')",0.5178173,0.4098073,-0.10801
34,2.6295972,2.7396164,"('mean', 'honorable')",2.6295972,2.7396164,0.1100192
