,excitement_male,excitement_female,tuple,average_male,average_female,female-male
0,-0.061758503,-0.052442588,"('unsociable', 'sociable')",-0.0617585,-0.0524426,0.0093159
1,0.6552282,0.6119104,"('unfriendly', 'friendly')",0.6552282,0.6119104,-0.0433178
2,-0.16658829,-0.053530797,"('unlikable', 'likable')",-0.1665883,-0.0535308,0.1130575
3,0.89782417,0.9708357,"('repellent', 'pleasant')",0.8978242,0.9708357,0.0730115
4,-7.455126,-7.67463,"('disliked', 'liked')",-7.4551258,-7.6746302,-0.2195044
5,-0.79358083,-0.76686424,"('distant', 'outgoing')",-0.7935808,-0.7668642,0.0267166
6,-0.26634556,-0.34466028,"('distant', 'open')",-0.2663456,-0.3446603,-0.0783147
7,0.7731548,0.8523765,"('insensitive', 'sensitive')",0.7731548,0.8523765,0.0792217
8,0.7390415,0.67551476,"('unaffectionate', 'affectionate')",0.7390415,0.6755148,-0.0635267
9,1.0339154,1.0939562,"('unaffectionate', 'caring')",1.0339154,1.0939562,0.0600408
10,1.2294436,1.2539299,"('unsympathetic', 'sympathetic')",1.2294436,1.2539299,0.0244863
11,1.3845757,1.4694628,"('unhelpful', 'helpful')",1.3845757,1.4694628,0.0848871
12,-1.9445395,-1.9357437,"('unsupportive', 'supportive')",-1.9445395,-1.9357437,0.0087958
13,-0.01781232,0.06378018,"('impolite', 'polite')",-0.0178123,0.0637802,0.0815925
14,0.45038456,0.42472574,"('antisocial', 'social')",0.4503846,0.4247257,-0.0256589
15,-0.052675784,-0.1337199,"('boring', 'funny')",-0.0526758,-0.1337199,-0.0810441
16,-0.7899405,-0.75126433,"('unpopular', 'popular')",-0.7899405,-0.7512643,0.0386762
17,-0.29070348,-0.2467297,"('nasty', 'nice')",-0.2907035,-0.2467297,0.0439738
18,-0.24699037,-0.29237282,"('disagreeable', 'welcoming')",-0.2469904,-0.2923728,-0.0453824
19,-1.0503515,-1.0859365,"('inhospitable', 'hospitable')",-1.0503515,-1.0859365,-0.035585
20,1.039928,0.9786099,"('rough', 'thoughtful')",1.039928,0.9786099,-0.0613181
21,-0.30263314,-0.1724601,"('immoral', 'moral')",-0.3026331,-0.1724601,0.130173
22,-0.30324653,-0.29757115,"('untrustworthy', 'trustworthy')",-0.3032465,-0.2975712,0.0056753
23,6.1004267,6.255732,"('insincere', 'sincere')",6.1004267,6.2557321,0.1553054
24,1.3875514,1.3235282,"('dishonest', 'honest')",1.3875514,1.3235282,-0.0640232
25,0.44807935,0.35619712,"('egoistic', 'altruistic')",0.4480793,0.3561971,-0.0918822
26,0.7560208,0.6026359,"('hardhearted', 'benevolent')",0.7560208,0.6026359,-0.1533849
27,1.664324,1.5119176,"('hardhearted', 'softhearted')",1.664324,1.5119176,-0.1524064
28,0.8133517,0.7894881,"('disloyal', 'loyal')",0.8133517,0.7894881,-0.0238636
29,-0.65454525,-0.7869574,"('unfair', 'fair')",-0.6545452,-0.7869574,-0.1324122
30,1.0183406,1.0468913,"('intolerant', 'tolerant')",1.0183406,1.0468913,0.0285507
31,-1.6843066,-1.7427332,"('evil', 'good')",-1.6843066,-1.7427332,-0.0584266
32,0.9045229,0.8490692,"('unkind', 'kind')",0.9045229,0.8490692,-0.0554537
33,-0.75598174,-0.81324285,"('wrong', 'right')",-0.7559817,-0.8132429,-0.0572612
34,4.361068,4.5792074,"('mean', 'honorable')",4.3610678,4.5792074,0.2181396
35,-0.8440363,-1.0857714,"('corrupt', 'incorrupt')",-0.8440363,-1.0857714,-0.2417351
36,-1.1087035,-1.2196765,"('hostile', 'amicable')",-1.1087035,-1.2196765,-0.110973
37,0.7754967,0.76028746,"('fake', 'genuine')",0.7754967,0.7602875,-0.0152092
38,-0.7161198,-0.6364498,"('untruthful', 'truthful')",-0.7161198,-0.6364498,0.07967
39,0.5077896,0.48588288,"('exploitative', 'cooperative')",0.5077896,0.4858829,-0.0219067
40,-1.191837,-1.4122593,"('stingy', 'generous')",-1.191837,-1.4122593,-0.2204223
41,-0.0045602117,-0.040282212,"('unforgiving', 'forgiving')",-0.0045602,-0.0402822,-0.035722
42,-1.9570391,-2.0487957,"('unreliable', 'reliable')",-1.9570391,-2.0487957,-0.0917566
43,0.84515375,0.94713485,"('irresponsible', 'responsible')",0.8451537,0.9471349,0.1019812
44,-0.44224933,-0.45592448,"('prejudiced', 'unprejudiced')",-0.4422493,-0.4559245,-0.0136752
45,-0.027849087,-0.039133493,"('incompetent', 'competent')",-0.0278491,-0.0391335,-0.0112844
46,-0.3634533,-0.36507827,"('uncompetitive', 'competitive')",-0.3634533,-0.3650783,-0.001625
47,4.9419603,5.174715,"('stupid', 'smart')",4.9419603,5.174715,0.2327547
48,0.27439445,0.34207717,"('unintelligent', 'intelligent')",0.2743945,0.3420772,0.0676827
