,best_male,best_female,tuple,buy_male,buy_female,company_male,company_female,inc_male,inc_female,average_male,average_female,female-male
0,0.39538062,0.37844884,"('unsociable', 'sociable')",0.46127263,0.5070066,1.242069,1.1280888,-0.55264956,-0.71929425,0.3865182,0.3235625,-0.0629557
1,-0.21840012,-0.25561598,"('unfriendly', 'friendly')",0.39492854,0.4867978,-0.34811503,-0.57260865,2.5788152,2.4807067,0.6018072,0.53482,-0.0669872
2,0.062446125,0.15090816,"('unlikable', 'likable')",0.52767974,0.63545036,0.99155086,1.1328714,0.5768809,0.7259514,0.5396394,0.6612954,0.121656
3,-1.0545896,-0.89704835,"('repellent', 'pleasant')",-0.85586655,-0.6534074,0.4953604,0.579198,0.3089247,0.34281403,-0.2765428,-0.1571109,0.1194319
4,-0.05208792,0.1042486,"('disliked', 'liked')",0.76168853,0.8785698,-0.92710894,-0.9744681,-6.866671,-6.9342976,-1.7710449,-1.7314868,0.0395581
5,0.49760765,0.5113969,"('distant', 'outgoing')",0.7697537,0.76427126,-1.2558727,-1.3555624,0.27494463,0.31091937,0.0716083,0.0577563,-0.013852
6,0.38713476,0.4210651,"('distant', 'open')",0.8372844,0.8828654,-1.7112021,-1.8530933,0.99785876,1.0181775,0.1277689,0.1172537,-0.0105152
7,0.7754547,0.7980322,"('insensitive', 'sensitive')",0.050870907,0.19243634,0.901261,1.0074933,0.9074785,0.8673176,0.6587663,0.7163199,0.0575536
8,-0.4112603,-0.40580824,"('unaffectionate', 'affectionate')",0.31964797,0.36422768,-0.6859811,-0.76005447,1.3655655,1.3322082,0.146993,0.1326433,-0.0143497
9,0.81952316,0.8570847,"('unaffectionate', 'caring')",0.7172663,0.8018862,-0.18551266,-0.24963754,1.7741407,1.8000133,0.7813544,0.8023366,0.0209822
10,0.90852386,0.9986223,"('unsympathetic', 'sympathetic')",-0.05711808,0.14289013,0.9749313,1.0592611,-0.5292039,-0.54098004,0.3242833,0.4149483,0.090665
11,0.9598467,0.9862919,"('unhelpful', 'helpful')",0.40168637,0.44716126,1.4110461,1.5421705,1.5791718,1.718542,1.0879377,1.1735414,0.0856037
12,1.635168,1.7941825,"('unsupportive', 'supportive')",0.8865822,1.1258156,1.2810438,1.4698337,-1.7102399,-1.7114694,0.5231385,0.6695907,0.1464522
13,1.141115,1.1094234,"('impolite', 'polite')",0.7266401,0.7421957,1.5614208,1.7031577,-0.6904752,-0.7313847,0.6846752,0.705848,0.0211728
14,-0.333232,-0.33539996,"('antisocial', 'social')",0.5222641,0.56349975,1.342707,1.4527963,-1.0720373,-1.1147146,0.1149255,0.1415454,0.0266199
15,0.9866916,0.8817278,"('boring', 'funny')",0.47727022,0.42189333,0.111078955,0.07074726,0.24553263,0.2146844,0.4551434,0.3972632,-0.0578802
16,-1.0122793,-0.9607059,"('unpopular', 'popular')",-1.449045,-1.292143,-1.0657654,-1.167874,0.68511987,0.6653933,-0.7104924,-0.6888324,0.02166
17,0.45137674,0.5931329,"('nasty', 'nice')",0.39525753,0.48138696,-0.5176182,-0.41699138,-0.5044148,-0.42517114,-0.0438497,0.0580893,0.101939
18,-0.7421223,-0.6675202,"('disagreeable', 'welcoming')",-0.5068296,-0.37010062,-0.6004559,-0.56168103,-0.03824559,-0.037100285,-0.4719133,-0.4091005,0.0628128
