,air_male,air_female,tuple,products_male,products_female,&_male,&_female,chemicals_male,chemicals_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2562888,-1.44905,"('unsociable', 'sociable')",-0.6861422,-0.796794,0.17546701,0.06657125,0.004631795,-0.23642895,-0.6139121,-0.7797916,-0.4752489,-0.6390986,-0.1638497
1,-0.36000636,-0.3735135,"('unfriendly', 'friendly')",-0.60723156,-0.5799064,-0.037706107,0.010971356,-0.061336447,-0.10680732,1.801074,1.7052984,0.1469587,0.1312085,-0.0157502
2,-0.07291189,0.06397545,"('unlikable', 'likable')",-0.46197897,-0.43442217,1.3676908,1.5114305,0.25665802,0.26904514,0.67144555,0.76443493,0.3521807,0.4348927,0.082712
3,-1.4666334,-1.4566929,"('repellent', 'pleasant')",-0.61498696,-0.5803469,-0.35995477,-0.33344972,-0.5394736,-0.53720856,-0.1096925,-0.04189951,-0.6181483,-0.5899195,0.0282288
4,-0.16322502,-0.24660048,"('disliked', 'liked')",0.54434997,0.536692,0.07160029,0.035615724,0.039810695,0.031349167,-4.6567717,-4.7429237,-0.8328471,-0.8771734,-0.0443263
5,-0.47537687,-0.36730415,"('distant', 'outgoing')",0.41475302,0.43278867,0.14931181,0.35600802,-0.44175264,-0.34349692,0.2589218,0.17028847,-0.0188286,0.0496568,0.0684854
6,-0.26251534,-0.13338082,"('distant', 'open')",0.33893013,0.38957018,0.15253395,0.36745167,-1.1237514,-0.99426746,0.63463056,0.5353684,-0.0520344,0.0329484,0.0849828
7,0.13378836,0.10553805,"('insensitive', 'sensitive')",-0.760761,-0.68578684,0.9590804,0.91370255,0.00020190515,-0.08550085,0.502214,0.5285299,0.1669047,0.1552966,-0.0116081
8,-0.33861098,-0.31178924,"('unaffectionate', 'affectionate')",-0.69745487,-0.62030655,-0.6675346,-0.59024984,-0.104528815,-0.08626736,0.406942,0.35644385,-0.2802374,-0.2504338,0.0298036
9,0.14178798,0.14981885,"('unaffectionate', 'caring')",-0.10441071,-0.061185576,-0.47173923,-0.39949262,0.3495164,0.33940214,0.8135092,0.8168544,0.1457327,0.1690794,0.0233467
10,-0.8759314,-0.9338141,"('unsympathetic', 'sympathetic')",-1.3418596,-1.3245612,-0.5841433,-0.6933756,-0.0660698,-0.254586,-0.44467837,-0.42213982,-0.6625365,-0.7256954,-0.0631589
11,0.030916637,0.114058,"('unhelpful', 'helpful')",0.28020665,0.2587133,0.5615021,0.553319,0.9887918,0.93883306,1.7603153,1.7707794,0.7243465,0.7271405,0.002794
12,0.074493185,0.22110659,"('unsupportive', 'supportive')",-0.025327764,0.0663082,0.28439528,0.42650786,0.49169636,0.4864793,-1.4786737,-1.4298031,-0.1306833,-0.0458802,0.0848031
13,0.19108155,0.15014312,"('impolite', 'polite')",-0.4134096,-0.45486346,0.13304728,0.11231507,0.51224303,0.42315596,-0.19060034,-0.24129234,0.0464724,-0.0021083,-0.0485807
14,-0.7212504,-0.9127946,"('antisocial', 'social')",-0.50499433,-0.55792093,0.89263517,0.77828515,0.38165227,0.19430488,-0.8098875,-0.8377616,-0.152369,-0.2671774,-0.1148084
