,severity_male,severity_female,tuple,average_male,average_female,female-male
0,-0.058620997,0.018922787,"('unsociable', 'sociable')",-0.058621,0.0189228,0.0775438
1,0.7858902,0.7600649,"('unfriendly', 'friendly')",0.7858902,0.7600649,-0.0258253
2,-0.24502009,-0.210962,"('unlikable', 'likable')",-0.2450201,-0.210962,0.0340581
3,0.7709387,0.83125967,"('repellent', 'pleasant')",0.7709387,0.8312597,0.060321
4,-7.3212147,-7.538099,"('disliked', 'liked')",-7.3212147,-7.5380988,-0.2168841
5,-0.8517281,-0.89777976,"('distant', 'outgoing')",-0.8517281,-0.8977798,-0.0460517
6,-0.20279706,-0.33896416,"('distant', 'open')",-0.2027971,-0.3389642,-0.1361671
7,0.8929014,1.0051621,"('insensitive', 'sensitive')",0.8929014,1.0051621,0.1122607
8,0.7904218,0.70684326,"('unaffectionate', 'affectionate')",0.7904218,0.7068433,-0.0835785
9,0.98907626,1.0325449,"('unaffectionate', 'caring')",0.9890763,1.0325449,0.0434686
10,1.2196141,1.3167585,"('unsympathetic', 'sympathetic')",1.2196141,1.3167585,0.0971444
11,1.3227313,1.3696432,"('unhelpful', 'helpful')",1.3227313,1.3696432,0.0469119
12,-1.9000432,-1.9090381,"('unsupportive', 'supportive')",-1.9000432,-1.9090381,-0.0089949
13,-0.20036629,-0.07989044,"('impolite', 'polite')",-0.2003663,-0.0798904,0.1204759
14,0.42730024,0.4596958,"('antisocial', 'social')",0.4273002,0.4596958,0.0323956
15,-0.08021,-0.16474846,"('boring', 'funny')",-0.08021,-0.1647485,-0.0845385
16,-0.802294,-0.8184727,"('unpopular', 'popular')",-0.802294,-0.8184727,-0.0161787
17,-0.3993031,-0.40726128,"('nasty', 'nice')",-0.3993031,-0.4072613,-0.0079582
18,-0.34209722,-0.3474639,"('disagreeable', 'welcoming')",-0.3420972,-0.3474639,-0.0053667
19,-1.0018265,-1.120683,"('inhospitable', 'hospitable')",-1.0018265,-1.120683,-0.1188565
20,0.9769732,0.9325006,"('rough', 'thoughtful')",0.9769732,0.9325006,-0.0444726
21,-0.39965746,-0.23149213,"('immoral', 'moral')",-0.3996575,-0.2314921,0.1681654
22,-0.273679,-0.26219848,"('untrustworthy', 'trustworthy')",-0.273679,-0.2621985,0.0114805
23,5.917609,6.0680184,"('insincere', 'sincere')",5.9176092,6.0680184,0.1504092
24,1.2894624,1.2727587,"('dishonest', 'honest')",1.2894624,1.2727587,-0.0167037
25,0.66900074,0.58642155,"('egoistic', 'altruistic')",0.6690007,0.5864215,-0.0825792
26,0.8662509,0.7377834,"('hardhearted', 'benevolent')",0.8662509,0.7377834,-0.1284675
27,1.5822366,1.408992,"('hardhearted', 'softhearted')",1.5822366,1.4089921,-0.1732445
28,0.9716338,0.98096365,"('disloyal', 'loyal')",0.9716338,0.9809636,0.0093298
29,-0.69671166,-0.84777784,"('unfair', 'fair')",-0.6967117,-0.8477778,-0.1510661
30,0.9896122,1.1031197,"('intolerant', 'tolerant')",0.9896122,1.1031197,0.1135075
31,-1.463879,-1.5777689,"('evil', 'good')",-1.463879,-1.5777689,-0.1138899
32,0.92989177,0.8465292,"('unkind', 'kind')",0.9298918,0.8465292,-0.0833626
33,-0.60982466,-0.6959867,"('wrong', 'right')",-0.6098247,-0.6959867,-0.086162
34,4.1703277,4.3523555,"('mean', 'honorable')",4.1703277,4.3523555,0.1820278
35,-0.7143737,-1.0226055,"('corrupt', 'incorrupt')",-0.7143737,-1.0226055,-0.3082318
36,-0.8634506,-1.0140631,"('hostile', 'amicable')",-0.8634506,-1.0140631,-0.1506125
37,0.87937194,0.88915026,"('fake', 'genuine')",0.8793719,0.8891503,0.0097784
38,-0.62147254,-0.5735844,"('untruthful', 'truthful')",-0.6214725,-0.5735844,0.0478881
39,0.5596185,0.5843574,"('exploitative', 'cooperative')",0.5596185,0.5843574,0.0247389
40,-1.0576736,-1.1959317,"('stingy', 'generous')",-1.0576736,-1.1959317,-0.1382581
41,0.06790516,0.09428766,"('unforgiving', 'forgiving')",0.0679052,0.0942877,0.0263825
42,-1.8745693,-1.9456764,"('unreliable', 'reliable')",-1.8745693,-1.9456764,-0.0711071
43,0.8518841,0.9817445,"('irresponsible', 'responsible')",0.8518841,0.9817445,0.1298604
44,-0.5778513,-0.6056752,"('prejudiced', 'unprejudiced')",-0.5778513,-0.6056752,-0.0278239
45,0.029091734,0.004786955,"('incompetent', 'competent')",0.0290917,0.004787,-0.0243047
46,-0.27781147,-0.2024626,"('uncompetitive', 'competitive')",-0.2778115,-0.2024626,0.0753489
47,4.836926,5.017016,"('stupid', 'smart')",4.836926,5.0170159,0.1800899
48,0.043735117,0.124455355,"('unintelligent', 'intelligent')",0.0437351,0.1244554,0.0807203
49,-0.33884105,-0.23745921,"('unable', 'able')",-0.3388411,-0.2374592,0.1013819
50,-0.52085626,-0.62622035,"('clumsy', 'skillful')",-0.5208563,-0.6262203,-0.105364
51,0.43885967,0.35888106,"('uneducated', 'educated')",0.4388597,0.3588811,-0.0799786
52,-0.6155805,-0.816698,"('irrational', 'rational')",-0.6155805,-0.816698,-0.2011175
53,-0.32679117,-0.40342385,"('uncreative', 'creative')",-0.3267912,-0.4034238,-0.0766326
54,0.6934742,0.7130509,"('incapable', 'capable')",0.6934742,0.7130509,0.0195767
55,0.83566785,0.96334726,"('incompetent', 'clever')",0.8356678,0.9633473,0.1276795
56,0.47779077,0.55040413,"('impractical', 'practical')",0.4777908,0.5504041,0.0726133
57,-2.357495,-2.38547,"('unimaginative', 'imaginative')",-2.3574951,-2.3854699,-0.0279748
58,0.08558896,0.08927317,"('undiscriminating', 'discriminating')",0.085589,0.0892732,0.0036842
59,-0.34162837,-0.4373497,"('foolish', 'wise')",-0.3416284,-0.4373497,-0.0957213
60,0.36485213,0.6722441,"('inefficient', 'efficient')",0.3648521,0.6722441,0.307392
61,0.0066154934,-0.06568979,"('illogical', 'logical')",0.0066155,-0.0656898,-0.0723053
62,0.25517437,0.3796967,"('incompetent', 'brilliant')",0.2551744,0.3796967,0.1245223
63,-0.30580032,-0.21768746,"('unperceptive', 'insightful')",-0.3058003,-0.2176875,0.0881128
64,-5.832533,-5.837656,"('shy', 'confident')",-5.8325329,-5.837656,-0.0051231
65,0.6394158,0.773945,"('insecure', 'secure')",0.6394158,0.773945,0.1345292
66,0.012086891,-0.15773125,"('inactive', 'active')",0.0120869,-0.1577312,-0.1698181
