,teradata_male,teradata_female,tuple,corp_male,corp_female,de_male,de_female,average_male,average_female,female-male
0,-1.2987373,-1.3604928,"('unsociable', 'sociable')",0.8924325,0.6920719,0.109770454,0.063194536,-0.0988448,-0.2017421,-0.1028973
1,-0.632638,-0.5784862,"('unfriendly', 'friendly')",-0.52895546,-0.6562637,1.0177003,0.9151108,-0.0479644,-0.1065464,-0.058582
2,0.8740516,0.9004621,"('unlikable', 'likable')",1.2935833,1.3645564,1.1298366,1.1664262,1.0991572,1.1438149,0.0446577
3,-0.32687074,-0.16347873,"('repellent', 'pleasant')",1.5818723,1.582544,0.8883875,0.9372893,0.714463,0.7854515,0.0709885
4,0.77902764,0.8459538,"('disliked', 'liked')",-0.4872147,-0.35157934,-7.040585,-7.120682,-2.2495907,-2.2087692,0.0408215
5,-0.06046457,-0.029444788,"('distant', 'outgoing')",-1.5840015,-1.5195547,-1.1101054,-1.0706112,-0.9181905,-0.8732036,0.0449869
6,-0.020063594,0.07554464,"('distant', 'open')",-2.6187775,-2.5312812,-0.9034567,-0.8675855,-1.1807659,-1.107774,0.0729919
7,-0.60603017,-0.45368958,"('insensitive', 'sensitive')",0.55748874,0.513625,0.8899163,0.87083495,0.2804583,0.3102568,0.0297985
8,0.099683136,0.15672052,"('unaffectionate', 'affectionate')",-1.3871107,-1.4190236,0.44120538,0.41864002,-0.2820741,-0.281221,0.0008531
9,-0.8966027,-0.8640651,"('unaffectionate', 'caring')",-0.41066304,-0.49340302,0.86872673,0.8656976,-0.1461797,-0.1639235,-0.0177438
10,-1.2031345,-1.0860556,"('unsympathetic', 'sympathetic')",-0.050585117,-0.23320624,0.5379363,0.5460765,-0.2385945,-0.2577285,-0.019134
11,-0.3884029,-0.39821118,"('unhelpful', 'helpful')",1.3488119,1.2347146,2.4031098,2.3918135,1.1211729,1.0761057,-0.0450672
12,-0.41446704,-0.21762621,"('unsupportive', 'supportive')",0.3563078,0.42531595,-1.8028061,-1.833096,-0.6203218,-0.5418021,0.0785197
13,-0.22340538,-0.27617615,"('impolite', 'polite')",0.4942927,0.4120232,0.08364706,0.1478385,0.1181781,0.0945618,-0.0236163
14,-0.46854463,-0.48773357,"('antisocial', 'social')",1.9554228,1.9123083,0.2715508,0.26085192,0.586143,0.5618089,-0.0243341
15,0.49081835,0.37019467,"('boring', 'funny')",0.29536268,0.28513956,0.5037359,0.43528727,0.4299723,0.3635405,-0.0664318
16,-0.016274888,0.012388052,"('unpopular', 'popular')",-0.751727,-0.6750325,0.6387726,0.5359511,-0.0430764,-0.0422311,0.0008453
17,-0.35190606,-0.21972916,"('nasty', 'nice')",0.1629111,0.23178382,-0.89074016,-0.88521916,-0.3599117,-0.2910548,0.0688569
18,-0.033521168,0.15016194,"('disagreeable', 'welcoming')",-0.23063198,-0.17298254,-0.53175235,-0.6056217,-0.2653018,-0.2094808,0.055821
19,-0.684341,-0.6588117,"('inhospitable', 'hospitable')",-1.2012457,-1.2325501,-0.42131653,-0.43915045,-0.7689678,-0.7768374,-0.0078696
20,-0.3153389,-0.19205451,"('rough', 'thoughtful')",0.8768462,0.8217734,0.18716435,0.20609218,0.2495572,0.2786037,0.0290465
21,-0.14251764,-0.18174434,"('immoral', 'moral')",1.6644934,1.5417913,0.46511006,0.45183352,0.6623619,0.6039602,-0.0584017
22,0.11720367,0.20575312,"('untrustworthy', 'trustworthy')",0.6304087,0.60882384,-0.4829409,-0.49690065,0.0882238,0.1058921,0.0176683
23,-1.1669812,-1.1142172,"('insincere', 'sincere')",0.58701956,0.46645874,6.843395,6.84685,2.0878112,2.0663638,-0.0214474
24,-0.6187235,-0.58016175,"('dishonest', 'honest')",0.0032770783,-0.020902,1.396076,1.3932528,0.2602098,0.264063,0.0038532
25,-0.049853638,-0.055825643,"('egoistic', 'altruistic')",0.12806022,0.14220175,0.5125433,0.34798408,0.1969166,0.1447867,-0.0521299
26,0.35485798,0.25049505,"('hardhearted', 'benevolent')",1.4870771,1.3905201,0.71213883,0.5987077,0.851358,0.7465742,-0.1047838
