,copart_male,copart_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.28307927,0.24175507,"('unsociable', 'sociable')",0.073417686,-0.13096055,0.1782485,0.0553973,-0.1228512
1,-1.3082819,-1.3046317,"('unfriendly', 'friendly')",1.3342735,1.183667,0.0129958,-0.0604824,-0.0734782
2,0.47786468,0.5218355,"('unlikable', 'likable')",0.6514984,0.71182036,0.5646815,0.616828,0.0521465
3,0.59838414,0.75002414,"('repellent', 'pleasant')",0.24976675,0.26807633,0.4240755,0.5090503,0.0849748
4,-1.4637758,-1.5276575,"('disliked', 'liked')",-5.659271,-5.6693196,-3.5615232,-3.5984886,-0.0369654
5,-2.545246,-2.5011864,"('distant', 'outgoing')",-0.42646924,-0.39732465,-1.4858576,-1.4492555,0.0366021
6,-3.0961816,-3.0443285,"('distant', 'open')",-0.283748,-0.2701314,-1.6899648,-1.6572299,0.0327349
7,1.2958802,1.4325739,"('insensitive', 'sensitive')",0.13301735,0.21193488,0.7144488,0.8222544,0.1078056
8,-1.83383,-1.9224892,"('unaffectionate', 'affectionate')",0.25750124,0.20099887,-0.7881644,-0.8607451,-0.0725807
9,-1.306296,-1.3257854,"('unaffectionate', 'caring')",0.7231559,0.72135854,-0.29157,-0.3022134,-0.0106434
10,0.7884146,0.91997844,"('unsympathetic', 'sympathetic')",-0.5005573,-0.51833636,0.1439286,0.200821,0.0568924
11,1.0601888,1.0610824,"('unhelpful', 'helpful')",1.8464769,1.9434749,1.4533329,1.5022786,0.0489457
12,-0.29181373,-0.15107816,"('unsupportive', 'supportive')",-1.8250698,-1.7255155,-1.0584418,-0.9382968,0.120145
13,1.2556599,1.2465434,"('impolite', 'polite')",-0.24947745,-0.22458573,0.5030912,0.5109788,0.0078876
14,1.6163311,1.6308141,"('antisocial', 'social')",-0.105432294,-0.18544441,0.7554494,0.7226849,-0.0327645
15,-0.037298813,-0.1830124,"('boring', 'funny')",0.64961416,0.59060144,0.3061577,0.2037945,-0.1023632
16,-0.91388166,-0.94893575,"('unpopular', 'popular')",0.76483613,0.7355341,-0.0745228,-0.1067008,-0.032178
17,0.23263934,0.2767083,"('nasty', 'nice')",-0.22939673,-0.227802,0.0016213,0.0244532,0.0228319
18,-0.83580405,-0.8153199,"('disagreeable', 'welcoming')",-0.4168459,-0.44546244,-0.626325,-0.6303912,-0.0040662
19,-1.8894837,-1.858002,"('inhospitable', 'hospitable')",-0.3765246,-0.2881821,-1.1330042,-1.073092,0.0599122
20,0.5475505,0.5977215,"('rough', 'thoughtful')",1.1414348,1.0742265,0.8444927,0.835974,-0.0085187
21,1.7358515,1.7968333,"('immoral', 'moral')",-0.05698208,-0.0943675,0.8394347,0.8512329,0.0117982
22,0.9808717,0.9902485,"('untrustworthy', 'trustworthy')",-0.7902944,-0.87718964,0.0952886,0.0565294,-0.0387592
23,0.9288359,0.96500474,"('insincere', 'sincere')",5.221593,5.168024,3.0752144,3.0665145,-0.0086999
24,0.67174333,0.68617916,"('dishonest', 'honest')",0.297112,0.32193264,0.4844277,0.5040559,0.0196282
25,-0.7717133,-0.82405156,"('egoistic', 'altruistic')",1.406989,1.3225944,0.3176378,0.2492714,-0.0683664
26,-0.20702574,-0.2765881,"('hardhearted', 'benevolent')",1.5862958,1.4539149,0.689635,0.5886634,-0.1009716
27,0.0817336,0.095863625,"('hardhearted', 'softhearted')",0.9109162,0.91660804,0.4963249,0.5062358,0.0099109
28,-0.29326358,-0.31121686,"('disloyal', 'loyal')",0.73867273,0.6051542,0.2227046,0.1469687,-0.0757359
29,-0.12424263,-0.107197344,"('unfair', 'fair')",-0.5771311,-0.7387069,-0.3506868,-0.4229521,-0.0722653
30,1.9201862,1.9104424,"('intolerant', 'tolerant')",1.9171438,1.8465519,1.9186649,1.8784971,-0.0401678
31,-2.3343008,-2.2695208,"('evil', 'good')",-1.2170845,-1.335995,-1.7756927,-1.8027579,-0.0270652
32,1.2769742,1.2150891,"('unkind', 'kind')",1.1203008,0.9911705,1.1986375,1.1031299,-0.0955076
33,-0.53697526,-0.62099135,"('wrong', 'right')",-0.6380746,-0.70171005,-0.5875249,-0.6613507,-0.0738258
34,0.21578224,0.36356574,"('mean', 'honorable')",5.425064,5.6025996,2.8204231,2.9830828,0.1626597
35,-1.8634301,-1.9776465,"('corrupt', 'incorrupt')",-0.4336261,-0.5761678,-1.1485281,-1.2769072,-0.1283791
36,-2.5439973,-2.6188312,"('hostile', 'amicable')",-0.14381182,-0.38340038,-1.3439045,-1.5011158,-0.1572113
37,0.12224579,0.23474222,"('fake', 'genuine')",-0.14095746,-0.10602656,-0.0093558,0.0643578,0.0737136
38,-0.83094406,-0.82683575,"('untruthful', 'truthful')",-0.14369498,-0.069809854,-0.4873195,-0.4483228,0.0389967
39,1.830626,1.8312848,"('exploitative', 'cooperative')",0.104154974,0.08778716,0.9673905,0.959536,-0.0078545
40,-0.1733462,-0.0924586,"('stingy', 'generous')",-1.7789319,-1.7948145,-0.976139,-0.9436365,0.0325025
41,0.38700235,0.4761519,"('unforgiving', 'forgiving')",0.29388887,0.20206562,0.3404456,0.3391088,-0.0013368
42,0.8471809,0.95503694,"('unreliable', 'reliable')",-2.8244092,-2.6934714,-0.9886142,-0.8692173,0.1193969
43,0.9589733,1.0663059,"('irresponsible', 'responsible')",0.470165,0.49679497,0.7145692,0.7815504,0.0669812
44,0.08561449,0.024007862,"('prejudiced', 'unprejudiced')",-1.3596184,-1.3544027,-0.637002,-0.6651974,-0.0281954
45,0.9162527,1.0801429,"('incompetent', 'competent')",-0.013541176,-0.013003948,0.4513558,0.5335695,0.0822137
46,1.075329,1.2659967,"('uncompetitive', 'competitive')",-0.41046503,-0.38588563,0.332432,0.4400555,0.1076235
47,0.7632616,0.7832417,"('stupid', 'smart')",5.151639,5.26833,2.9574504,3.0257859,0.0683355
48,1.1267848,1.187172,"('unintelligent', 'intelligent')",1.0398015,1.0741123,1.0832932,1.1306422,0.047349
49,0.34781507,0.42238492,"('unable', 'able')",0.18007226,0.30370325,0.2639437,0.3630441,0.0991004
50,-0.19321795,-0.24761948,"('clumsy', 'skillful')",0.32382542,0.38053095,0.0653037,0.0664557,0.001152
51,0.45370683,0.3568914,"('uneducated', 'educated')",0.4954393,0.45008242,0.4745731,0.4034869,-0.0710862
52,-1.356171,-1.6076907,"('irrational', 'rational')",0.30332533,0.10418019,-0.5264229,-0.7517552,-0.2253323
53,-0.8527058,-0.82655936,"('uncreative', 'creative')",0.7374071,0.66483176,-0.0576493,-0.0808638,-0.0232145
54,-0.4506728,-0.5055421,"('incapable', 'capable')",0.96320206,1.0045654,0.2562646,0.2495116,-0.006753
55,1.6313099,1.732277,"('incompetent', 'clever')",0.24832533,0.26512265,0.9398176,0.9986998,0.0588822
56,1.6568519,1.6897552,"('impractical', 'practical')",0.4431437,0.4647537,1.0499978,1.0772544,0.0272566
57,0.018843025,0.077243626,"('unimaginative', 'imaginative')",-2.091142,-2.1629508,-1.0361495,-1.0428536,-0.0067041
58,-0.18833579,-0.14895974,"('undiscriminating', 'discriminating')",-0.062484574,-0.13327777,-0.1254102,-0.1411188,-0.0157086
59,-0.6069544,-0.72494626,"('foolish', 'wise')",0.49693453,0.48917517,-0.0550099,-0.1178855,-0.0628756
60,2.7874272,2.9475157,"('inefficient', 'efficient')",0.3521473,0.5311549,1.5697873,1.7393353,0.169548
61,0.31788895,0.22087234,"('illogical', 'logical')",0.36836383,0.15428148,0.3431264,0.1875769,-0.1555495
62,2.0588152,2.23833,"('incompetent', 'brilliant')",0.5920756,0.8175377,1.3254454,1.5279338,0.2024884
63,0.11542729,0.2589292,"('unperceptive', 'insightful')",1.1224266,1.2684213,0.6189269,0.7636752,0.1447483
64,0.66506326,0.6925255,"('shy', 'confident')",-5.7829013,-5.7918324,-2.558919,-2.5496535,0.0092655
65,1.869345,1.8408256,"('insecure', 'secure')",-0.08468678,-0.089482374,0.8923291,0.8756716,-0.0166575
