,beastie_male,beastie_female,tuple,average_male,average_female,female-male
0,0.5831852,0.5408243,"('unsociable', 'sociable')",0.5831852,0.5408243,-0.0423609
1,0.2603938,-0.16470657,"('unfriendly', 'friendly')",0.2603938,-0.1647066,-0.4251004
2,-0.761484,-0.6928159,"('unlikable', 'likable')",-0.761484,-0.6928159,0.0686681
3,-1.3091689,-1.3426483,"('repellent', 'pleasant')",-1.3091689,-1.3426483,-0.0334794
4,-3.5881402,-3.5930114,"('disliked', 'liked')",-3.5881402,-3.5930114,-0.0048712
5,0.5786229,0.47194538,"('distant', 'outgoing')",0.5786229,0.4719454,-0.1066775
6,0.30514336,0.103386655,"('distant', 'open')",0.3051434,0.1033867,-0.2017567
7,-0.23067257,-0.13815412,"('insensitive', 'sensitive')",-0.2306726,-0.1381541,0.0925185
8,0.24375118,0.025422692,"('unaffectionate', 'affectionate')",0.2437512,0.0254227,-0.2183285
9,0.75623846,0.6923865,"('unaffectionate', 'caring')",0.7562385,0.6923865,-0.063852
10,-1.0128545,-0.8841202,"('unsympathetic', 'sympathetic')",-1.0128545,-0.8841202,0.1287343
11,0.44435316,0.6965246,"('unhelpful', 'helpful')",0.4443532,0.6965246,0.2521714
12,-1.065216,-1.0082468,"('unsupportive', 'supportive')",-1.0652159,-1.0082468,0.0569691
13,-0.49939972,-0.37893423,"('impolite', 'polite')",-0.4993997,-0.3789342,0.1204655
14,-0.6623481,-0.6602939,"('antisocial', 'social')",-0.6623481,-0.6602939,0.0020542
15,1.478388,1.3282002,"('boring', 'funny')",1.478388,1.3282002,-0.1501878
16,-0.59396297,-0.5329645,"('unpopular', 'popular')",-0.593963,-0.5329645,0.0609985
17,-0.84665346,-0.8277452,"('nasty', 'nice')",-0.8466535,-0.8277452,0.0189083
18,-1.1380376,-1.2860354,"('disagreeable', 'welcoming')",-1.1380376,-1.2860354,-0.1479978
19,0.49485406,0.43106514,"('inhospitable', 'hospitable')",0.4948541,0.4310651,-0.063789
20,-0.38862202,-0.43641156,"('rough', 'thoughtful')",-0.388622,-0.4364116,-0.0477896
21,-0.01628306,0.106525056,"('immoral', 'moral')",-0.0162831,0.1065251,0.1228082
22,-1.0692205,-1.1345329,"('untrustworthy', 'trustworthy')",-1.0692205,-1.1345329,-0.0653124
23,2.6167204,2.4716063,"('insincere', 'sincere')",2.6167204,2.4716063,-0.1451141
24,-0.46590173,-0.45838845,"('dishonest', 'honest')",-0.4659017,-0.4583884,0.0075133
25,-0.006841192,-0.18718478,"('egoistic', 'altruistic')",-0.0068412,-0.1871848,-0.1803436
26,0.46384892,0.15817714,"('hardhearted', 'benevolent')",0.4638489,0.1581771,-0.3056718
27,-0.10232683,-0.2854454,"('hardhearted', 'softhearted')",-0.1023268,-0.2854454,-0.1831186
28,0.5772754,0.43728465,"('disloyal', 'loyal')",0.5772754,0.4372846,-0.1399908
29,0.16158324,0.11080317,"('unfair', 'fair')",0.1615832,0.1108032,-0.05078
30,0.107167765,0.099840224,"('intolerant', 'tolerant')",0.1071678,0.0998402,-0.0073276
31,-1.3281868,-1.5444514,"('evil', 'good')",-1.3281868,-1.5444514,-0.2162646
32,0.93239856,0.9963463,"('unkind', 'kind')",0.9323986,0.9963463,0.0639477
33,-0.0030561127,-0.062422093,"('wrong', 'right')",-0.0030561,-0.0624221,-0.059366
34,2.1894107,2.1869793,"('mean', 'honorable')",2.1894107,2.1869793,-0.0024314
35,-0.34190407,-0.547299,"('corrupt', 'incorrupt')",-0.3419041,-0.547299,-0.2053949
36,-0.48740453,-0.8790921,"('hostile', 'amicable')",-0.4874045,-0.8790921,-0.3916876
37,0.13624756,0.050477855,"('fake', 'genuine')",0.1362476,0.0504779,-0.0857697
38,-0.12594807,-0.029084403,"('untruthful', 'truthful')",-0.1259481,-0.0290844,0.0968637
39,-1.331954,-1.1751035,"('exploitative', 'cooperative')",-1.331954,-1.1751035,0.1568505
40,-2.820284,-2.9725869,"('stingy', 'generous')",-2.8202839,-2.9725869,-0.152303
41,-0.7330243,-0.88445467,"('unforgiving', 'forgiving')",-0.7330243,-0.8844547,-0.1514304
42,-1.6458881,-1.4944011,"('unreliable', 'reliable')",-1.6458881,-1.4944011,0.151487
43,0.41886628,0.54159266,"('irresponsible', 'responsible')",0.4188663,0.5415927,0.1227264
44,-1.476772,-1.3545945,"('prejudiced', 'unprejudiced')",-1.476772,-1.3545945,0.1221775
45,0.04560355,-0.0150816515,"('incompetent', 'competent')",0.0456036,-0.0150817,-0.0606853
46,-0.9543025,-0.82804155,"('uncompetitive', 'competitive')",-0.9543025,-0.8280416,0.1262609
47,2.3055267,2.2874377,"('stupid', 'smart')",2.3055267,2.2874377,-0.018089
48,0.7493523,0.7053493,"('unintelligent', 'intelligent')",0.7493523,0.7053493,-0.044003
49,0.61182076,0.672179,"('unable', 'able')",0.6118208,0.672179,0.0603582
50,-0.13188942,-0.1429457,"('clumsy', 'skillful')",-0.1318894,-0.1429457,-0.0110563
51,-0.025850527,0.05587721,"('uneducated', 'educated')",-0.0258505,0.0558772,0.0817277
52,-0.3408773,-0.55196434,"('irrational', 'rational')",-0.3408773,-0.5519643,-0.211087
53,-0.63097,-0.8491159,"('uncreative', 'creative')",-0.63097,-0.8491159,-0.2181459
54,0.8426128,0.7440547,"('incapable', 'capable')",0.8426128,0.7440547,-0.0985581
55,0.75349545,0.84064007,"('incompetent', 'clever')",0.7534955,0.8406401,0.0871446
56,0.7476384,0.8475119,"('impractical', 'practical')",0.7476384,0.8475119,0.0998735
57,-1.7146703,-1.7792822,"('unimaginative', 'imaginative')",-1.7146703,-1.7792822,-0.0646119
58,-0.39673212,-0.5325321,"('undiscriminating', 'discriminating')",-0.3967321,-0.5325321,-0.1358
59,0.34113207,0.392694,"('foolish', 'wise')",0.3411321,0.392694,0.0515619
60,0.94193625,1.2257091,"('inefficient', 'efficient')",0.9419363,1.2257091,0.2837728
61,-0.38226363,-0.48677278,"('illogical', 'logical')",-0.3822636,-0.4867728,-0.1045092
62,-0.35253164,-0.15117553,"('incompetent', 'brilliant')",-0.3525316,-0.1511755,0.2013561
63,0.23571119,0.2924961,"('unperceptive', 'insightful')",0.2357112,0.2924961,0.0567849
64,-3.3475451,-3.1143258,"('shy', 'confident')",-3.3475451,-3.1143258,0.2332193
65,0.049057245,0.18391632,"('insecure', 'secure')",0.0490572,0.1839163,0.1348591
66,-1.2172234,-1.2940226,"('inactive', 'active')",-1.2172234,-1.2940226,-0.0767992
67,0.22872418,0.42442894,"('doubtful', 'determined')",0.2287242,0.4244289,0.1957047
68,-0.16012499,-0.14110592,"('dependent', 'independent')",-0.160125,-0.1411059,0.0190191
69,-1.1201762,-1.2267245,"('lazy', 'industrious')",-1.1201762,-1.2267245,-0.1065483
70,-0.28596002,-0.27575633,"('lethargic', 'energetic')",-0.28596,-0.2757563,0.0102037
71,0.9063688,0.9899866,"('diffident', 'self-confident')",0.9063688,0.9899866,0.0836178
72,-0.29446048,-0.15282097,"('unambitious', 'ambitious')",-0.2944605,-0.152821,0.1416395
73,-2.1662478,-2.050512,"('helpless', 'self-reliant')",-2.1662478,-2.0505121,0.1157357
74,-0.10268755,-0.19336319,"('undedicated', 'dedicated')",-0.1026876,-0.1933632,-0.0906756
75,-0.91498584,-0.8388087,"('meek', 'impulsive')",-0.9149858,-0.8388087,0.0761771
76,-0.0036261156,0.10537835,"('anxious', 'daring')",-0.0036261,0.1053784,0.1090045
77,-0.37748808,-0.28511247,"('unmotivated', 'motivated')",-0.3774881,-0.2851125,0.0923756
78,0.5431581,0.50054204,"('nonresilient', 'resilient')",0.5431581,0.500542,-0.0426161
79,0.12963387,-0.023361737,"('wavering', 'unwavering')",0.1296339,-0.0233617,-0.1529956
80,-0.89761734,-0.6687559,"('dominated', 'dominating')",-0.8976173,-0.6687559,0.2288614
81,-0.31739995,-0.07344428,"('submissive', 'aggressive')",-0.3173999,-0.0734443,0.2439556
82,2.184929,2.145876,"('poor', 'rich')",2.1849289,2.1458759,-0.039053
83,-0.305682,-0.14519311,"('powerless', 'powerful')",-0.305682,-0.1451931,0.1604889
84,0.15666828,0.26906702,"('inferior', 'superior')",0.1566683,0.269067,0.1123987
85,-0.4896876,-0.6533449,"('insignificant', 'prestigious')",-0.4896876,-0.6533449,-0.1636573
86,0.20003954,-0.05334194,"('uninfluential', 'influential')",0.2000395,-0.0533419,-0.2533814
87,-0.44043872,-0.20249943,"('unsuccessful', 'successful')",-0.4404387,-0.2024994,0.2379393
88,0.08043405,0.07353705,"('low', 'eminent')",0.080434,0.0735371,-0.0068969
