,frog_male,frog_female,tuple,average_male,average_female,female-male
0,-0.25037757,-0.385166,"('unsociable', 'sociable')",-0.2503776,-0.385166,-0.1347884
1,1.317646,1.2583498,"('unfriendly', 'friendly')",1.317646,1.2583498,-0.0592962
2,0.30223542,0.49335575,"('unlikable', 'likable')",0.3022354,0.4933558,0.1911204
3,0.52167094,0.71642935,"('repellent', 'pleasant')",0.5216709,0.7164294,0.1947585
4,-7.3373117,-7.360366,"('disliked', 'liked')",-7.3373117,-7.3603659,-0.0230542
5,-0.18445766,-0.040452216,"('distant', 'outgoing')",-0.1844577,-0.0404522,0.1440055
6,0.26883867,0.40072834,"('distant', 'open')",0.2688387,0.4007283,0.1318896
7,0.3383209,0.4555204,"('insensitive', 'sensitive')",0.3383209,0.4555204,0.1171995
8,1.366385,1.2987125,"('unaffectionate', 'affectionate')",1.366385,1.2987125,-0.0676725
9,1.6884879,1.8084375,"('unaffectionate', 'caring')",1.6884879,1.8084375,0.1199496
10,0.9554081,1.0845807,"('unsympathetic', 'sympathetic')",0.9554081,1.0845807,0.1291726
11,1.9756274,2.0931172,"('unhelpful', 'helpful')",1.9756274,2.0931172,0.1174898
12,-1.7522272,-1.7653412,"('unsupportive', 'supportive')",-1.7522272,-1.7653412,-0.013114
13,-0.08112006,-0.07362977,"('impolite', 'polite')",-0.0811201,-0.0736298,0.0074903
14,-0.62066746,-0.78072023,"('antisocial', 'social')",-0.6206675,-0.7807202,-0.1600527
15,0.40330237,0.35515803,"('boring', 'funny')",0.4033024,0.355158,-0.0481444
16,-0.22764938,-0.08547272,"('unpopular', 'popular')",-0.2276494,-0.0854727,0.1421767
17,0.04048659,0.10065821,"('nasty', 'nice')",0.0404866,0.1006582,0.0601716
18,-0.47605357,-0.6340939,"('disagreeable', 'welcoming')",-0.4760536,-0.6340939,-0.1580403
19,-0.34425116,-0.12741317,"('inhospitable', 'hospitable')",-0.3442512,-0.1274132,0.216838
20,0.53051096,0.40023816,"('rough', 'thoughtful')",0.530511,0.4002382,-0.1302728
21,-0.25745976,-0.055264495,"('immoral', 'moral')",-0.2574598,-0.0552645,0.2021953
22,-0.8565703,-0.80073845,"('untrustworthy', 'trustworthy')",-0.8565703,-0.8007385,0.0558318
23,6.101667,6.2089796,"('insincere', 'sincere')",6.1016669,6.2089796,0.1073127
24,1.5472864,1.5878918,"('dishonest', 'honest')",1.5472864,1.5878918,0.0406054
25,0.5030119,0.38352805,"('egoistic', 'altruistic')",0.5030119,0.3835281,-0.1194838
