,lion_male,lion_female,tuple,average_male,average_female,female-male
0,0.45642108,0.5715099,"('unsociable', 'sociable')",0.4564211,0.5715099,0.1150888
1,0.95455724,0.71021867,"('unfriendly', 'friendly')",0.9545572,0.7102187,-0.2443385
2,0.30296117,0.33126855,"('unlikable', 'likable')",0.3029612,0.3312685,0.0283073
3,0.69087887,0.88753957,"('repellent', 'pleasant')",0.6908789,0.8875396,0.1966607
4,-6.8629313,-7.088098,"('disliked', 'liked')",-6.8629313,-7.088098,-0.2251667
5,-0.4679038,-0.720672,"('distant', 'outgoing')",-0.4679038,-0.720672,-0.2527682
6,0.1628333,-0.20885848,"('distant', 'open')",0.1628333,-0.2088585,-0.3716918
7,1.4262373,1.5778955,"('insensitive', 'sensitive')",1.4262373,1.5778955,0.1516582
8,1.2877109,1.0052134,"('unaffectionate', 'affectionate')",1.2877109,1.0052134,-0.2824975
9,1.5614672,1.432549,"('unaffectionate', 'caring')",1.5614672,1.432549,-0.1289182
10,1.1775963,1.4461291,"('unsympathetic', 'sympathetic')",1.1775963,1.4461291,0.2685328
11,1.4407574,1.5709926,"('unhelpful', 'helpful')",1.4407574,1.5709926,0.1302352
12,-1.3313653,-1.3197747,"('unsupportive', 'supportive')",-1.3313653,-1.3197747,0.0115906
13,-0.27868116,0.13029844,"('impolite', 'polite')",-0.2786812,0.1302984,0.4089796
14,0.22951993,0.5435462,"('antisocial', 'social')",0.2295199,0.5435462,0.3140263
15,0.7100918,0.5274241,"('boring', 'funny')",0.7100918,0.5274241,-0.1826677
16,-0.7932312,-0.9703806,"('unpopular', 'popular')",-0.7932312,-0.9703806,-0.1771494
17,-0.048707597,-0.041717764,"('nasty', 'nice')",-0.0487076,-0.0417178,0.0069898
18,-0.5553846,-0.5241061,"('disagreeable', 'welcoming')",-0.5553846,-0.5241061,0.0312785
19,-0.5058363,-0.68721396,"('inhospitable', 'hospitable')",-0.5058363,-0.687214,-0.1813777
20,0.51703805,0.43221965,"('rough', 'thoughtful')",0.517038,0.4322197,-0.0848183
21,-0.15281652,0.2682442,"('immoral', 'moral')",-0.1528165,0.2682442,0.4210607
22,-0.20148043,-0.04893396,"('untrustworthy', 'trustworthy')",-0.2014804,-0.048934,0.1525464
