,drake_male,drake_female,tuple,average_male,average_female,female-male
0,-0.3575361,-0.4355619,"('unsociable', 'sociable')",-0.3575361,-0.4355619,-0.0780258
1,1.6933317,1.6292732,"('unfriendly', 'friendly')",1.6933317,1.6292732,-0.0640585
2,0.66211355,0.72915393,"('unlikable', 'likable')",0.6621135,0.7291539,0.0670404
3,0.50936925,0.4600511,"('repellent', 'pleasant')",0.5093693,0.4600511,-0.0493182
4,-7.2599516,-7.05881,"('disliked', 'liked')",-7.2599516,-7.0588102,0.2011414
5,0.21602091,0.5020983,"('distant', 'outgoing')",0.2160209,0.5020983,0.2860774
6,0.6682061,0.89878434,"('distant', 'open')",0.6682061,0.8987843,0.2305782
7,0.40408716,0.5229836,"('insensitive', 'sensitive')",0.4040872,0.5229836,0.1188964
8,1.5853935,1.603063,"('unaffectionate', 'affectionate')",1.5853935,1.603063,0.0176695
9,1.8938838,2.0794811,"('unaffectionate', 'caring')",1.8938838,2.0794811,0.1855973
10,0.78720987,0.86870277,"('unsympathetic', 'sympathetic')",0.7872099,0.8687028,0.0814929
11,1.7981367,1.9964294,"('unhelpful', 'helpful')",1.7981367,1.9964294,0.1982927
12,-1.710839,-1.5567151,"('unsupportive', 'supportive')",-1.710839,-1.5567151,0.1541239
13,-0.1689255,-0.2619478,"('impolite', 'polite')",-0.1689255,-0.2619478,-0.0930223
14,-0.8657992,-0.9780888,"('antisocial', 'social')",-0.8657992,-0.9780888,-0.1122896
15,0.45060515,0.54867464,"('boring', 'funny')",0.4506052,0.5486746,0.0980694
16,-0.23193794,-0.19322327,"('unpopular', 'popular')",-0.2319379,-0.1932233,0.0387146
17,-0.06764866,-0.055529624,"('nasty', 'nice')",-0.0676487,-0.0555296,0.0121191
18,-0.5431814,-0.71831346,"('disagreeable', 'welcoming')",-0.5431814,-0.7183135,-0.1751321
19,-0.07116699,0.2022609,"('inhospitable', 'hospitable')",-0.071167,0.2022609,0.2734279
20,0.6260233,0.43251893,"('rough', 'thoughtful')",0.6260233,0.4325189,-0.1935044
21,-0.3077412,-0.12453997,"('immoral', 'moral')",-0.3077412,-0.12454,0.1832012
22,-0.61837083,-0.55221605,"('untrustworthy', 'trustworthy')",-0.6183708,-0.5522161,0.0661547
23,6.2958927,6.3640814,"('insincere', 'sincere')",6.2958927,6.3640814,0.0681887
24,1.6986083,1.9009554,"('dishonest', 'honest')",1.6986083,1.9009554,0.2023471
25,0.71264666,0.43122262,"('egoistic', 'altruistic')",0.7126467,0.4312226,-0.2814241
26,0.37760234,0.251804,"('hardhearted', 'benevolent')",0.3776023,0.251804,-0.1257983
27,1.7046402,1.4462072,"('hardhearted', 'softhearted')",1.7046402,1.4462072,-0.258433
28,1.36734,1.4472779,"('disloyal', 'loyal')",1.36734,1.4472779,0.0799379
29,-0.50378007,-0.54929936,"('unfair', 'fair')",-0.5037801,-0.5492994,-0.0455193
30,0.63798374,0.6388879,"('intolerant', 'tolerant')",0.6379837,0.6388879,0.0009042
31,-1.1670041,-1.0475959,"('evil', 'good')",-1.1670041,-1.0475959,0.1194082
32,1.130592,1.0478578,"('unkind', 'kind')",1.130592,1.0478578,-0.0827342
33,0.0027968287,0.13887085,"('wrong', 'right')",0.0027968,0.1388709,0.1360741
34,4.7957454,5.066689,"('mean', 'honorable')",4.7957454,5.066689,0.2709436
35,-0.54969734,-0.5411472,"('corrupt', 'incorrupt')",-0.5496973,-0.5411472,0.0085501
36,-0.29913148,-0.35579136,"('hostile', 'amicable')",-0.2991315,-0.3557914,-0.0566599
37,0.9989086,1.0528501,"('fake', 'genuine')",0.9989086,1.0528501,0.0539415
38,0.14365989,0.37023452,"('untruthful', 'truthful')",0.1436599,0.3702345,0.2265746
39,-0.3346046,-0.25220752,"('exploitative', 'cooperative')",-0.3346046,-0.2522075,0.0823971
40,-1.7961265,-2.0264835,"('stingy', 'generous')",-1.7961265,-2.0264835,-0.230357
41,-0.006317379,0.01811023,"('unforgiving', 'forgiving')",-0.0063174,0.0181102,0.0244276
42,-2.328696,-2.284293,"('unreliable', 'reliable')",-2.328696,-2.2842929,0.0444031
43,0.8393908,0.8819301,"('irresponsible', 'responsible')",0.8393908,0.8819301,0.0425393
44,-1.2496105,-1.4642019,"('prejudiced', 'unprejudiced')",-1.2496105,-1.4642019,-0.2145914
45,0.086428925,0.20253615,"('incompetent', 'competent')",0.0864289,0.2025362,0.1161073
46,-0.89637107,-0.97638047,"('uncompetitive', 'competitive')",-0.8963711,-0.9763805,-0.0800094
47,5.5694733,5.8343744,"('stupid', 'smart')",5.5694733,5.8343744,0.2649011
48,0.70275134,0.6933501,"('unintelligent', 'intelligent')",0.7027513,0.6933501,-0.0094012
49,0.5297919,0.84146786,"('unable', 'able')",0.5297919,0.8414679,0.311676
50,0.2363369,0.206768,"('clumsy', 'skillful')",0.2363369,0.206768,-0.0295689
51,0.49661228,0.6048726,"('uneducated', 'educated')",0.4966123,0.6048726,0.1082603
52,0.1025806,0.25683385,"('irrational', 'rational')",0.1025806,0.2568339,0.1542533
53,0.37091804,0.31820738,"('uncreative', 'creative')",0.370918,0.3182074,-0.0527106
54,1.6524583,2.004131,"('incapable', 'capable')",1.6524583,2.0041311,0.3516728
55,0.22519544,0.19854702,"('incompetent', 'clever')",0.2251954,0.198547,-0.0266484
56,0.18927638,0.39398932,"('impractical', 'practical')",0.1892764,0.3939893,0.2047129
57,-2.779374,-2.703956,"('unimaginative', 'imaginative')",-2.7793739,-2.7039559,0.075418
58,-0.27781242,-0.25022548,"('undiscriminating', 'discriminating')",-0.2778124,-0.2502255,0.0275869
59,0.47314385,0.67444634,"('foolish', 'wise')",0.4731438,0.6744463,0.2013025
60,0.32572666,0.31500658,"('inefficient', 'efficient')",0.3257267,0.3150066,-0.0107201
61,0.22107951,0.20731181,"('illogical', 'logical')",0.2210795,0.2073118,-0.0137677
62,1.0585716,1.2672975,"('incompetent', 'brilliant')",1.0585716,1.2672975,0.2087259
63,0.40447852,0.5684165,"('unperceptive', 'insightful')",0.4044785,0.5684165,0.163938
64,-6.349871,-6.1870284,"('shy', 'confident')",-6.3498712,-6.1870284,0.1628428
65,-0.035822928,-0.13524723,"('insecure', 'secure')",-0.0358229,-0.1352472,-0.0994243
66,0.24747217,0.25571656,"('inactive', 'active')",0.2474722,0.2557166,0.0082444
67,-0.42565036,-0.2570424,"('doubtful', 'determined')",-0.4256504,-0.2570424,0.168608
68,-0.33260956,-0.2888355,"('dependent', 'independent')",-0.3326096,-0.2888355,0.0437741
69,-1.6183888,-1.499002,"('lazy', 'industrious')",-1.6183888,-1.499002,0.1193868
70,0.94479215,1.0556527,"('lethargic', 'energetic')",0.9447922,1.0556527,0.1108605
71,0.49577558,0.5984191,"('diffident', 'self-confident')",0.4957756,0.5984191,0.1026435
72,0.9533911,1.0396795,"('unambitious', 'ambitious')",0.9533911,1.0396795,0.0862884
73,-3.1536255,-3.0570593,"('helpless', 'self-reliant')",-3.1536255,-3.0570593,0.0965662
74,-0.086540855,-0.12774907,"('undedicated', 'dedicated')",-0.0865409,-0.1277491,-0.0412082
75,-0.5212008,-0.39357275,"('meek', 'impulsive')",-0.5212008,-0.3935727,0.1276281
76,0.20736785,0.13523485,"('anxious', 'daring')",0.2073679,0.1352348,-0.0721331
77,-1.3177645,-1.1469963,"('unmotivated', 'motivated')",-1.3177645,-1.1469963,0.1707682
78,-0.5184168,-0.5371374,"('nonresilient', 'resilient')",-0.5184168,-0.5371374,-0.0187206
79,0.12918365,0.38618776,"('wavering', 'unwavering')",0.1291837,0.3861878,0.2570041
80,-0.7082394,-0.6897009,"('dominated', 'dominating')",-0.7082394,-0.6897009,0.0185385
81,-0.36151943,-0.36091566,"('submissive', 'aggressive')",-0.3615194,-0.3609157,0.0006037
82,6.9114614,7.0115676,"('poor', 'rich')",6.9114614,7.0115676,0.1001062
83,-0.21193849,-0.13919666,"('powerless', 'powerful')",-0.2119385,-0.1391967,0.0727418
84,0.5175135,0.6047068,"('inferior', 'superior')",0.5175135,0.6047068,0.0871933
85,-0.71209496,-0.711769,"('insignificant', 'prestigious')",-0.712095,-0.711769,0.000326
86,0.21415192,0.3860455,"('uninfluential', 'influential')",0.2141519,0.3860455,0.1718936
87,-0.1252164,0.2537001,"('unsuccessful', 'successful')",-0.1252164,0.2537001,0.3789165
88,0.12070367,0.26670295,"('low', 'eminent')",0.1207037,0.266703,0.1459993
