,priority_male,priority_female,tuple,average_male,average_female,female-male
0,0.14948297,-0.034454845,"('unsociable', 'sociable')",0.149483,-0.0344548,-0.1839378
1,1.1302849,1.2282734,"('unfriendly', 'friendly')",1.1302849,1.2282734,0.0979885
2,0.056088008,0.22896059,"('unlikable', 'likable')",0.056088,0.2289606,0.1728726
3,0.70949733,0.8312789,"('repellent', 'pleasant')",0.7094973,0.8312789,0.1217816
4,-7.4436383,-7.6576867,"('disliked', 'liked')",-7.4436383,-7.6576867,-0.2140484
5,-0.54249847,-0.34541345,"('distant', 'outgoing')",-0.5424985,-0.3454134,0.1970851
6,-0.07849302,0.02949331,"('distant', 'open')",-0.078493,0.0294933,0.1079863
7,1.4676459,1.388304,"('insensitive', 'sensitive')",1.4676459,1.388304,-0.0793419
8,1.2283299,1.342747,"('unaffectionate', 'affectionate')",1.2283299,1.342747,0.1144171
9,1.557435,1.7790496,"('unaffectionate', 'caring')",1.557435,1.7790496,0.2216146
10,1.0820987,0.9519094,"('unsympathetic', 'sympathetic')",1.0820987,0.9519094,-0.1301893
11,1.7135494,1.803736,"('unhelpful', 'helpful')",1.7135494,1.803736,0.0901866
12,-1.4453589,-1.3537395,"('unsupportive', 'supportive')",-1.4453589,-1.3537395,0.0916194
13,-0.053953793,-0.05117467,"('impolite', 'polite')",-0.0539538,-0.0511747,0.0027791
14,0.19275904,0.065860465,"('antisocial', 'social')",0.192759,0.0658605,-0.1268985
15,0.3883285,0.21393724,"('boring', 'funny')",0.3883285,0.2139372,-0.1743913
16,-0.7296123,-0.6160275,"('unpopular', 'popular')",-0.7296123,-0.6160275,0.1135848
17,-0.13327415,-0.17429638,"('nasty', 'nice')",-0.1332742,-0.1742964,-0.0410222
18,-0.56281596,-0.4273401,"('disagreeable', 'welcoming')",-0.562816,-0.4273401,0.1354759
19,-0.57871115,-0.36309704,"('inhospitable', 'hospitable')",-0.5787112,-0.363097,0.2156142
20,0.55196166,0.30691406,"('rough', 'thoughtful')",0.5519617,0.3069141,-0.2450476
21,-0.24436507,-0.112864144,"('immoral', 'moral')",-0.2443651,-0.1128641,0.131501
22,-0.038759157,-0.09314191,"('untrustworthy', 'trustworthy')",-0.0387592,-0.0931419,-0.0543827
23,6.4428835,6.776616,"('insincere', 'sincere')",6.4428835,6.7766161,0.3337326
24,1.5260332,1.6381104,"('dishonest', 'honest')",1.5260332,1.6381104,0.1120772
25,0.6945358,0.7888842,"('egoistic', 'altruistic')",0.6945358,0.7888842,0.0943484
26,1.2384102,0.8848102,"('hardhearted', 'benevolent')",1.2384102,0.8848102,-0.3536
