,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.70327777,-0.7744793,"('unsociable', 'sociable')",-0.42613944,-0.57295185,-0.46271646,-0.5913976,-0.5307112,-0.6462762,-0.115565
1,-1.9995083,-1.9561133,"('unfriendly', 'friendly')",-0.13566722,-0.3059144,1.6676346,1.5191579,-0.155847,-0.2476233,-0.0917763
2,0.55699235,0.5549122,"('unlikable', 'likable')",0.34272933,0.4206357,0.53113854,0.5927055,0.4769534,0.5227511,0.0457977
3,0.19597787,0.40496665,"('repellent', 'pleasant')",-0.09259289,0.044501238,-0.048059087,0.0011913907,0.018442,0.1502198,0.1317778
4,-0.78409415,-0.82706386,"('disliked', 'liked')",-0.42084506,-0.47700033,-6.1914716,-6.220034,-2.4654703,-2.5080328,-0.0425625
5,-1.0183432,-0.97737086,"('distant', 'outgoing')",-0.551136,-0.50858206,-0.016797822,-0.011946306,-0.528759,-0.4992997,0.0294593
6,-0.98523766,-0.8696548,"('distant', 'open')",-0.891948,-0.8522186,0.6214417,0.61014247,-0.4185813,-0.370577,0.0480043
7,0.4722011,0.541135,"('insensitive', 'sensitive')",0.35505125,0.43462396,0.44671747,0.48848823,0.4246566,0.4880824,0.0634258
8,-0.9338125,-0.90194756,"('unaffectionate', 'affectionate')",-0.19922045,-0.28899807,0.67431116,0.58843917,-0.1529073,-0.2008355,-0.0479282
9,-0.8911873,-0.81782675,"('unaffectionate', 'caring')",-0.044186126,-0.12195993,1.1894099,1.1483021,0.0846788,0.0695051,-0.0151737
10,-0.101538375,0.043077916,"('unsympathetic', 'sympathetic')",-0.78988934,-0.7760252,-0.5652169,-0.5872603,-0.4855482,-0.4400692,0.045479
11,0.37488753,0.39567298,"('unhelpful', 'helpful')",0.92523146,0.97236556,1.6795074,1.6660221,0.9932087,1.0113535,0.0181448
12,0.44107822,0.6282576,"('unsupportive', 'supportive')",0.3816476,0.5132283,-1.9190699,-1.8582475,-0.365448,-0.2389205,0.1265275
13,0.0087955855,-0.031695805,"('impolite', 'polite')",-0.24087867,-0.22438386,-0.2898269,-0.33709353,-0.17397,-0.1977244,-0.0237544
14,0.9592272,0.9334109,"('antisocial', 'social')",0.6819891,0.7185296,-0.60020834,-0.625151,0.3470027,0.3422631,-0.0047396
15,0.18590742,0.035242155,"('boring', 'funny')",0.38450003,0.31354856,0.64013237,0.6116754,0.4035133,0.3201554,-0.0833579
16,-0.46369943,-0.4697679,"('unpopular', 'popular')",-0.33333942,-0.35308528,0.7733724,0.770712,-0.0078888,-0.0173804,-0.0094916
