,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
0,-0.7154191,-0.68448126,"('unsociable', 'sociable')",-0.3849319,-0.5607074,-0.5501755,-0.6225944,-0.0724189
1,0.67219085,0.64893687,"('unfriendly', 'friendly')",0.7520322,0.61207753,0.7121115,0.6305072,-0.0816043
2,0.667283,0.70615315,"('unlikable', 'likable')",0.26678538,0.28253016,0.4670342,0.4943417,0.0273075
3,-0.7288163,-0.61629564,"('repellent', 'pleasant')",0.08241902,0.17257522,-0.3231986,-0.2218602,0.1013384
4,-0.68521094,-0.7460955,"('disliked', 'liked')",-5.055104,-5.039887,-2.8701572,-2.8929913,-0.0228341
5,0.25406483,0.23261476,"('distant', 'outgoing')",-0.68094414,-0.65156245,-0.2134397,-0.2094738,0.0039659
6,0.22969729,0.20878679,"('distant', 'open')",-0.7856827,-0.7745138,-0.2779927,-0.2828635,-0.0048708
7,0.87128323,0.9753973,"('insensitive', 'sensitive')",0.42643636,0.5829548,0.6488598,0.7791761,0.1303163
8,0.91939944,0.90519303,"('unaffectionate', 'affectionate')",-0.025596555,-0.13865378,0.4469014,0.3832696,-0.0636318
9,1.6690707,1.7096107,"('unaffectionate', 'caring')",0.8893344,0.78825104,1.2792026,1.2489309,-0.0302717
10,0.5673355,0.7596469,"('unsympathetic', 'sympathetic')",-0.33920386,-0.2879525,0.1140658,0.2358472,0.1217814
11,0.31011778,0.4292883,"('unhelpful', 'helpful')",2.2330935,2.33275,1.2716056,1.3810192,0.1094136
12,1.7816893,2.0149329,"('unsupportive', 'supportive')",-0.7538037,-0.5995414,0.5139428,0.7076957,0.1937529
13,0.43253338,0.47371545,"('impolite', 'polite')",-0.14940205,-0.21524341,0.1415657,0.129236,-0.0123297
14,0.021145966,0.08522164,"('antisocial', 'social')",0.16696784,0.2392524,0.0940569,0.162237,0.0681801
15,0.010566287,-0.02580582,"('boring', 'funny')",-0.20950845,-0.22434783,-0.0994711,-0.1250768,-0.0256057
16,-1.8631743,-1.9550637,"('unpopular', 'popular')",-0.03326537,-0.087172866,-0.9482198,-1.0211183,-0.0728985
17,-0.53464377,-0.4714062,"('nasty', 'nice')",-0.5820318,-0.5140915,-0.5583378,-0.4927489,0.0655889
18,0.3854912,0.4276141,"('disagreeable', 'welcoming')",-0.3470378,-0.30751592,0.0192267,0.0600491,0.0408224
19,0.03161712,0.0087936595,"('inhospitable', 'hospitable')",-0.6024113,-0.58135134,-0.2853971,-0.2862788,-0.0008817
20,-0.074761085,-0.013270954,"('rough', 'thoughtful')",0.9273433,1.0014837,0.4262911,0.4941064,0.0678153
21,1.0273749,1.1421943,"('immoral', 'moral')",0.2023746,0.26582697,0.6148747,0.7040106,0.0891359
22,-0.22374618,-0.06745309,"('untrustworthy', 'trustworthy')",-1.076106,-1.0045633,-0.6499261,-0.5360082,0.1139179
23,0.5410165,0.61069214,"('insincere', 'sincere')",4.223217,4.147824,2.3821168,2.3792579,-0.0028589
24,1.3926345,1.4328433,"('dishonest', 'honest')",-0.28960463,-0.37059423,0.5515149,0.5311245,-0.0203904
25,0.4942062,0.4455633,"('egoistic', 'altruistic')",0.51183975,0.53010494,0.503023,0.4878341,-0.0151889
26,0.97715807,0.87061363,"('hardhearted', 'benevolent')",0.61779535,0.6326854,0.7974767,0.7516495,-0.0458272
27,0.6886163,0.78712386,"('hardhearted', 'softhearted')",0.32973877,0.4173962,0.5091775,0.60226,0.0930825
28,0.29787222,0.25376937,"('disloyal', 'loyal')",0.33003828,0.20547175,0.3139552,0.2296206,-0.0843346
29,-1.5206319,-1.5048077,"('unfair', 'fair')",-0.92359465,-0.9695912,-1.2221133,-1.2371994,-0.0150861
30,0.7934001,0.86121804,"('intolerant', 'tolerant')",1.6895118,1.6399611,1.2414559,1.2505896,0.0091337
31,-0.64529526,-0.68388075,"('evil', 'good')",-1.2710208,-1.2695744,-0.958158,-0.9767276,-0.0185696
