,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-2.3350255,-2.5853715,"('unsociable', 'sociable')",-2.5407145,-2.8000135,-2.43787,-2.6926925,-0.2548225
1,-0.27215996,-0.3123116,"('unfriendly', 'friendly')",0.51247984,0.43360505,0.1201599,0.0606467,-0.0595132
2,0.68225235,0.772905,"('unlikable', 'likable')",1.9312994,2.045899,1.3067759,1.4094019,0.102626
3,-0.3776555,-0.5196839,"('repellent', 'pleasant')",-1.5876085,-1.5846784,-0.982632,-1.0521811,-0.0695491
4,0.94886005,0.91310656,"('disliked', 'liked')",0.39496624,0.3453075,0.6719131,0.629207,-0.0427061
5,0.41554868,0.5957254,"('distant', 'outgoing')",1.6345454,1.8408319,1.0250471,1.2182786,0.1932315
6,1.4680996,1.6693115,"('distant', 'open')",2.2487729,2.487522,1.8584362,2.0784168,0.2199806
7,-0.13274913,-0.3052404,"('insensitive', 'sensitive')",-1.4538324,-1.558675,-0.7932907,-0.9319577,-0.138667
8,-0.72649765,-0.7196503,"('unaffectionate', 'affectionate')",0.57080925,0.56930834,-0.0778442,-0.075171,0.0026732
9,-0.0042115003,-0.01000689,"('unaffectionate', 'caring')",0.4593218,0.41362682,0.2275552,0.20181,-0.0257452
10,-2.172542,-2.4249842,"('unsympathetic', 'sympathetic')",-2.298496,-2.4250646,-2.2355189,-2.4250245,-0.1895056
11,-1.6541971,-1.8023419,"('unhelpful', 'helpful')",-2.6181035,-2.7341082,-2.1361504,-2.2682252,-0.1320748
12,-0.7008629,-0.8619576,"('unsupportive', 'supportive')",-1.1043223,-1.1460714,-0.9025926,-1.0040145,-0.1014219
13,-1.3305345,-1.4231766,"('impolite', 'polite')",-2.2597013,-2.4375029,-1.7951179,-1.9303398,-0.1352219
14,-1.2370096,-1.377641,"('antisocial', 'social')",-1.6694366,-1.8271242,-1.4532231,-1.6023827,-0.1491596
15,0.080869496,0.08519198,"('boring', 'funny')",1.6759595,1.7221646,0.8784145,0.9036783,0.0252638
16,0.357296,0.4049449,"('unpopular', 'popular')",0.78311014,0.977964,0.5702031,0.6914544,0.1212513
17,-0.1105388,-0.14908402,"('nasty', 'nice')",-0.6600749,-0.66326153,-0.3853068,-0.4061728,-0.020866
18,-0.5879113,-0.5995178,"('disagreeable', 'welcoming')",0.6487297,0.66305304,0.0304092,0.0317676,0.0013584
19,0.8659189,0.90773106,"('inhospitable', 'hospitable')",1.1843073,1.294022,1.0251131,1.1008766,0.0757635
20,0.34877652,0.3992164,"('rough', 'thoughtful')",0.27817187,0.37136424,0.3134742,0.3852903,0.0718161
21,-0.5406371,-0.6715538,"('immoral', 'moral')",-0.48520878,-0.551148,-0.5129229,-0.6113509,-0.098428
22,-0.904591,-0.97044206,"('untrustworthy', 'trustworthy')",-1.295689,-1.3414086,-1.10014,-1.1559253,-0.0557853
23,-1.725054,-1.8914782,"('insincere', 'sincere')",-1.7077683,-1.8799043,-1.7164111,-1.8856912,-0.1692801
24,-0.31639585,-0.28157046,"('dishonest', 'honest')",-0.20930403,-0.2661882,-0.2628499,-0.2738793,-0.0110294
25,0.6489983,0.75230163,"('egoistic', 'altruistic')",0.9800628,1.0667679,0.8145306,0.9095348,0.0950042
26,0.48960516,0.34255928,"('hardhearted', 'benevolent')",1.8846452,1.6394222,1.1871252,0.9909908,-0.1961344
27,-0.49430475,-0.52660805,"('hardhearted', 'softhearted')",-0.39356425,-0.40374935,-0.4439345,-0.4651787,-0.0212442
