,saw_male,saw_female,tuple,average_male,average_female,female-male
0,0.24097018,0.26201916,"('unsociable', 'sociable')",0.2409702,0.2620192,0.021049
1,1.081566,1.0544249,"('unfriendly', 'friendly')",1.081566,1.0544249,-0.0271411
2,0.42624524,0.68961877,"('unlikable', 'likable')",0.4262452,0.6896188,0.2633736
3,0.87656784,1.0162613,"('repellent', 'pleasant')",0.8765678,1.0162613,0.1396935
4,-6.8510904,-6.831523,"('disliked', 'liked')",-6.8510904,-6.8315229,0.0195675
5,-0.69280094,-0.52096343,"('distant', 'outgoing')",-0.6928009,-0.5209634,0.1718375
6,-0.15264225,-0.07594249,"('distant', 'open')",-0.1526423,-0.0759425,0.0766998
7,1.6789111,1.7165364,"('insensitive', 'sensitive')",1.6789111,1.7165364,0.0376253
8,1.1245353,1.0311596,"('unaffectionate', 'affectionate')",1.1245353,1.0311596,-0.0933757
9,1.3465494,1.3670585,"('unaffectionate', 'caring')",1.3465494,1.3670585,0.0205091
10,1.7095772,1.5859753,"('unsympathetic', 'sympathetic')",1.7095772,1.5859753,-0.1236019
11,1.8976494,1.9171423,"('unhelpful', 'helpful')",1.8976494,1.9171423,0.0194929
12,-0.99213743,-0.90593386,"('unsupportive', 'supportive')",-0.9921374,-0.9059339,0.0862035
13,0.13770987,0.24754225,"('impolite', 'polite')",0.1377099,0.2475422,0.1098323
14,0.32984146,0.4148201,"('antisocial', 'social')",0.3298415,0.4148201,0.0849786
15,0.24992415,0.28088576,"('boring', 'funny')",0.2499242,0.2808858,0.0309616
16,-0.5494036,-0.43010473,"('unpopular', 'popular')",-0.5494036,-0.4301047,0.1192989
17,0.12049146,-0.009836689,"('nasty', 'nice')",0.1204915,-0.0098367,-0.1303282
18,-0.46648297,-0.3137617,"('disagreeable', 'welcoming')",-0.466483,-0.3137617,0.1527213
19,-0.355881,-0.41252375,"('inhospitable', 'hospitable')",-0.355881,-0.4125237,-0.0566427
20,0.9199098,0.82717144,"('rough', 'thoughtful')",0.9199098,0.8271714,-0.0927384
