,linde_male,linde_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.5207622,-0.57060236,"('unsociable', 'sociable')",-0.012911189,-0.16751358,-0.2668367,-0.369058,-0.1022213
1,-0.92748064,-0.94254494,"('unfriendly', 'friendly')",1.9656655,1.8357307,0.5190924,0.4465929,-0.0724995
2,0.3134509,0.39163747,"('unlikable', 'likable')",0.39163497,0.45084193,0.3525429,0.4212397,0.0686968
3,-0.36622193,-0.26204333,"('repellent', 'pleasant')",-0.12946759,-0.08937444,-0.2478448,-0.1757089,0.0721359
4,0.39575246,0.44177878,"('disliked', 'liked')",-4.1016593,-4.240514,-1.8529534,-1.8993676,-0.0464142
5,-0.79946434,-0.7870115,"('distant', 'outgoing')",0.2187118,0.20930363,-0.2903763,-0.2888539,0.0015224
6,-0.77376455,-0.68411714,"('distant', 'open')",0.032132007,0.017017953,-0.3708163,-0.3335496,0.0372667
7,0.28402853,0.3080788,"('insensitive', 'sensitive')",0.5464207,0.54505146,0.4152246,0.4265651,0.0113405
8,-0.9666349,-0.97986895,"('unaffectionate', 'affectionate')",0.7903073,0.65194404,-0.0881638,-0.1639625,-0.0757987
9,-0.8945777,-0.8768004,"('unaffectionate', 'caring')",1.3235635,1.236249,0.2144929,0.1797243,-0.0347686
10,-0.59386057,-0.50380677,"('unsympathetic', 'sympathetic')",-0.38268647,-0.41150948,-0.4882735,-0.4576581,0.0306154
11,-0.7295748,-0.72315145,"('unhelpful', 'helpful')",1.3020335,1.3588172,0.2862294,0.3178329,0.0316035
12,-0.49604222,-0.34371427,"('unsupportive', 'supportive')",-0.9580074,-0.9374289,-0.7270248,-0.6405716,0.0864532
13,-0.5478559,-0.5902055,"('impolite', 'polite')",-0.20435944,-0.24632877,-0.3761077,-0.4182671,-0.0421594
14,0.714866,0.7038602,"('antisocial', 'social')",1.0271701,0.98542947,0.8710181,0.8446448,-0.0263733
15,-0.1190092,-0.18102163,"('boring', 'funny')",0.11818284,0.06391916,-0.0004132,-0.0585512,-0.058138
16,-0.35232788,-0.334639,"('unpopular', 'popular')",-0.1295963,-0.16836229,-0.2409621,-0.2515007,-0.0105386
17,-0.07443158,-0.05565826,"('nasty', 'nice')",-0.9363863,-0.9645301,-0.5054089,-0.5100942,-0.0046853
18,0.026965104,0.15481664,"('disagreeable', 'welcoming')",-0.83098483,-0.90307456,-0.4020099,-0.374129,0.0278809
