,kla_male,kla_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.1906055,-0.013426747,"('unsociable', 'sociable')",-0.37538528,-0.61274695,-0.0923899,-0.3130868,-0.2206969
1,-0.83472925,-0.91972214,"('unfriendly', 'friendly')",1.4347953,1.1140009,0.300033,0.0971394,-0.2028936
2,0.49347523,0.47401133,"('unlikable', 'likable')",0.5470869,0.486885,0.5202811,0.4804482,-0.0398329
3,-0.0450379,-0.015227631,"('repellent', 'pleasant')",0.6539298,0.66166055,0.304446,0.3232165,0.0187705
4,-0.23640643,-0.22198287,"('disliked', 'liked')",-6.6496887,-6.656255,-3.4430475,-3.4391189,0.0039286
5,-0.9527971,-0.8754382,"('distant', 'outgoing')",-0.32958254,-0.3152638,-0.6411898,-0.595351,0.0458388
6,-1.2334815,-1.1402602,"('distant', 'open')",-0.34366798,-0.38049114,-0.7885748,-0.7603757,0.0281991
7,-0.33492666,-0.23313662,"('insensitive', 'sensitive')",0.22931077,0.18689662,-0.0528079,-0.02312,0.0296879
8,-0.09589591,-0.15921648,"('unaffectionate', 'affectionate')",1.0516387,0.9062831,0.4778714,0.3735333,-0.1043381
9,-0.45679557,-0.48724815,"('unaffectionate', 'caring')",1.1147404,0.9913579,0.3289724,0.2520549,-0.0769175
10,-0.5473718,-0.6410447,"('unsympathetic', 'sympathetic')",-1.168616,-1.2989643,-0.857994,-0.9700044,-0.1120104
11,-0.28496182,-0.3149761,"('unhelpful', 'helpful')",1.0478983,1.1978397,0.3814682,0.4414318,0.0599636
12,-0.2866196,-0.20677531,"('unsupportive', 'supportive')",-2.2427535,-2.290415,-1.2646866,-1.2485952,0.0160914
13,-0.32395312,-0.3941845,"('impolite', 'polite')",-0.9458159,-0.9137383,-0.6348845,-0.6539614,-0.0190769
14,0.66509753,0.59883803,"('antisocial', 'social')",0.1878526,0.044102337,0.4264751,0.3214702,-0.1050049
15,0.41292277,0.3571762,"('boring', 'funny')",0.345809,0.29562247,0.3793659,0.3263993,-0.0529666
16,-0.48298642,-0.3779455,"('unpopular', 'popular')",0.26495805,0.24540828,-0.1090142,-0.0662686,0.0427456
17,-0.16239348,-0.07222979,"('nasty', 'nice')",-0.78795123,-0.7931527,-0.4751723,-0.4326912,0.0424811
18,0.06712155,0.14448184,"('disagreeable', 'welcoming')",-0.552164,-0.6553062,-0.2425212,-0.2554122,-0.012891
19,-0.9269297,-0.908079,"('inhospitable', 'hospitable')",-0.65498483,-0.6532756,-0.7909573,-0.7806773,0.01028
20,-0.29436126,-0.20629716,"('rough', 'thoughtful')",0.62358606,0.6161416,0.1646124,0.2049222,0.0403098
21,0.1893219,0.17961168,"('immoral', 'moral')",-0.6136131,-0.61310536,-0.2121456,-0.2167468,-0.0046012
22,0.14689007,0.11279707,"('untrustworthy', 'trustworthy')",-1.058635,-1.1405879,-0.4558725,-0.5138955,-0.058023
23,0.04127036,-0.0037711114,"('insincere', 'sincere')",5.467355,5.4620204,2.7543125,2.7291245,-0.025188
24,-0.18012938,-0.29775268,"('dishonest', 'honest')",0.1983807,0.16203791,0.0091257,-0.0678574,-0.0769831
25,0.12028895,0.10272357,"('egoistic', 'altruistic')",1.3453954,1.2170057,0.7328422,0.6598647,-0.0729775
26,0.042076282,-0.15294501,"('hardhearted', 'benevolent')",1.9741815,1.6881684,1.0081289,0.7676117,-0.2405172
27,-0.021520086,0.028634675,"('hardhearted', 'softhearted')",1.0440874,0.91876876,0.5112836,0.4737017,-0.0375819
28,-0.22167805,-0.2116103,"('disloyal', 'loyal')",0.94584626,0.7992995,0.3620841,0.2938446,-0.0682395
