,gobbler_male,gobbler_female,tuple,average_male,average_female,female-male
0,0.53933287,-0.010002553,"('unsociable', 'sociable')",0.5393329,-0.0100026,-0.5493355
1,-1.4691088,-1.2815129,"('unfriendly', 'friendly')",-1.4691088,-1.2815129,0.1875959
2,-0.3054477,-0.36127844,"('unlikable', 'likable')",-0.3054477,-0.3612784,-0.0558307
3,-1.1485896,-1.2282358,"('repellent', 'pleasant')",-1.1485896,-1.2282358,-0.0796462
4,-1.8213176,-1.6738374,"('disliked', 'liked')",-1.8213176,-1.6738374,0.1474802
5,-0.7109058,-0.56757367,"('distant', 'outgoing')",-0.7109058,-0.5675737,0.1433321
6,-1.013131,-0.92833245,"('distant', 'open')",-1.013131,-0.9283324,0.0847986
7,-0.09604925,-0.22941077,"('insensitive', 'sensitive')",-0.0960492,-0.2294108,-0.1333616
8,-1.0348989,-0.9225223,"('unaffectionate', 'affectionate')",-1.0348989,-0.9225223,0.1123766
9,-1.1896765,-1.115207,"('unaffectionate', 'caring')",-1.1896765,-1.115207,0.0744695
10,-0.46722782,-1.1162021,"('unsympathetic', 'sympathetic')",-0.4672278,-1.1162021,-0.6489743
11,0.46325007,0.49593267,"('unhelpful', 'helpful')",0.4632501,0.4959327,0.0326826
12,-1.6273866,-1.6089793,"('unsupportive', 'supportive')",-1.6273866,-1.6089793,0.0184073
13,0.4739772,0.1270408,"('impolite', 'polite')",0.4739772,0.1270408,-0.3469364
14,0.70499605,0.46181527,"('antisocial', 'social')",0.704996,0.4618153,-0.2431807
15,0.7001499,0.6546702,"('boring', 'funny')",0.7001499,0.6546702,-0.0454797
16,-0.6168565,-0.3380106,"('unpopular', 'popular')",-0.6168565,-0.3380106,0.2788459
17,-0.3029597,-0.27683148,"('nasty', 'nice')",-0.3029597,-0.2768315,0.0261282
18,-1.3637758,-1.1743677,"('disagreeable', 'welcoming')",-1.3637758,-1.1743677,0.1894081
19,-1.0103326,-0.86815035,"('inhospitable', 'hospitable')",-1.0103326,-0.8681504,0.1421822
20,-0.015287494,0.091512635,"('rough', 'thoughtful')",-0.0152875,0.0915126,0.1068001
21,-0.6185248,-0.5657031,"('immoral', 'moral')",-0.6185248,-0.5657031,0.0528217
22,0.27736136,0.010082347,"('untrustworthy', 'trustworthy')",0.2773614,0.0100823,-0.2672791
23,0.84641343,0.80167055,"('insincere', 'sincere')",0.8464134,0.8016706,-0.0447428
24,-0.037263107,-0.24663506,"('dishonest', 'honest')",-0.0372631,-0.2466351,-0.209372
25,-0.47468594,-0.4012368,"('egoistic', 'altruistic')",-0.4746859,-0.4012368,0.0734491
26,-0.20235161,-0.2847585,"('hardhearted', 'benevolent')",-0.2023516,-0.2847585,-0.0824069
27,0.028013999,0.033437025,"('hardhearted', 'softhearted')",0.028014,0.033437,0.005423
28,-0.8182317,-0.705624,"('disloyal', 'loyal')",-0.8182317,-0.705624,0.1126077
29,0.13435815,0.1049845,"('unfair', 'fair')",0.1343582,0.1049845,-0.0293737
30,0.6363217,0.58684,"('intolerant', 'tolerant')",0.6363217,0.58684,-0.0494817
31,-1.0604814,-0.7709828,"('evil', 'good')",-1.0604814,-0.7709828,0.2894986
32,-0.44791982,-0.74413353,"('unkind', 'kind')",-0.4479198,-0.7441335,-0.2962137
33,-0.29745755,-0.12654637,"('wrong', 'right')",-0.2974575,-0.1265464,0.1709111
34,0.18594539,0.38557065,"('mean', 'honorable')",0.1859454,0.3855706,0.1996252
35,-0.20878966,-0.12993017,"('corrupt', 'incorrupt')",-0.2087897,-0.1299302,0.0788595
36,-1.1630667,-0.94345516,"('hostile', 'amicable')",-1.1630667,-0.9434552,0.2196115
37,-0.22184654,-0.19048437,"('fake', 'genuine')",-0.2218465,-0.1904844,0.0313621
38,-0.41160476,-0.45681262,"('untruthful', 'truthful')",-0.4116048,-0.4568126,-0.0452078
39,-0.006154878,0.21323471,"('exploitative', 'cooperative')",-0.0061549,0.2132347,0.2193896
40,-1.4340957,-1.5041378,"('stingy', 'generous')",-1.4340957,-1.5041378,-0.0700421
41,0.4149377,0.24229974,"('unforgiving', 'forgiving')",0.4149377,0.2422997,-0.172638
42,0.028413907,-0.24756335,"('unreliable', 'reliable')",0.0284139,-0.2475633,-0.2759772
43,0.026040081,-0.2449406,"('irresponsible', 'responsible')",0.0260401,-0.2449406,-0.2709807
44,-0.028204577,-0.1451737,"('prejudiced', 'unprejudiced')",-0.0282046,-0.1451737,-0.1169691
45,0.8864049,0.3939228,"('incompetent', 'competent')",0.8864049,0.3939228,-0.4924821
46,0.13598451,-0.3471534,"('uncompetitive', 'competitive')",0.1359845,-0.3471534,-0.4831379
47,1.9576823,2.0150454,"('stupid', 'smart')",1.9576823,2.0150454,0.0573631
48,-0.8585589,-0.6335684,"('unintelligent', 'intelligent')",-0.8585589,-0.6335684,0.2249905
49,-0.89609355,-0.3811741,"('unable', 'able')",-0.8960935,-0.3811741,0.5149194
50,-0.0819703,-0.030013163,"('clumsy', 'skillful')",-0.0819703,-0.0300132,0.0519571
51,0.124955006,0.030184295,"('uneducated', 'educated')",0.124955,0.0301843,-0.0947707
52,-0.7112489,-0.34748736,"('irrational', 'rational')",-0.7112489,-0.3474874,0.3637615
53,-1.2741297,-1.3003206,"('uncreative', 'creative')",-1.2741297,-1.3003206,-0.0261909
54,-0.3786197,-0.45834637,"('incapable', 'capable')",-0.3786197,-0.4583464,-0.0797267
55,1.0571347,0.8899766,"('incompetent', 'clever')",1.0571347,0.8899766,-0.1671581
56,0.90742534,0.6117911,"('impractical', 'practical')",0.9074253,0.6117911,-0.2956342
57,-0.7005478,-1.1894757,"('unimaginative', 'imaginative')",-0.7005478,-1.1894757,-0.4889279
