,news_male,news_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.55436033,0.48751426,"('unsociable', 'sociable')",-0.13604324,-0.11693598,0.2091585,0.1852891,-0.0238694
1,0.5733674,0.52125686,"('unfriendly', 'friendly')",1.1672461,1.1437035,0.8703067,0.8324802,-0.0378265
2,1.0234219,0.99445,"('unlikable', 'likable')",0.42530507,0.28908813,0.7243634,0.6417691,-0.0825943
3,0.09508282,0.29103935,"('repellent', 'pleasant')",0.8668653,1.058301,0.480974,0.6746702,0.1936962
4,-0.7034138,-0.72072273,"('disliked', 'liked')",-6.6430593,-6.9822454,-3.6732366,-3.8514841,-0.1782475
5,-0.23436575,-0.16264513,"('distant', 'outgoing')",-0.7296795,-0.66152555,-0.4820226,-0.4120854,0.0699372
6,-0.63707954,-0.5306932,"('distant', 'open')",-0.7723261,-0.64896363,-0.7047029,-0.5898284,0.1148745
7,1.0682294,1.2200547,"('insensitive', 'sensitive')",0.54570884,0.7426713,0.8069692,0.9813631,0.1743939
8,-0.27406514,-0.23152411,"('unaffectionate', 'affectionate')",0.91191614,0.8825016,0.3189255,0.3254887,0.0065632
9,0.8017648,0.91216624,"('unaffectionate', 'caring')",1.2954594,1.4959699,1.0486121,1.2040681,0.155456
10,0.3911226,0.43657202,"('unsympathetic', 'sympathetic')",-0.35624167,-0.17165224,0.0174405,0.1324599,0.1150194
11,0.23457417,0.3269286,"('unhelpful', 'helpful')",1.8370479,2.113592,1.0358111,1.2202603,0.1844492
12,0.80601096,0.96514845,"('unsupportive', 'supportive')",-1.812026,-1.644997,-0.5030075,-0.3399243,0.1630832
13,0.60649264,0.58175707,"('impolite', 'polite')",-1.0130254,-0.8714531,-0.2032664,-0.144848,0.0584184
14,2.3759296,2.3441856,"('antisocial', 'social')",0.4032469,0.26082352,1.3895882,1.3025045,-0.0870837
15,1.0957695,0.9782685,"('boring', 'funny')",-0.12441042,-0.2815655,0.4856796,0.3483515,-0.1373281
16,-1.3184733,-1.3365228,"('unpopular', 'popular')",-0.0019239485,0.08734952,-0.6601986,-0.6245866,0.035612
17,-0.51755226,-0.5042888,"('nasty', 'nice')",-0.37068853,-0.30458716,-0.4441204,-0.404438,0.0396824
18,-0.6076851,-0.6567177,"('disagreeable', 'welcoming')",-0.70389074,-0.66314864,-0.6557879,-0.6599332,-0.0041453
19,-0.53395075,-0.5567289,"('inhospitable', 'hospitable')",-0.23622237,-0.20429209,-0.3850866,-0.3805105,0.0045761
20,0.08691352,0.15999155,"('rough', 'thoughtful')",0.6454372,0.6232514,0.3661754,0.3916215,0.0254461
