,bellows_male,bellows_female,tuple,average_male,average_female,female-male
0,-0.43389237,-0.42541498,"('unsociable', 'sociable')",-0.4338924,-0.425415,0.0084774
1,0.8492392,0.67271453,"('unfriendly', 'friendly')",0.8492392,0.6727145,-0.1765247
2,0.32123086,0.35601324,"('unlikable', 'likable')",0.3212309,0.3560132,0.0347823
3,-1.1553637,-1.0480986,"('repellent', 'pleasant')",-1.1553637,-1.0480986,0.1072651
4,-2.4978273,-2.4117947,"('disliked', 'liked')",-2.4978273,-2.4117947,0.0860326
5,0.14175275,0.15953852,"('distant', 'outgoing')",0.1417527,0.1595385,0.0177858
6,0.21641766,0.21138357,"('distant', 'open')",0.2164177,0.2113836,-0.0050341
7,0.27116308,0.32562566,"('insensitive', 'sensitive')",0.2711631,0.3256257,0.0544626
8,1.0470582,0.8890789,"('unaffectionate', 'affectionate')",1.0470582,0.8890789,-0.1579793
9,1.0999484,0.9958083,"('unaffectionate', 'caring')",1.0999484,0.9958083,-0.1041401
10,-0.7927448,-0.7235314,"('unsympathetic', 'sympathetic')",-0.7927448,-0.7235314,0.0692134
11,-0.56241834,-0.5520935,"('unhelpful', 'helpful')",-0.5624183,-0.5520935,0.0103248
12,-1.4825948,-1.4465365,"('unsupportive', 'supportive')",-1.4825948,-1.4465365,0.0360583
13,-0.82482696,-0.85293734,"('impolite', 'polite')",-0.824827,-0.8529373,-0.0281103
14,0.035462637,0.08357335,"('antisocial', 'social')",0.0354626,0.0835733,0.0481107
15,0.78971434,0.6842159,"('boring', 'funny')",0.7897143,0.6842159,-0.1054984
16,-0.29460424,-0.3984422,"('unpopular', 'popular')",-0.2946042,-0.3984422,-0.103838
17,-0.42533687,-0.37555376,"('nasty', 'nice')",-0.4253369,-0.3755538,0.0497831
18,-0.76227444,-0.78883106,"('disagreeable', 'welcoming')",-0.7622744,-0.7888311,-0.0265567
19,-0.18224123,-0.13903177,"('inhospitable', 'hospitable')",-0.1822412,-0.1390318,0.0432094
20,-0.35099906,-0.28220257,"('rough', 'thoughtful')",-0.3509991,-0.2822026,0.0687965
21,-1.1400911,-1.0300225,"('immoral', 'moral')",-1.1400911,-1.0300225,0.1100686
22,-1.0743004,-1.0534352,"('untrustworthy', 'trustworthy')",-1.0743004,-1.0534352,0.0208652
23,2.6328824,2.5300567,"('insincere', 'sincere')",2.6328824,2.5300567,-0.1028257
24,0.38746434,0.30702704,"('dishonest', 'honest')",0.3874643,0.307027,-0.0804373
25,0.88814473,0.7794165,"('egoistic', 'altruistic')",0.8881447,0.7794165,-0.1087282
