,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.63969564,-0.7176382,"('unsociable', 'sociable')",-0.30435243,-0.4177219,-0.472024,-0.5676801,-0.0956561
1,-1.4857951,-1.63853,"('unfriendly', 'friendly')",2.090098,1.9913332,0.3021514,0.1764016,-0.1257498
2,0.4385596,0.47876248,"('unlikable', 'likable')",0.43916506,0.5458333,0.4388623,0.5122979,0.0734356
3,-0.46855783,-0.3217566,"('repellent', 'pleasant')",0.4153501,0.47457927,-0.0266039,0.0764113,0.1030152
4,-0.28152722,-0.28551722,"('disliked', 'liked')",-6.921238,-7.041001,-3.6013825,-3.663259,-0.0618765
5,-1.1816242,-1.1886001,"('distant', 'outgoing')",0.095329784,0.07761572,-0.5431472,-0.5554922,-0.012345
6,-1.5477012,-1.5634737,"('distant', 'open')",0.4387951,0.4344616,-0.5544531,-0.5645061,-0.010053
7,-0.8206438,-0.6907308,"('insensitive', 'sensitive')",0.7006842,0.77909744,-0.0599798,0.0441833,0.1041631
8,-0.7979937,-0.855842,"('unaffectionate', 'affectionate')",1.2770878,1.1808424,0.239547,0.1625002,-0.0770468
9,-1.4722356,-1.53488,"('unaffectionate', 'caring')",1.2079576,1.1682521,-0.132139,-0.183314,-0.051175
10,-1.3658696,-1.3206774,"('unsympathetic', 'sympathetic')",-0.43344554,-0.44553462,-0.8996576,-0.883106,0.0165516
11,-0.58435947,-0.5207091,"('unhelpful', 'helpful')",1.3995774,1.5538027,0.407609,0.5165468,0.1089378
12,-0.8699719,-0.727651,"('unsupportive', 'supportive')",-1.7541057,-1.7584194,-1.3120388,-1.2430352,0.0690036
13,-0.32455152,-0.36120784,"('impolite', 'polite')",-0.5444888,-0.4525724,-0.4345202,-0.4068901,0.0276301
14,0.59275806,0.63940823,"('antisocial', 'social')",-0.079217374,-0.12353188,0.2567703,0.2579382,0.0011679
15,0.050675966,-0.06777376,"('boring', 'funny')",0.6953437,0.6931538,0.3730098,0.31269,-0.0603198
16,-0.8466717,-0.79574805,"('unpopular', 'popular')",-0.09539903,0.040232077,-0.4710354,-0.377758,0.0932774
