,csx_male,csx_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.83240217,-0.9014143,"('unsociable', 'sociable')",-0.2618249,-0.43821186,-0.5471135,-0.669813,-0.1226995
1,-0.28978056,-0.7716084,"('unfriendly', 'friendly')",0.90467453,0.644403,0.307447,-0.0636027,-0.3710497
2,0.9149869,0.8585528,"('unlikable', 'likable')",0.9219957,0.8711425,0.9184913,0.8648477,-0.0536436
3,-0.27256125,-0.17748249,"('repellent', 'pleasant')",0.70749795,0.74598557,0.2174684,0.2842515,0.0667831
4,-0.1976796,-0.34947926,"('disliked', 'liked')",-5.7592673,-5.900162,-2.9784734,-3.1248207,-0.1463473
5,-0.16636622,-0.37065145,"('distant', 'outgoing')",-0.42009366,-0.48939186,-0.2932299,-0.4300216,-0.1367917
6,-0.3099763,-0.59174335,"('distant', 'open')",-0.38761187,-0.5016655,-0.3487941,-0.5467044,-0.1979103
7,-0.37157702,-0.31838167,"('insensitive', 'sensitive')",0.18258637,0.09840129,-0.0944953,-0.1099902,-0.0154949
8,-0.25245494,-0.48546064,"('unaffectionate', 'affectionate')",0.69798285,0.5679649,0.222764,0.0412521,-0.1815119
9,-0.15620291,-0.4612746,"('unaffectionate', 'caring')",0.83124775,0.67934555,0.3375224,0.1090355,-0.2284869
10,-0.98802555,-1.0493284,"('unsympathetic', 'sympathetic')",-0.9271238,-1.0701628,-0.9575747,-1.0597456,-0.1021709
11,-1.1263481,-1.0751363,"('unhelpful', 'helpful')",0.8827817,0.9586716,-0.1217832,-0.0582323,0.0635509
12,0.081399515,0.028393188,"('unsupportive', 'supportive')",-1.7299855,-1.8602494,-0.824293,-0.9159281,-0.0916351
13,-1.616855,-1.4795026,"('impolite', 'polite')",-1.188166,-1.123503,-1.4025105,-1.3015027,0.1010078
14,-0.1191759,0.022284769,"('antisocial', 'social')",0.13058075,0.030622264,0.0057024,0.0264535,0.0207511
15,0.7510437,0.5610741,"('boring', 'funny')",0.2843998,0.23368818,0.5177218,0.3973811,-0.1203407
16,-0.09470335,-0.12721145,"('unpopular', 'popular')",0.42972457,0.44331038,0.1675106,0.1580495,-0.0094611
17,-0.65507776,-0.58552057,"('nasty', 'nice')",-0.66696423,-0.6049126,-0.661021,-0.5952166,0.0658044
18,-0.81402516,-0.9114315,"('disagreeable', 'welcoming')",-0.5274417,-0.649498,-0.6707335,-0.7804648,-0.1097313
19,-0.8570969,-1.0418438,"('inhospitable', 'hospitable')",-0.5075606,-0.51485914,-0.6823288,-0.7783514,-0.0960226
20,-0.09728658,0.020887319,"('rough', 'thoughtful')",0.8147775,0.7343218,0.3587455,0.3776045,0.018859
21,-0.25029516,-0.26541746,"('immoral', 'moral')",-0.67932016,-0.69515955,-0.4648077,-0.4802885,-0.0154808
22,-0.67746276,-0.7165381,"('untrustworthy', 'trustworthy')",-0.7889139,-0.9752228,-0.7331883,-0.8458804,-0.1126921
23,-0.57036066,-0.71338356,"('insincere', 'sincere')",4.4295745,4.4415474,1.9296069,1.8640819,-0.065525
24,-0.07080527,-0.16115902,"('dishonest', 'honest')",0.17097968,0.10507645,0.0500872,-0.0280413,-0.0781285
25,0.5565051,0.43202558,"('egoistic', 'altruistic')",1.316045,1.2736641,0.9362751,0.8528448,-0.0834303
26,0.5130806,0.24431346,"('hardhearted', 'benevolent')",1.9274981,1.7001969,1.2202893,0.9722552,-0.2480341
27,-0.9598012,-0.82998943,"('hardhearted', 'softhearted')",0.8606762,0.7794615,-0.0495625,-0.025264,0.0242985
28,-0.29679137,-0.44709015,"('disloyal', 'loyal')",0.52666163,0.4526055,0.1149351,0.0027577,-0.1121774
29,-0.025484614,-0.17703488,"('unfair', 'fair')",-0.09928772,-0.24371603,-0.0623862,-0.2103755,-0.1479893
30,-0.2311477,-0.18412185,"('intolerant', 'tolerant')",0.43883845,0.38136804,0.1038454,0.0986231,-0.0052223
31,-0.1246912,-0.39661556,"('evil', 'good')",-0.36681592,-0.55487764,-0.2457536,-0.4757466,-0.229993
32,-0.033974517,-0.15406902,"('unkind', 'kind')",0.32778203,0.13050777,0.1469038,-0.0117806,-0.1586844
33,0.5793555,0.30404213,"('wrong', 'right')",-0.39632848,-0.5158895,0.0915135,-0.1059237,-0.1974372
34,-0.69805366,-0.5909688,"('mean', 'honorable')",4.519611,4.8247633,1.9107786,2.1168973,0.2061187
35,-0.42985734,-0.6105239,"('corrupt', 'incorrupt')",-0.063287884,-0.15978013,-0.2465726,-0.385152,-0.1385794
36,-0.17841363,-0.6186546,"('hostile', 'amicable')",0.2687878,0.020696804,0.0451871,-0.2989789,-0.344166
37,-0.31411183,-0.34914505,"('fake', 'genuine')",-0.11757566,-0.08716917,-0.2158437,-0.2181571,-0.0023134
38,-1.1214385,-1.2584167,"('untruthful', 'truthful')",-0.62074625,-0.57794946,-0.8710924,-0.9181831,-0.0470907
