,dock_male,dock_female,tuple,average_male,average_female,female-male
0,0.23221904,0.3896122,"('unsociable', 'sociable')",0.232219,0.3896122,0.1573932
1,2.3184824,2.3252537,"('unfriendly', 'friendly')",2.3184824,2.3252537,0.0067713
2,0.58434796,0.5792364,"('unlikable', 'likable')",0.584348,0.5792364,-0.0051116
3,0.02288508,0.185526,"('repellent', 'pleasant')",0.0228851,0.185526,0.1626409
4,-6.3193254,-6.3173656,"('disliked', 'liked')",-6.3193254,-6.3173656,0.0019598
5,0.062291984,-0.11719822,"('distant', 'outgoing')",0.062292,-0.1171982,-0.1794902
6,1.0127102,0.8214234,"('distant', 'open')",1.0127102,0.8214234,-0.1912868
7,0.87441,1.0723615,"('insensitive', 'sensitive')",0.87441,1.0723615,0.1979515
8,2.4028616,2.160206,"('unaffectionate', 'affectionate')",2.4028616,2.1602061,-0.2426555
9,2.5056713,2.332842,"('unaffectionate', 'caring')",2.5056713,2.3328421,-0.1728292
10,-0.2369256,-0.014017433,"('unsympathetic', 'sympathetic')",-0.2369256,-0.0140174,0.2229082
11,1.2131315,1.3265284,"('unhelpful', 'helpful')",1.2131315,1.3265284,0.1133969
12,-1.4594518,-1.4130311,"('unsupportive', 'supportive')",-1.4594518,-1.4130311,0.0464207
13,-0.88534045,-0.76172817,"('impolite', 'polite')",-0.8853405,-0.7617282,0.1236123
14,-0.023015056,0.12606083,"('antisocial', 'social')",-0.0230151,0.1260608,0.1490759
15,1.1165323,0.9578516,"('boring', 'funny')",1.1165323,0.9578516,-0.1586807
16,-0.08505068,-0.07791243,"('unpopular', 'popular')",-0.0850507,-0.0779124,0.0071383
17,-0.123301394,-0.16875215,"('nasty', 'nice')",-0.1233014,-0.1687521,-0.0454507
18,-0.6285929,-0.64736295,"('disagreeable', 'welcoming')",-0.6285929,-0.6473629,-0.01877
19,-0.30673242,-0.3531725,"('inhospitable', 'hospitable')",-0.3067324,-0.3531725,-0.0464401
20,0.22930448,0.34120184,"('rough', 'thoughtful')",0.2293045,0.3412018,0.1118973
21,-1.1544201,-0.91552126,"('immoral', 'moral')",-1.1544201,-0.9155213,0.2388988
22,-0.77694076,-0.65057135,"('untrustworthy', 'trustworthy')",-0.7769408,-0.6505713,0.1263695
23,5.7115726,5.856054,"('insincere', 'sincere')",5.7115726,5.8560538,0.1444812
24,1.1718811,1.1167458,"('dishonest', 'honest')",1.1718811,1.1167458,-0.0551353
25,1.6834077,1.5609301,"('egoistic', 'altruistic')",1.6834077,1.5609301,-0.1224776
26,2.08131,2.074018,"('hardhearted', 'benevolent')",2.08131,2.074018,-0.007292
27,1.371427,1.1320283,"('hardhearted', 'softhearted')",1.3714271,1.1320283,-0.2393988
28,1.1250583,1.1622546,"('disloyal', 'loyal')",1.1250583,1.1622546,0.0371963
29,-0.3545881,-0.45314822,"('unfair', 'fair')",-0.3545881,-0.4531482,-0.0985601
30,0.29041,0.4330112,"('intolerant', 'tolerant')",0.29041,0.4330112,0.1426012
31,-0.43804732,-0.52325547,"('evil', 'good')",-0.4380473,-0.5232555,-0.0852082
32,0.7904546,0.82080144,"('unkind', 'kind')",0.7904546,0.8208014,0.0303468
33,0.44985092,0.2787412,"('wrong', 'right')",0.4498509,0.2787412,-0.1711097
34,4.7209735,4.892589,"('mean', 'honorable')",4.7209735,4.8925891,0.1716156
35,0.34112352,-0.0037946766,"('corrupt', 'incorrupt')",0.3411235,-0.0037947,-0.3449182
36,0.7261022,0.57665646,"('hostile', 'amicable')",0.7261022,0.5766565,-0.1494457
37,0.35205922,0.390254,"('fake', 'genuine')",0.3520592,0.390254,0.0381948
38,0.27691445,0.26810902,"('untruthful', 'truthful')",0.2769144,0.268109,-0.0088054
39,0.21736604,0.2043854,"('exploitative', 'cooperative')",0.217366,0.2043854,-0.0129806
40,-2.0000358,-1.9307204,"('stingy', 'generous')",-2.0000358,-1.9307204,0.0693154
41,0.4739953,0.59322125,"('unforgiving', 'forgiving')",0.4739953,0.5932212,0.1192259
42,-2.9492643,-2.8111892,"('unreliable', 'reliable')",-2.9492643,-2.8111892,0.1380751
43,0.38096797,0.50789005,"('irresponsible', 'responsible')",0.380968,0.50789,0.126922
44,-2.1301823,-2.138225,"('prejudiced', 'unprejudiced')",-2.1301823,-2.1382251,-0.0080428
45,-0.37683046,-0.06918552,"('incompetent', 'competent')",-0.3768305,-0.0691855,0.307645
46,-1.3891976,-1.0621947,"('uncompetitive', 'competitive')",-1.3891976,-1.0621947,0.3270029
47,5.1207066,5.306819,"('stupid', 'smart')",5.1207066,5.306819,0.1861124
48,0.2055652,0.41431928,"('unintelligent', 'intelligent')",0.2055652,0.4143193,0.2087541
49,-0.45549095,-0.30881134,"('unable', 'able')",-0.4554909,-0.3088113,0.1466796
50,-0.6815735,-0.7191853,"('clumsy', 'skillful')",-0.6815735,-0.7191853,-0.0376118
51,-0.91467535,-0.79242885,"('uneducated', 'educated')",-0.9146754,-0.7924289,0.1222465
52,0.66290814,0.3626447,"('irrational', 'rational')",0.6629081,0.3626447,-0.3002634
53,0.6421547,0.7393767,"('uncreative', 'creative')",0.6421547,0.7393767,0.097222
54,1.1451781,1.1746191,"('incapable', 'capable')",1.1451781,1.1746191,0.029441
55,-0.13219339,0.1862842,"('incompetent', 'clever')",-0.1321934,0.1862842,0.3184776
56,0.1638974,0.3776893,"('impractical', 'practical')",0.1638974,0.3776893,0.2137919
57,-2.6153946,-2.3204396,"('unimaginative', 'imaginative')",-2.6153946,-2.3204396,0.294955
58,-0.06361311,0.15378317,"('undiscriminating', 'discriminating')",-0.0636131,0.1537832,0.2173963
59,0.43455335,0.26618293,"('foolish', 'wise')",0.4345534,0.2661829,-0.1683705
60,-0.99795294,-0.6990467,"('inefficient', 'efficient')",-0.9979529,-0.6990467,0.2989062
61,0.6509564,0.622578,"('illogical', 'logical')",0.6509564,0.622578,-0.0283784
62,-0.32156783,-0.11668778,"('incompetent', 'brilliant')",-0.3215678,-0.1166878,0.20488
63,0.04914244,0.28575838,"('unperceptive', 'insightful')",0.0491424,0.2857584,0.236616
64,-6.8996177,-6.8969703,"('shy', 'confident')",-6.8996177,-6.8969703,0.0026474
65,-0.63823074,-0.4443858,"('insecure', 'secure')",-0.6382307,-0.4443858,0.1938449
66,0.41685337,0.3234523,"('inactive', 'active')",0.4168534,0.3234523,-0.0934011
67,-0.14159706,-0.10344086,"('doubtful', 'determined')",-0.1415971,-0.1034409,0.0381562
68,-1.4047194,-1.3511336,"('dependent', 'independent')",-1.4047194,-1.3511336,0.0535858
69,-0.8190038,-1.0271393,"('lazy', 'industrious')",-0.8190038,-1.0271393,-0.2081355
70,0.0633221,0.25733215,"('lethargic', 'energetic')",0.0633221,0.2573321,0.19401
71,1.110041,1.0270395,"('diffident', 'self-confident')",1.110041,1.0270395,-0.0830015
72,-0.11000199,-0.063035145,"('unambitious', 'ambitious')",-0.110002,-0.0630351,0.0469669
73,-3.2598345,-3.265525,"('helpless', 'self-reliant')",-3.2598345,-3.2655251,-0.0056906
74,0.3621742,0.34223238,"('undedicated', 'dedicated')",0.3621742,0.3422324,-0.0199418
75,-0.9140476,-0.87654805,"('meek', 'impulsive')",-0.9140476,-0.8765481,0.0374995
76,-0.8406875,-0.59107524,"('anxious', 'daring')",-0.8406875,-0.5910752,0.2496123
77,-1.5678821,-1.2962713,"('unmotivated', 'motivated')",-1.5678821,-1.2962713,0.2716108
78,-0.35464093,-0.3463538,"('nonresilient', 'resilient')",-0.3546409,-0.3463538,0.0082871
79,0.1784568,0.13079953,"('wavering', 'unwavering')",0.1784568,0.1307995,-0.0476573
80,-0.663605,-0.53058016,"('dominated', 'dominating')",-0.663605,-0.5305802,0.1330248
81,-1.3359543,-1.0578523,"('submissive', 'aggressive')",-1.3359543,-1.0578523,0.278102
82,5.1078134,5.2906723,"('poor', 'rich')",5.1078134,5.2906723,0.1828589
83,-0.88970643,-0.81309,"('powerless', 'powerful')",-0.8897064,-0.81309,0.0766164
84,-0.031705163,-0.014128167,"('inferior', 'superior')",-0.0317052,-0.0141282,0.017577
85,0.43309388,0.28632176,"('insignificant', 'prestigious')",0.4330939,0.2863218,-0.1467721
86,0.426471,0.4980104,"('uninfluential', 'influential')",0.426471,0.4980104,0.0715394
87,-0.25616273,-0.111834876,"('unsuccessful', 'successful')",-0.2561627,-0.1118349,0.1443278
88,-0.1653046,-0.094347425,"('low', 'eminent')",-0.1653046,-0.0943474,0.0709572
