,mead_male,mead_female,tuple,johnson_male,johnson_female,nutrition_male,nutrition_female,co_male,co_female,average_male,average_female,female-male
0,0.873994,0.8174358,"('unsociable', 'sociable')",0.46321207,0.232418,1.4347895,1.3129518,-0.018407384,-0.20493533,0.688397,0.5394676,-0.1489294
1,0.13190205,-0.08014788,"('unfriendly', 'friendly')",-0.12372077,-0.31371355,1.2056155,1.2340903,1.8234917,1.7172871,0.7593222,0.639379,-0.1199432
2,0.8014227,0.81678677,"('unlikable', 'likable')",1.049686,1.1220973,1.0581619,1.0370739,0.7375181,0.80027133,0.9116971,0.9440573,0.0323602
3,-0.11850855,-0.07312973,"('repellent', 'pleasant')",-0.67918456,-0.68862647,-1.4571278,-1.3154273,0.45070988,0.4881881,-0.4510278,-0.3972489,0.0537789
4,-2.0770452,-2.0867507,"('disliked', 'liked')",0.09817386,0.03954371,-0.1454955,-0.024418022,-7.2058573,-7.332822,-2.332556,-2.3511119,-0.0185559
5,-0.90578526,-0.9027708,"('distant', 'outgoing')",-0.27797246,-0.13115476,0.5369984,0.7057589,-0.45218915,-0.30651924,-0.2747371,-0.1586715,0.1160656
6,-1.3325775,-1.3010578,"('distant', 'open')",-0.17033258,0.040704,0.5387351,0.73101664,-0.08203694,0.06823526,-0.261553,-0.1152755,0.1462775
7,1.0000598,1.0812991,"('insensitive', 'sensitive')",-0.12695996,-0.096995324,0.18584912,0.27061105,0.4902495,0.49768496,0.3872996,0.4381499,0.0508503
8,-0.3359208,-0.4472204,"('unaffectionate', 'affectionate')",0.20982502,0.23497903,0.6176722,0.578259,0.9261494,0.89652646,0.3544315,0.315636,-0.0387955
9,0.5430405,0.42947286,"('unaffectionate', 'caring')",0.09464788,0.09946739,1.3667876,1.3688601,1.329628,1.3138275,0.833526,0.802907,-0.030619
10,0.68677396,0.79954064,"('unsympathetic', 'sympathetic')",-0.044362582,-0.085797004,0.39624214,0.42797256,-0.15335268,-0.20471117,0.2213252,0.2342513,0.0129261
11,0.30467868,0.26699078,"('unhelpful', 'helpful')",0.52425486,0.5127581,0.18326217,0.15735698,1.8365102,1.8363404,0.7121764,0.6933616,-0.0188148
12,1.0570071,1.0611508,"('unsupportive', 'supportive')",1.605929,1.6089642,2.0223215,2.1759994,-1.8890008,-1.9185385,0.6990643,0.7318939,0.0328296
13,0.8397964,0.8591897,"('impolite', 'polite')",0.14368664,0.08816852,1.4435258,1.3442563,-0.11258865,-0.16162771,0.5786051,0.5324967,-0.0461084
14,0.8015663,0.83001316,"('antisocial', 'social')",-0.1268946,-0.17331342,0.636193,0.61041224,-0.067521006,-0.18677633,0.3108359,0.2700839,-0.040752
