,lesson_male,lesson_female,tuple,average_male,average_female,female-male
0,0.47166806,0.4519451,"('unsociable', 'sociable')",0.4716681,0.4519451,-0.019723
1,1.6219515,1.6417655,"('unfriendly', 'friendly')",1.6219515,1.6417655,0.019814
2,0.2378566,0.37114415,"('unlikable', 'likable')",0.2378566,0.3711441,0.1332875
3,1.3711607,1.4418279,"('repellent', 'pleasant')",1.3711607,1.4418279,0.0706672
4,-7.1056232,-7.1033483,"('disliked', 'liked')",-7.1056232,-7.1033483,0.0022749
5,-0.27522835,-0.06498832,"('distant', 'outgoing')",-0.2752284,-0.0649883,0.2102401
6,0.07654378,0.26522645,"('distant', 'open')",0.0765438,0.2652265,0.1886827
7,1.8534458,1.9226027,"('insensitive', 'sensitive')",1.8534458,1.9226027,0.0691569
8,0.87592643,0.9141049,"('unaffectionate', 'affectionate')",0.8759264,0.9141049,0.0381785
9,1.6114979,1.7592466,"('unaffectionate', 'caring')",1.6114979,1.7592466,0.1477487
10,1.5407662,1.5882165,"('unsympathetic', 'sympathetic')",1.5407662,1.5882165,0.0474503
11,2.1764107,2.2744513,"('unhelpful', 'helpful')",2.1764107,2.2744513,0.0980406
12,-0.9943207,-0.7313915,"('unsupportive', 'supportive')",-0.9943207,-0.7313915,0.2629292
13,0.80198973,0.6926958,"('impolite', 'polite')",0.8019897,0.6926958,-0.1092939
14,0.21252629,0.1327076,"('antisocial', 'social')",0.2125263,0.1327076,-0.0798187
15,0.3901274,0.359499,"('boring', 'funny')",0.3901274,0.359499,-0.0306284
16,-0.49305096,-0.35070366,"('unpopular', 'popular')",-0.493051,-0.3507037,0.1423473
17,-0.19892992,-0.15652448,"('nasty', 'nice')",-0.1989299,-0.1565245,0.0424054
18,-0.2618894,-0.21042502,"('disagreeable', 'welcoming')",-0.2618894,-0.210425,0.0514644
19,-0.3169623,-0.05136416,"('inhospitable', 'hospitable')",-0.3169623,-0.0513642,0.2655981
20,0.57932174,0.45302156,"('rough', 'thoughtful')",0.5793217,0.4530216,-0.1263001
21,0.38263908,0.5587847,"('immoral', 'moral')",0.3826391,0.5587847,0.1761456
22,-0.16319478,-0.057269838,"('untrustworthy', 'trustworthy')",-0.1631948,-0.0572698,0.105925
23,7.1928124,7.3281617,"('insincere', 'sincere')",7.1928124,7.3281617,0.1353493
24,2.2799318,2.4398527,"('dishonest', 'honest')",2.2799318,2.4398527,0.1599209
25,0.7929667,0.6752502,"('egoistic', 'altruistic')",0.7929667,0.6752502,-0.1177165
26,0.32235533,0.088096455,"('hardhearted', 'benevolent')",0.3223553,0.0880965,-0.2342588
27,1.9303036,1.8025867,"('hardhearted', 'softhearted')",1.9303036,1.8025867,-0.1277169
28,1.3397741,1.2745976,"('disloyal', 'loyal')",1.3397741,1.2745976,-0.0651765
29,-0.60956216,-0.652053,"('unfair', 'fair')",-0.6095622,-0.652053,-0.0424908
30,1.2345115,1.2615091,"('intolerant', 'tolerant')",1.2345115,1.2615091,0.0269976
31,-1.5402442,-1.4109573,"('evil', 'good')",-1.5402442,-1.4109573,0.1292869
32,1.627179,1.5334991,"('unkind', 'kind')",1.627179,1.5334991,-0.0936799
33,-0.37718084,-0.28337783,"('wrong', 'right')",-0.3771808,-0.2833778,0.093803
34,5.0112834,5.2990446,"('mean', 'honorable')",5.0112834,5.2990446,0.2877612
35,-1.5752491,-1.6188914,"('corrupt', 'incorrupt')",-1.5752491,-1.6188914,-0.0436423
36,-1.5664697,-1.6083269,"('hostile', 'amicable')",-1.5664697,-1.6083269,-0.0418572
37,1.360175,1.2778908,"('fake', 'genuine')",1.360175,1.2778908,-0.0822842
38,0.24326462,0.33086684,"('untruthful', 'truthful')",0.2432646,0.3308668,0.0876022
39,0.3677302,0.37374905,"('exploitative', 'cooperative')",0.3677302,0.373749,0.0060188
40,-0.8225704,-0.9365227,"('stingy', 'generous')",-0.8225704,-0.9365227,-0.1139523
