,jbg_male,jbg_female,tuple,smith_male,smith_female,properties_male,properties_female,average_male,average_female,female-male
0,-0.94234306,-1.0608661,"('unsociable', 'sociable')",0.90496373,0.8468947,0.4118421,0.3613729,0.1248209,0.0491338,-0.0756871
1,-1.0718656,-1.1935034,"('unfriendly', 'friendly')",-0.058289766,-0.22910756,1.5548117,1.3216251,0.1415521,-0.033662,-0.1752141
2,1.1302167,1.1793315,"('unlikable', 'likable')",1.1110152,1.1748481,0.5056638,0.58719796,0.9156319,0.9804592,0.0648273
3,-0.46749327,-0.48913547,"('repellent', 'pleasant')",0.4180036,0.617803,0.33591464,0.39330038,0.095475,0.1739893,0.0785143
4,1.3601894,1.1514252,"('disliked', 'liked')",-0.04715666,-0.24378937,-6.683756,-6.904358,-1.7902411,-1.9989074,-0.2086663
5,0.66930956,0.73590624,"('distant', 'outgoing')",-0.7597924,-0.81974703,-0.14379075,-0.2339071,-0.0780912,-0.105916,-0.0278248
6,0.07719748,0.19464862,"('distant', 'open')",-0.6529026,-0.6953434,-0.060019784,-0.17924398,-0.2119083,-0.2266462,-0.0147379
7,-0.45335168,-0.4266634,"('insensitive', 'sensitive')",1.2029442,1.3741295,1.2622459,1.3156141,0.6706128,0.75436,0.0837472
8,-0.4890862,-0.51187134,"('unaffectionate', 'affectionate')",-0.25219446,-0.32343775,1.0412039,0.8465944,0.0999744,0.0037618,-0.0962126
9,-0.4928206,-0.6136941,"('unaffectionate', 'caring')",0.52015066,0.46489736,2.1737113,2.010674,0.7336805,0.6206258,-0.1130547
10,-1.3532087,-1.3860521,"('unsympathetic', 'sympathetic')",0.39150926,0.5947469,0.546698,0.5963906,-0.1383338,-0.0649715,0.0733623
11,-0.5662038,-0.61309224,"('unhelpful', 'helpful')",-0.025338242,0.06617849,2.639058,2.5907686,0.6825054,0.6812849,-0.0012205
12,0.19689868,0.19406146,"('unsupportive', 'supportive')",1.1063175,1.1825402,-0.8259552,-0.86767673,0.159087,0.1696417,0.0105547
13,-0.31540787,-0.29045144,"('impolite', 'polite')",0.947138,1.0712174,0.3574358,0.43430093,0.329722,0.4050223,0.0753003
14,0.017010119,-0.0006850399,"('antisocial', 'social')",1.0644323,1.205224,0.44588563,0.57173604,0.5091093,0.5920916,0.0829823
15,0.44289464,0.4617119,"('boring', 'funny')",0.11214228,0.03992416,-0.11660448,-0.17476688,0.1461441,0.1089564,-0.0371877
16,-0.048789293,-0.21131174,"('unpopular', 'popular')",-1.4431463,-1.5390708,0.46137643,0.52889484,-0.3435197,-0.4071626,-0.0636429
17,0.15262136,0.12847325,"('nasty', 'nice')",0.18132089,0.19503137,-0.38178253,-0.33108905,-0.0159468,-0.0025281,0.0134187
18,-1.0548364,-0.8910365,"('disagreeable', 'welcoming')",-0.81830734,-0.81574064,-0.9870155,-0.9993762,-0.9533864,-0.9020511,0.0513353
19,0.4635881,0.5114313,"('inhospitable', 'hospitable')",-0.3135989,-0.34284917,-0.28248295,-0.3170229,-0.0441646,-0.0494803,-0.0053157
20,-0.60387987,-0.53653556,"('rough', 'thoughtful')",0.96574396,1.0414207,0.5243373,0.5973653,0.2954005,0.3674168,0.0720163
21,-0.56487423,-0.5110212,"('immoral', 'moral')",0.50137156,0.67415404,-0.7604032,-0.52110666,-0.2746353,-0.1193246,0.1553107
22,0.34243652,0.3576099,"('untrustworthy', 'trustworthy')",1.5382924,1.6020747,-0.9091168,-0.87061244,0.3238707,0.3630241,0.0391534
23,-0.8300433,-0.8722428,"('insincere', 'sincere')",0.6627453,0.7568484,6.9802284,7.033772,2.2709769,2.3061258,0.0351489
24,-0.32026485,-0.1666534,"('dishonest', 'honest')",0.6561686,0.8407003,0.80265564,0.748317,0.3795198,0.4741213,0.0946015
25,-0.74497396,-0.7490688,"('egoistic', 'altruistic')",0.15576008,0.046761315,0.33458555,0.2593358,-0.0848761,-0.1476572,-0.0627811
26,-0.6496781,-0.71869886,"('hardhearted', 'benevolent')",0.52049196,0.36912158,1.5976554,1.4980645,0.4894898,0.3828291,-0.1066607
27,-0.6562228,-0.5449361,"('hardhearted', 'softhearted')",-0.062507205,-0.042619742,0.99587864,0.89454323,0.0923829,0.1023291,0.0099462
28,-1.203092,-1.3057363,"('disloyal', 'loyal')",0.6119082,0.5599873,1.2573923,1.1486393,0.2220695,0.1342968,-0.0877727
29,0.26729426,0.24306391,"('unfair', 'fair')",0.44949853,0.42610225,-0.7906121,-0.8930856,-0.0246064,-0.0746398,-0.0500334
30,-0.89734334,-0.7257652,"('intolerant', 'tolerant')",0.9737912,1.0614636,1.3440516,1.4644178,0.4734998,0.6000387,0.1265389
31,0.36053592,0.30291516,"('evil', 'good')",-0.9581439,-1.1333513,-1.1422358,-1.3165817,-0.5799479,-0.7156727,-0.1357248
32,-0.48075336,-0.5901658,"('unkind', 'kind')",0.0859123,0.1462163,1.194392,1.0943885,0.266517,0.216813,-0.049704
33,0.033921428,0.009979449,"('wrong', 'right')",0.12699273,0.023200396,-0.33687365,-0.38422316,-0.0586532,-0.1170144,-0.0583612
34,-0.68783444,-0.5662513,"('mean', 'honorable')",-0.9771604,-0.86482084,5.472867,5.6022077,1.2692908,1.3903785,0.1210877
35,0.55454683,0.49508864,"('corrupt', 'incorrupt')",-0.5717089,-0.79375684,-1.2872486,-1.4340667,-0.4348036,-0.5775783,-0.1427747
36,0.30954653,0.1336019,"('hostile', 'amicable')",-0.54579866,-0.8397364,-0.67683387,-0.84240645,-0.304362,-0.5161803,-0.2118183
37,0.37655526,0.4177648,"('fake', 'genuine')",0.67107314,0.7820139,0.44277084,0.4396779,0.4967997,0.5464855,0.0496858
38,-0.5039115,-0.5512048,"('untruthful', 'truthful')",-0.2567609,-0.22622854,0.53664017,0.5062895,-0.0746774,-0.0903813,-0.0157039
39,0.03557011,0.30748132,"('exploitative', 'cooperative')",1.2569267,1.433302,-0.072072074,0.036704294,0.4068083,0.5924959,0.1856876
