,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.0037458595,-0.094106205,"('unsociable', 'sociable')",1.0517685,0.8281654,-0.64799654,-0.8285005,0.133342,-0.0314804,-0.1648224
1,-0.018503562,-0.189211,"('unfriendly', 'friendly')",0.57942444,0.57260007,1.6407448,1.5735825,0.7338885,0.6523239,-0.0815646
2,0.22192843,0.29812258,"('unlikable', 'likable')",0.95549196,1.0678107,0.7204452,0.88476896,0.6326218,0.750234,0.1176122
3,-0.7987133,-0.65119326,"('repellent', 'pleasant')",-0.6140185,-0.4076449,-0.33104408,-0.26410034,-0.5812587,-0.4409795,0.1402792
4,-1.675292,-1.7882417,"('disliked', 'liked')",-0.3892454,-0.2657707,-5.908735,-5.9949703,-2.6577574,-2.6829942,-0.0252368
5,-1.2172548,-1.1993042,"('distant', 'outgoing')",-0.2767201,-0.08695892,0.01968335,0.13145228,-0.4914305,-0.3849369,0.1064936
6,-1.6546434,-1.6454672,"('distant', 'open')",-0.7186988,-0.5231565,0.64926094,0.73822707,-0.5746938,-0.4767989,0.0978949
7,0.7372174,0.7580215,"('insensitive', 'sensitive')",0.52579993,0.5055108,0.2409742,0.19967975,0.5013305,0.4877373,-0.0135932
8,-0.0554917,-0.15481254,"('unaffectionate', 'affectionate')",-0.45780003,-0.3524252,0.81961125,0.79506564,0.1021065,0.0959426,-0.0061639
9,0.5517397,0.48090148,"('unaffectionate', 'caring')",0.37670884,0.3913845,0.95546454,0.9511001,0.627971,0.6077954,-0.0201756
10,0.87148976,0.9157691,"('unsympathetic', 'sympathetic')",0.30548894,0.2499465,-0.8248732,-0.9659465,0.1173685,0.0665897,-0.0507788
11,0.45051312,0.552882,"('unhelpful', 'helpful')",0.39903274,0.42925638,1.3323004,1.3883524,0.727282,0.7901636,0.0628816
12,0.49291283,0.6094684,"('unsupportive', 'supportive')",0.7265136,0.94281256,-1.7864745,-1.7927912,-0.189016,-0.0801701,0.1088459
13,-0.1018946,-0.110303834,"('impolite', 'polite')",0.594122,0.49229065,-0.73913383,-0.8301929,-0.0823022,-0.149402,-0.0670998
14,0.2368823,0.31279272,"('antisocial', 'social')",0.82192594,0.7029681,-0.9653752,-1.0439962,0.0311443,-0.0094118,-0.0405561
15,0.5009807,0.31499743,"('boring', 'funny')",0.3480359,0.2637328,0.58007693,0.52711856,0.4763645,0.3686163,-0.1077482
16,-1.9115372,-1.9412547,"('unpopular', 'popular')",-0.60229695,-0.3685334,0.49337104,0.5711763,-0.6734877,-0.5795373,0.0939504
17,-0.8403024,-0.7977695,"('nasty', 'nice')",-0.92297536,-0.7101007,-0.77716327,-0.6706681,-0.8468137,-0.7261794,0.1206343
18,0.28713512,0.33301505,"('disagreeable', 'welcoming')",-0.36279258,-0.1696744,-0.24552146,-0.20645195,-0.1070596,-0.0143704,0.0926892
19,-0.5408283,-0.508719,"('inhospitable', 'hospitable')",-0.28812516,-0.25150448,-0.014139567,0.2063504,-0.281031,-0.1846244,0.0964066
20,1.3777841,1.5199827,"('rough', 'thoughtful')",0.5253252,0.66990274,0.99096084,0.95067316,0.96469,1.0468528,0.0821628
21,0.5175639,0.491043,"('immoral', 'moral')",0.88706017,0.8423851,-0.91876894,-0.97352237,0.1619517,0.1199686,-0.0419831
22,0.33036107,0.31875142,"('untrustworthy', 'trustworthy')",0.27317864,0.16807036,-0.91553813,-1.0111094,-0.1039995,-0.1747625,-0.070763
23,1.541837,1.5547019,"('insincere', 'sincere')",0.77567947,0.7057432,4.8896637,4.821253,2.4023933,2.360566,-0.0418273
24,0.8617344,0.838638,"('dishonest', 'honest')",-0.23434563,-0.3328847,0.46441457,0.36499593,0.3639344,0.2902497,-0.0736847
