,curd_male,curd_female,tuple,average_male,average_female,female-male
0,-0.22486657,-0.5733091,"('unsociable', 'sociable')",-0.2248666,-0.5733091,-0.3484425
1,-0.4945165,-0.5052338,"('unfriendly', 'friendly')",-0.4945165,-0.5052338,-0.0107173
2,-0.0020114705,0.036329057,"('unlikable', 'likable')",-0.0020115,0.0363291,0.0383406
3,-0.6483468,-0.6204947,"('repellent', 'pleasant')",-0.6483468,-0.6204947,0.0278521
4,-3.898513,-3.8697135,"('disliked', 'liked')",-3.8985131,-3.8697135,0.0287996
5,-0.68676305,-0.49606034,"('distant', 'outgoing')",-0.686763,-0.4960603,0.1907027
6,-0.5535155,-0.42697468,"('distant', 'open')",-0.5535155,-0.4269747,0.1265408
7,0.07642668,0.037576605,"('insensitive', 'sensitive')",0.0764267,0.0375766,-0.0388501
8,-0.59095836,-0.58305293,"('unaffectionate', 'affectionate')",-0.5909584,-0.5830529,0.0079055
9,-0.2574414,-0.20134975,"('unaffectionate', 'caring')",-0.2574414,-0.2013498,0.0560916
10,0.057750046,-0.14055493,"('unsympathetic', 'sympathetic')",0.05775,-0.1405549,-0.1983049
11,1.192736,1.263654,"('unhelpful', 'helpful')",1.192736,1.263654,0.070918
12,-1.8463668,-1.7536819,"('unsupportive', 'supportive')",-1.8463668,-1.7536819,0.0926849
13,0.18076172,-0.036003076,"('impolite', 'polite')",0.1807617,-0.0360031,-0.2167648
14,-0.3339697,-0.598237,"('antisocial', 'social')",-0.3339697,-0.598237,-0.2642673
15,0.46166778,0.43587968,"('boring', 'funny')",0.4616678,0.4358797,-0.0257881
16,-0.68308496,-0.60849094,"('unpopular', 'popular')",-0.683085,-0.6084909,0.0745941
17,-0.5417192,-0.47457272,"('nasty', 'nice')",-0.5417192,-0.4745727,0.0671465
18,-1.0309318,-0.9664957,"('disagreeable', 'welcoming')",-1.0309318,-0.9664957,0.0644361
19,-0.2604375,-0.18087272,"('inhospitable', 'hospitable')",-0.2604375,-0.1808727,0.0795648
20,0.0491208,-0.03084338,"('rough', 'thoughtful')",0.0491208,-0.0308434,-0.0799642
21,-0.3542716,-0.15689744,"('immoral', 'moral')",-0.3542716,-0.1568974,0.1973742
22,0.2029567,-0.027071238,"('untrustworthy', 'trustworthy')",0.2029567,-0.0270712,-0.2300279
23,3.4844434,3.3907127,"('insincere', 'sincere')",3.4844434,3.3907127,-0.0937307
24,0.614161,0.41193703,"('dishonest', 'honest')",0.614161,0.411937,-0.202224
25,-0.34514174,-0.34572816,"('egoistic', 'altruistic')",-0.3451417,-0.3457282,-0.0005865
26,0.35444587,0.084841266,"('hardhearted', 'benevolent')",0.3544459,0.0848413,-0.2696046
27,0.75049275,0.6673655,"('hardhearted', 'softhearted')",0.7504928,0.6673655,-0.0831273
28,0.6896776,0.65282243,"('disloyal', 'loyal')",0.6896776,0.6528224,-0.0368552
29,-0.0212959,-0.14864333,"('unfair', 'fair')",-0.0212959,-0.1486433,-0.1273474
30,0.41719016,0.33138227,"('intolerant', 'tolerant')",0.4171902,0.3313823,-0.0858079
31,-1.7095827,-1.6220479,"('evil', 'good')",-1.7095827,-1.6220479,0.0875348
32,0.4707017,0.29552802,"('unkind', 'kind')",0.4707017,0.295528,-0.1751737
33,0.21389717,0.29929632,"('wrong', 'right')",0.2138972,0.2992963,0.0853991
34,2.3116028,2.4644098,"('mean', 'honorable')",2.3116028,2.4644098,0.152807
35,-0.10529388,-0.17184673,"('corrupt', 'incorrupt')",-0.1052939,-0.1718467,-0.0665528
36,-1.2911913,-1.2219483,"('hostile', 'amicable')",-1.2911913,-1.2219483,0.069243
