,visual_male,visual_female,tuple,average_male,average_female,female-male
0,-0.6959076,-0.7588914,"('unsociable', 'sociable')",-0.6959076,-0.7588914,-0.0629838
1,1.6478175,1.5621132,"('unfriendly', 'friendly')",1.6478175,1.5621132,-0.0857043
2,-0.06511438,-0.042015806,"('unlikable', 'likable')",-0.0651144,-0.0420158,0.0230986
3,-0.048591804,0.03887226,"('repellent', 'pleasant')",-0.0485918,0.0388723,0.0874641
4,-7.366055,-7.477376,"('disliked', 'liked')",-7.366055,-7.477376,-0.111321
5,-0.0797613,-0.13712692,"('distant', 'outgoing')",-0.0797613,-0.1371269,-0.0573656
6,0.41922557,0.29943916,"('distant', 'open')",0.4192256,0.2994392,-0.1197864
7,0.4858274,0.59451175,"('insensitive', 'sensitive')",0.4858274,0.5945117,0.1086843
8,1.4633236,1.3639339,"('unaffectionate', 'affectionate')",1.4633236,1.3639339,-0.0993897
9,1.918886,1.9116018,"('unaffectionate', 'caring')",1.9188859,1.9116018,-0.0072841
10,0.44559637,0.49200007,"('unsympathetic', 'sympathetic')",0.4455964,0.4920001,0.0464037
11,1.7730844,1.8646058,"('unhelpful', 'helpful')",1.7730844,1.8646058,0.0915214
12,-1.4903882,-1.4915165,"('unsupportive', 'supportive')",-1.4903882,-1.4915165,-0.0011283
13,-0.86397743,-0.86059886,"('impolite', 'polite')",-0.8639774,-0.8605989,0.0033785
14,-0.22303241,-0.20635189,"('antisocial', 'social')",-0.2230324,-0.2063519,0.0166805
15,0.5759927,0.49953225,"('boring', 'funny')",0.5759927,0.4995323,-0.0764604
16,-0.47088534,-0.47396156,"('unpopular', 'popular')",-0.4708853,-0.4739616,-0.0030763
17,-0.2677691,-0.20849124,"('nasty', 'nice')",-0.2677691,-0.2084912,0.0592779
18,-0.31706932,-0.4483229,"('disagreeable', 'welcoming')",-0.3170693,-0.4483229,-0.1312536
19,-0.31026912,-0.32590038,"('inhospitable', 'hospitable')",-0.3102691,-0.3259004,-0.0156313
