,anybody_male,anybody_female,tuple,average_male,average_female,female-male
0,0.03743817,-0.032170147,"('unsociable', 'sociable')",0.0374382,-0.0321701,-0.0696083
1,1.5050665,1.5331944,"('unfriendly', 'friendly')",1.5050665,1.5331944,0.0281279
2,0.26226392,0.46158558,"('unlikable', 'likable')",0.2622639,0.4615856,0.1993217
3,0.40367725,0.5347116,"('repellent', 'pleasant')",0.4036773,0.5347116,0.1310343
4,-6.991883,-6.8564577,"('disliked', 'liked')",-6.9918828,-6.8564577,0.1354251
5,0.5006368,0.5155164,"('distant', 'outgoing')",0.5006368,0.5155164,0.0148796
6,0.7812513,0.77936226,"('distant', 'open')",0.7812513,0.7793623,-0.001889
7,0.7440059,0.81849277,"('insensitive', 'sensitive')",0.7440059,0.8184928,0.0744869
8,1.4390644,1.4424219,"('unaffectionate', 'affectionate')",1.4390644,1.4424219,0.0033575
9,1.6835726,1.6956795,"('unaffectionate', 'caring')",1.6835726,1.6956795,0.0121069
10,0.9525513,0.85679054,"('unsympathetic', 'sympathetic')",0.9525513,0.8567905,-0.0957608
11,2.2289267,2.1665032,"('unhelpful', 'helpful')",2.2289267,2.1665032,-0.0624235
12,-1.5491868,-1.4609812,"('unsupportive', 'supportive')",-1.5491868,-1.4609812,0.0882056
13,-0.20369864,-0.16162711,"('impolite', 'polite')",-0.2036986,-0.1616271,0.0420715
14,-0.10372737,-0.14379115,"('antisocial', 'social')",-0.1037274,-0.1437912,-0.0400638
15,0.7908062,0.7393285,"('boring', 'funny')",0.7908062,0.7393285,-0.0514777
16,-0.51647735,-0.35153884,"('unpopular', 'popular')",-0.5164773,-0.3515388,0.1649385
17,0.12923315,0.12918177,"('nasty', 'nice')",0.1292332,0.1291818,-5.14e-05
18,-0.6211593,-0.48307344,"('disagreeable', 'welcoming')",-0.6211593,-0.4830734,0.1380859
19,0.1972332,0.15017632,"('inhospitable', 'hospitable')",0.1972332,0.1501763,-0.0470569
20,0.41770273,0.3824945,"('rough', 'thoughtful')",0.4177027,0.3824945,-0.0352082
21,-0.40237993,-0.24685164,"('immoral', 'moral')",-0.4023799,-0.2468516,0.1555283
22,0.027194414,0.06640956,"('untrustworthy', 'trustworthy')",0.0271944,0.0664096,0.0392152
