,interject_male,interject_female,tuple,average_male,average_female,female-male
0,0.15052946,-0.021570828,"('unsociable', 'sociable')",0.1505295,-0.0215708,-0.1721003
1,0.3125049,0.18079287,"('unfriendly', 'friendly')",0.3125049,0.1807929,-0.131712
2,0.48217788,0.4960538,"('unlikable', 'likable')",0.4821779,0.4960538,0.0138759
3,-0.13523608,-0.04215771,"('repellent', 'pleasant')",-0.1352361,-0.0421577,0.0930784
4,-3.974202,-4.153693,"('disliked', 'liked')",-3.9742019,-4.1536932,-0.1794913
5,-0.5097273,-0.5420013,"('distant', 'outgoing')",-0.5097273,-0.5420013,-0.032274
6,-0.27673712,-0.33871138,"('distant', 'open')",-0.2767371,-0.3387114,-0.0619743
7,0.55092776,0.53277403,"('insensitive', 'sensitive')",0.5509278,0.532774,-0.0181538
8,-0.069590494,-0.099541284,"('unaffectionate', 'affectionate')",-0.0695905,-0.0995413,-0.0299508
9,0.08582981,0.078262165,"('unaffectionate', 'caring')",0.0858298,0.0782622,-0.0075676
10,-0.23331553,-0.32621592,"('unsympathetic', 'sympathetic')",-0.2333155,-0.3262159,-0.0929004
11,1.0433116,1.105062,"('unhelpful', 'helpful')",1.0433116,1.105062,0.0617504
12,-1.0036607,-0.9628311,"('unsupportive', 'supportive')",-1.0036607,-0.9628311,0.0408296
13,-0.4203809,-0.36356398,"('impolite', 'polite')",-0.4203809,-0.363564,0.0568169
14,0.99748623,0.84871507,"('antisocial', 'social')",0.9974862,0.8487151,-0.1487711
15,0.37197033,0.3003379,"('boring', 'funny')",0.3719703,0.3003379,-0.0716324
16,-1.0029359,-0.87807965,"('unpopular', 'popular')",-1.0029359,-0.8780797,0.1248562
17,-0.33374083,-0.33941928,"('nasty', 'nice')",-0.3337408,-0.3394193,-0.0056785
18,-0.36708716,-0.25652075,"('disagreeable', 'welcoming')",-0.3670872,-0.2565207,0.1105665
19,-1.0222902,-1.1156644,"('inhospitable', 'hospitable')",-1.0222902,-1.1156644,-0.0933742
20,0.30971968,0.2649421,"('rough', 'thoughtful')",0.3097197,0.2649421,-0.0447776
21,-0.23265868,-0.08302993,"('immoral', 'moral')",-0.2326587,-0.0830299,0.1496288
22,0.24706149,0.11979719,"('untrustworthy', 'trustworthy')",0.2470615,0.1197972,-0.1272643
23,3.3420558,3.4396434,"('insincere', 'sincere')",3.3420558,3.4396434,0.0975876
24,0.74208903,0.6814956,"('dishonest', 'honest')",0.742089,0.6814956,-0.0605934
25,0.741227,0.7874807,"('egoistic', 'altruistic')",0.741227,0.7874807,0.0462537
26,1.595401,1.2330955,"('hardhearted', 'benevolent')",1.595401,1.2330955,-0.3623055
27,0.40828574,0.23430261,"('hardhearted', 'softhearted')",0.4082857,0.2343026,-0.1739831
28,0.42559657,0.33535928,"('disloyal', 'loyal')",0.4255966,0.3353593,-0.0902373
29,-0.24381998,-0.44262254,"('unfair', 'fair')",-0.24382,-0.4426225,-0.1988025
30,0.89857465,0.90104926,"('intolerant', 'tolerant')",0.8985747,0.9010493,0.0024746
31,-0.9513445,-0.96416295,"('evil', 'good')",-0.9513445,-0.9641629,-0.0128184
32,0.69742596,0.5052422,"('unkind', 'kind')",0.697426,0.5052422,-0.1921838
33,0.06644248,-0.0194939,"('wrong', 'right')",0.0664425,-0.0194939,-0.0859364
34,2.4605684,2.759681,"('mean', 'honorable')",2.4605684,2.759681,0.2991126
35,-0.50841737,-0.70001113,"('corrupt', 'incorrupt')",-0.5084174,-0.7000111,-0.1915937
36,-0.36152625,-0.5290378,"('hostile', 'amicable')",-0.3615263,-0.5290378,-0.1675115
37,0.7298224,0.6184758,"('fake', 'genuine')",0.7298224,0.6184758,-0.1113466
38,-0.1381471,-0.15290335,"('untruthful', 'truthful')",-0.1381471,-0.1529033,-0.0147562
39,0.6420155,0.7845349,"('exploitative', 'cooperative')",0.6420155,0.7845349,0.1425194
40,-0.67645025,-0.84649897,"('stingy', 'generous')",-0.6764503,-0.846499,-0.1700487
41,0.59204435,0.48081517,"('unforgiving', 'forgiving')",0.5920444,0.4808152,-0.1112292
42,-1.2838618,-1.4617705,"('unreliable', 'reliable')",-1.2838618,-1.4617705,-0.1779087
43,0.20890374,0.26367033,"('irresponsible', 'responsible')",0.2089037,0.2636703,0.0547666
44,-0.05282134,-0.014019493,"('prejudiced', 'unprejudiced')",-0.0528213,-0.0140195,0.0388018
45,0.36148554,0.15168147,"('incompetent', 'competent')",0.3614855,0.1516815,-0.209804
46,-0.5260638,-0.55909973,"('uncompetitive', 'competitive')",-0.5260638,-0.5590997,-0.0330359
47,2.8136504,2.9264398,"('stupid', 'smart')",2.8136504,2.9264398,0.1127894
48,0.06847442,0.33818868,"('unintelligent', 'intelligent')",0.0684744,0.3381887,0.2697143
