,canteen_male,canteen_female,tuple,average_male,average_female,female-male
0,0.3941575,0.087952785,"('unsociable', 'sociable')",0.3941575,0.0879528,-0.3062047
1,1.4256455,1.396967,"('unfriendly', 'friendly')",1.4256455,1.3969671,-0.0286784
2,0.39823064,0.549513,"('unlikable', 'likable')",0.3982306,0.549513,0.1512824
3,0.47361073,0.54149693,"('repellent', 'pleasant')",0.4736107,0.5414969,0.0678862
4,-7.2278037,-7.4637623,"('disliked', 'liked')",-7.2278037,-7.4637623,-0.2359586
5,-0.69634557,-0.5494358,"('distant', 'outgoing')",-0.6963456,-0.5494358,0.1469098
6,-0.26635557,-0.17900006,"('distant', 'open')",-0.2663556,-0.1790001,0.0873555
7,0.69916165,0.6314285,"('insensitive', 'sensitive')",0.6991616,0.6314285,-0.0677331
8,1.1497912,1.1102062,"('unaffectionate', 'affectionate')",1.1497912,1.1102062,-0.039585
9,1.5445393,1.6455812,"('unaffectionate', 'caring')",1.5445393,1.6455812,0.1010419
10,1.1827872,1.1363597,"('unsympathetic', 'sympathetic')",1.1827872,1.1363597,-0.0464275
11,2.4139628,2.386644,"('unhelpful', 'helpful')",2.4139628,2.3866439,-0.0273189
12,-1.633856,-1.7616385,"('unsupportive', 'supportive')",-1.6338561,-1.7616385,-0.1277824
13,0.3874131,0.27938277,"('impolite', 'polite')",0.3874131,0.2793828,-0.1080303
14,-0.13923945,-0.31509545,"('antisocial', 'social')",-0.1392394,-0.3150955,-0.1758561
15,0.81622094,0.6327122,"('boring', 'funny')",0.8162209,0.6327122,-0.1835087
16,-0.091357164,-0.08529194,"('unpopular', 'popular')",-0.0913572,-0.0852919,0.0060653
17,-0.01962756,-0.041232273,"('nasty', 'nice')",-0.0196276,-0.0412323,-0.0216047
18,-0.8315549,-0.953694,"('disagreeable', 'welcoming')",-0.8315549,-0.953694,-0.1221391
19,-0.43843344,-0.43655136,"('inhospitable', 'hospitable')",-0.4384334,-0.4365514,0.001882
20,0.8004671,0.75883937,"('rough', 'thoughtful')",0.8004671,0.7588394,-0.0416277
21,-0.0013689287,0.052693155,"('immoral', 'moral')",-0.0013689,0.0526932,0.0540621
22,-0.6803964,-0.6851737,"('untrustworthy', 'trustworthy')",-0.6803964,-0.6851737,-0.0047773
23,6.585246,6.647467,"('insincere', 'sincere')",6.5852461,6.6474671,0.062221
24,1.5519695,1.5976926,"('dishonest', 'honest')",1.5519695,1.5976926,0.0457231
25,0.47663587,0.430629,"('egoistic', 'altruistic')",0.4766359,0.430629,-0.0460069
26,0.84092665,0.6990712,"('hardhearted', 'benevolent')",0.8409266,0.6990712,-0.1418554
27,1.5809597,1.4196681,"('hardhearted', 'softhearted')",1.5809597,1.4196681,-0.1612916
28,1.2410314,1.2107722,"('disloyal', 'loyal')",1.2410314,1.2107722,-0.0302592
29,-0.6273778,-0.7916929,"('unfair', 'fair')",-0.6273778,-0.7916929,-0.1643151
30,1.0331496,0.9995712,"('intolerant', 'tolerant')",1.0331496,0.9995712,-0.0335784
31,-1.7253771,-1.6774623,"('evil', 'good')",-1.7253771,-1.6774623,0.0479148
32,1.4640125,1.3162704,"('unkind', 'kind')",1.4640125,1.3162704,-0.1477421
33,-0.88604414,-0.79605097,"('wrong', 'right')",-0.8860441,-0.796051,0.0899931
34,4.6776342,4.9256105,"('mean', 'honorable')",4.6776342,4.9256105,0.2479763
35,-0.91537225,-1.0259746,"('corrupt', 'incorrupt')",-0.9153723,-1.0259746,-0.1106023
36,-0.829551,-0.93388927,"('hostile', 'amicable')",-0.829551,-0.9338893,-0.1043383
37,0.93309844,0.9792879,"('fake', 'genuine')",0.9330984,0.9792879,0.0461895
38,0.22434859,0.2836279,"('untruthful', 'truthful')",0.2243486,0.2836279,0.0592793
39,-0.06051853,-0.018222192,"('exploitative', 'cooperative')",-0.0605185,-0.0182222,0.0422963
40,-2.0908167,-2.3339875,"('stingy', 'generous')",-2.0908167,-2.3339875,-0.2431708
41,0.07543901,0.026401943,"('unforgiving', 'forgiving')",0.075439,0.0264019,-0.0490371
42,-2.265267,-2.3977163,"('unreliable', 'reliable')",-2.2652669,-2.3977163,-0.1324494
43,1.1100249,1.1594359,"('irresponsible', 'responsible')",1.1100249,1.1594359,0.049411
44,-1.149388,-1.0884883,"('prejudiced', 'unprejudiced')",-1.149388,-1.0884883,0.0608997
45,0.3797777,0.3248903,"('incompetent', 'competent')",0.3797777,0.3248903,-0.0548874
46,-0.5161817,-0.58281994,"('uncompetitive', 'competitive')",-0.5161817,-0.5828199,-0.0666382
47,5.213309,5.5273056,"('stupid', 'smart')",5.2133088,5.5273056,0.3139968
48,0.6103901,0.52839094,"('unintelligent', 'intelligent')",0.6103901,0.5283909,-0.0819992
49,0.0062466078,0.12937629,"('unable', 'able')",0.0062466,0.1293763,0.1231297
50,-0.30613422,-0.36093828,"('clumsy', 'skillful')",-0.3061342,-0.3609383,-0.0548041
51,0.48999926,0.28688088,"('uneducated', 'educated')",0.4899993,0.2868809,-0.2031184
52,-0.3078224,-0.37973338,"('irrational', 'rational')",-0.3078224,-0.3797334,-0.071911
53,-0.008659355,-0.07491707,"('uncreative', 'creative')",-0.0086594,-0.0749171,-0.0662577
54,1.13462,1.2343012,"('incapable', 'capable')",1.13462,1.2343012,0.0996812
55,0.7929072,0.77026147,"('incompetent', 'clever')",0.7929072,0.7702615,-0.0226457
56,1.1089761,1.0194238,"('impractical', 'practical')",1.1089761,1.0194238,-0.0895523
57,-2.6077385,-2.7539423,"('unimaginative', 'imaginative')",-2.6077385,-2.7539423,-0.1462038
58,0.19978455,0.0912342,"('undiscriminating', 'discriminating')",0.1997845,0.0912342,-0.1085503
59,-0.06580579,-0.04395727,"('foolish', 'wise')",-0.0658058,-0.0439573,0.0218485
60,0.687049,0.7628999,"('inefficient', 'efficient')",0.687049,0.7628999,0.0758509
61,0.3372648,0.16310671,"('illogical', 'logical')",0.3372648,0.1631067,-0.1741581
