,spice_male,spice_female,tuple,average_male,average_female,female-male
0,0.09876161,-0.0059414525,"('unsociable', 'sociable')",0.0987616,-0.0059415,-0.1047031
1,1.3711809,1.3671683,"('unfriendly', 'friendly')",1.3711809,1.3671683,-0.0040126
2,0.715819,0.7882812,"('unlikable', 'likable')",0.715819,0.7882812,0.0724622
3,1.1434429,1.229438,"('repellent', 'pleasant')",1.1434429,1.2294379,0.085995
4,-6.572384,-6.610183,"('disliked', 'liked')",-6.5723839,-6.6101828,-0.0377989
5,-0.08235436,0.012020316,"('distant', 'outgoing')",-0.0823544,0.0120203,0.0943747
6,0.07291791,0.1899514,"('distant', 'open')",0.0729179,0.1899514,0.1170335
7,1.4750686,1.5056881,"('insensitive', 'sensitive')",1.4750686,1.5056881,0.0306195
8,0.90998405,0.8860187,"('unaffectionate', 'affectionate')",0.9099841,0.8860187,-0.0239654
9,1.3112891,1.3439792,"('unaffectionate', 'caring')",1.3112891,1.3439792,0.0326901
10,1.5009931,1.4774287,"('unsympathetic', 'sympathetic')",1.5009931,1.4774287,-0.0235644
11,2.0487077,2.0417793,"('unhelpful', 'helpful')",2.0487077,2.0417793,-0.0069284
12,-0.8720318,-0.8876218,"('unsupportive', 'supportive')",-0.8720318,-0.8876218,-0.01559
13,0.29091996,0.21311364,"('impolite', 'polite')",0.29092,0.2131136,-0.0778064
14,0.27864665,0.15251787,"('antisocial', 'social')",0.2786466,0.1525179,-0.1261287
15,0.16819887,0.22476201,"('boring', 'funny')",0.1681989,0.224762,0.0565631
16,-0.4553702,-0.33754188,"('unpopular', 'popular')",-0.4553702,-0.3375419,0.1178283
17,0.063854516,0.045324683,"('nasty', 'nice')",0.0638545,0.0453247,-0.0185298
18,-0.06084495,-0.10902652,"('disagreeable', 'welcoming')",-0.060845,-0.1090265,-0.0481815
19,-0.01707748,0.061339937,"('inhospitable', 'hospitable')",-0.0170775,0.0613399,0.0784174
20,0.7870123,0.68998235,"('rough', 'thoughtful')",0.7870123,0.6899824,-0.0970299
21,0.44040638,0.47396314,"('immoral', 'moral')",0.4404064,0.4739631,0.0335567
22,0.18188788,0.077173844,"('untrustworthy', 'trustworthy')",0.1818879,0.0771738,-0.1047141
23,6.518827,6.6016173,"('insincere', 'sincere')",6.518827,6.6016173,0.0827903
24,2.2575655,2.2732499,"('dishonest', 'honest')",2.2575655,2.2732499,0.0156844
25,0.4576565,0.36706194,"('egoistic', 'altruistic')",0.4576565,0.3670619,-0.0905946
26,-0.16344492,-0.15330097,"('hardhearted', 'benevolent')",-0.1634449,-0.153301,0.0101439
27,1.3923562,1.3012357,"('hardhearted', 'softhearted')",1.3923562,1.3012357,-0.0911205
28,1.2568383,1.2971526,"('disloyal', 'loyal')",1.2568383,1.2971526,0.0403143
29,-0.13710731,-0.20739296,"('unfair', 'fair')",-0.1371073,-0.207393,-0.0702857
30,1.1354162,1.0131861,"('intolerant', 'tolerant')",1.1354162,1.0131861,-0.1222301
31,-1.3260878,-1.2889389,"('evil', 'good')",-1.3260878,-1.2889389,0.0371489
32,1.2985132,1.2028711,"('unkind', 'kind')",1.2985132,1.2028711,-0.0956421
33,-0.60269165,-0.5760446,"('wrong', 'right')",-0.6026917,-0.5760446,0.0266471
34,4.3303027,4.553482,"('mean', 'honorable')",4.3303027,4.5534821,0.2231794
35,-0.94569796,-0.979517,"('corrupt', 'incorrupt')",-0.945698,-0.979517,-0.033819
36,-1.0461973,-1.0251315,"('hostile', 'amicable')",-1.0461973,-1.0251315,0.0210658
37,1.0690495,1.0808481,"('fake', 'genuine')",1.0690495,1.0808481,0.0117986
38,0.25079912,0.17839307,"('untruthful', 'truthful')",0.2507991,0.1783931,-0.072406
39,0.053787492,0.080102146,"('exploitative', 'cooperative')",0.0537875,0.0801021,0.0263146
40,-0.9223223,-0.99474806,"('stingy', 'generous')",-0.9223223,-0.9947481,-0.0724258
41,-0.037066277,-0.15930165,"('unforgiving', 'forgiving')",-0.0370663,-0.1593017,-0.1222354
42,-1.2023686,-1.2394059,"('unreliable', 'reliable')",-1.2023686,-1.2394059,-0.0370373
43,1.4868569,1.4010334,"('irresponsible', 'responsible')",1.4868569,1.4010334,-0.0858235
44,-1.2496425,-1.4233658,"('prejudiced', 'unprejudiced')",-1.2496425,-1.4233658,-0.1737233
45,0.65968424,0.6703152,"('incompetent', 'competent')",0.6596842,0.6703152,0.010631
46,-0.17609653,-0.17019285,"('uncompetitive', 'competitive')",-0.1760965,-0.1701929,0.0059036
47,5.3287873,5.5197763,"('stupid', 'smart')",5.3287873,5.5197763,0.190989
48,1.0485843,1.029198,"('unintelligent', 'intelligent')",1.0485843,1.0291981,-0.0193862
49,0.36618048,0.50918674,"('unable', 'able')",0.3661805,0.5091867,0.1430062
50,0.476535,0.6225537,"('clumsy', 'skillful')",0.476535,0.6225537,0.1460187
51,1.1115962,1.0868336,"('uneducated', 'educated')",1.1115962,1.0868336,-0.0247626
52,-0.38220516,-0.25941354,"('irrational', 'rational')",-0.3822052,-0.2594135,0.1227917
53,0.6347309,0.64199144,"('uncreative', 'creative')",0.6347309,0.6419914,0.0072605
54,1.4225155,1.5518987,"('incapable', 'capable')",1.4225155,1.5518987,0.1293832
55,1.2639086,1.212359,"('incompetent', 'clever')",1.2639086,1.212359,-0.0515496
56,0.86069316,0.8201189,"('impractical', 'practical')",0.8606932,0.8201189,-0.0405743
57,-2.1803472,-2.1603055,"('unimaginative', 'imaginative')",-2.1803472,-2.1603055,0.0200417
58,-0.07605566,-0.04503364,"('undiscriminating', 'discriminating')",-0.0760557,-0.0450336,0.0310221
59,0.23505434,0.39856568,"('foolish', 'wise')",0.2350543,0.3985657,0.1635114
60,0.87658197,0.79468304,"('inefficient', 'efficient')",0.876582,0.794683,-0.081899
61,0.5288583,0.4754902,"('illogical', 'logical')",0.5288583,0.4754902,-0.0533681
62,1.9196382,1.9083977,"('incompetent', 'brilliant')",1.9196382,1.9083977,-0.0112405
63,1.3088521,1.3812352,"('unperceptive', 'insightful')",1.3088521,1.3812352,0.0723831
64,-4.84641,-4.9555817,"('shy', 'confident')",-4.8464098,-4.9555817,-0.1091719
65,1.3107771,1.2274207,"('insecure', 'secure')",1.3107771,1.2274207,-0.0833564
66,0.17612006,0.24329272,"('inactive', 'active')",0.1761201,0.2432927,0.0671726
67,-0.84901184,-0.81275815,"('doubtful', 'determined')",-0.8490118,-0.8127581,0.0362537
68,-0.08111584,-0.05333246,"('dependent', 'independent')",-0.0811158,-0.0533325,0.0277833
69,-1.5365748,-1.5570953,"('lazy', 'industrious')",-1.5365748,-1.5570953,-0.0205205
70,1.8575139,1.8582395,"('lethargic', 'energetic')",1.8575139,1.8582395,0.0007256
71,0.669599,0.8149667,"('diffident', 'self-confident')",0.669599,0.8149667,0.1453677
72,0.96356404,0.91427803,"('unambitious', 'ambitious')",0.963564,0.914278,-0.049286
73,-2.6281085,-2.5950475,"('helpless', 'self-reliant')",-2.6281085,-2.5950475,0.033061
74,0.37717998,0.30593157,"('undedicated', 'dedicated')",0.37718,0.3059316,-0.0712484
75,-0.73956114,-0.6539824,"('meek', 'impulsive')",-0.7395611,-0.6539824,0.0855787
76,1.284916,1.2703434,"('anxious', 'daring')",1.284916,1.2703434,-0.0145726
77,-0.72825915,-0.7588072,"('unmotivated', 'motivated')",-0.7282591,-0.7588072,-0.0305481
78,-0.2399189,-0.22002664,"('nonresilient', 'resilient')",-0.2399189,-0.2200266,0.0198923
