,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7086967,-0.70525396,"('unsociable', 'sociable')",-1.0517299,-1.0707186,-0.45912227,-0.60179615,-0.7398496,-0.7925896,-0.05274
1,-0.1664646,-0.33079806,"('unfriendly', 'friendly')",1.5977688,1.3365331,1.566983,1.3926008,0.9994291,0.7994453,-0.1999838
2,0.44542292,0.50485855,"('unlikable', 'likable')",0.3732681,0.42723817,0.34567267,0.36901537,0.3881212,0.433704,0.0455828
3,-0.8053259,-0.7079405,"('repellent', 'pleasant')",-1.5452635,-1.4459851,0.43964425,0.45106533,-0.6369818,-0.5676201,0.0693617
4,0.5018891,0.3657994,"('disliked', 'liked')",0.5590906,0.42303547,-6.5407424,-6.5598044,-1.8265875,-1.9236565,-0.097069
5,0.5424926,0.4006876,"('distant', 'outgoing')",1.0746719,0.99414176,-0.189021,-0.1802466,0.4760478,0.4048609,-0.0711869
6,-0.13862085,-0.26803088,"('distant', 'open')",1.0105906,0.9411426,0.36226946,0.35913742,0.411413,0.3440831,-0.0673299
7,0.10407391,0.22598019,"('insensitive', 'sensitive')",-0.0104852505,0.05326825,1.2230273,1.1130036,0.438872,0.464084,0.025212
8,0.016499465,0.07462211,"('unaffectionate', 'affectionate')",1.0542514,0.9771707,0.8382219,0.66541135,0.6363243,0.5724014,-0.0639229
9,0.28129116,0.27234405,"('unaffectionate', 'caring')",0.91268706,0.8415061,1.2030284,0.99682313,0.7990022,0.7035577,-0.0954445
10,-0.95707935,-0.6927062,"('unsympathetic', 'sympathetic')",-1.4537838,-1.3170836,0.19004133,0.14424129,-0.740274,-0.6218495,0.1184245
11,-0.26525903,-0.119963706,"('unhelpful', 'helpful')",-0.64782184,-0.569515,1.9068965,2.0241053,0.3312719,0.4448756,0.1136037
12,1.1238669,1.2377661,"('unsupportive', 'supportive')",0.45458025,0.48990658,-1.3613454,-1.4639928,0.0723672,0.0878933,0.0155261
13,-0.97869205,-0.90024835,"('impolite', 'polite')",-0.9704278,-0.9032289,-0.5228624,-0.45555687,-0.8239941,-0.7530114,0.0709827
14,0.3200976,0.40039682,"('antisocial', 'social')",-0.3229151,-0.2400634,-0.34790722,-0.39600253,-0.1169082,-0.0785564,0.0383518
15,0.8615402,0.7535847,"('boring', 'funny')",1.4767681,1.3307741,0.69680923,0.6422383,1.0117059,0.9088657,-0.1028402
16,-0.7270318,-0.9248228,"('unpopular', 'popular')",-0.6953424,-0.7667252,-0.30334747,-0.29903412,-0.5752406,-0.6635274,-0.0882868
17,0.13693212,0.10662772,"('nasty', 'nice')",-0.023479296,0.07500959,-0.39505652,-0.29661638,-0.0938679,-0.0383264,0.0555415
18,0.08369761,0.1593972,"('disagreeable', 'welcoming')",0.034221873,0.05218546,-0.6603732,-0.7178114,-0.1808179,-0.1687429,0.012075
19,0.77160084,0.7666274,"('inhospitable', 'hospitable')",-0.22731152,-0.28606647,0.2650458,0.32313707,0.2697784,0.2678993,-0.0018791
20,-0.9290776,-0.8906488,"('rough', 'thoughtful')",-1.0296371,-1.0348909,0.87749404,0.83494043,-0.3604069,-0.3635331,-0.0031262
