,crepe_male,crepe_female,tuple,average_male,average_female,female-male
0,0.16211715,-0.1922352,"('unsociable', 'sociable')",0.1621172,-0.1922352,-0.3543524
1,-1.2238835,-1.1988101,"('unfriendly', 'friendly')",-1.2238835,-1.1988101,0.0250734
2,0.50130737,0.49137518,"('unlikable', 'likable')",0.5013074,0.4913752,-0.0099322
3,-0.33212256,-0.32446188,"('repellent', 'pleasant')",-0.3321226,-0.3244619,0.0076607
4,-2.4200032,-2.3317401,"('disliked', 'liked')",-2.4200032,-2.3317401,0.0882631
5,-1.2994636,-1.1190077,"('distant', 'outgoing')",-1.2994636,-1.1190077,0.1804559
6,-1.1908889,-0.9687014,"('distant', 'open')",-1.1908889,-0.9687014,0.2221875
7,-0.46322712,-0.44279894,"('insensitive', 'sensitive')",-0.4632271,-0.4427989,0.0204282
8,-0.46912107,-0.4212224,"('unaffectionate', 'affectionate')",-0.4691211,-0.4212224,0.0478987
9,-0.86240435,-0.8824649,"('unaffectionate', 'caring')",-0.8624043,-0.8824649,-0.0200606
10,-0.120496504,-0.29746974,"('unsympathetic', 'sympathetic')",-0.1204965,-0.2974697,-0.1769732
11,0.80747217,0.614736,"('unhelpful', 'helpful')",0.8074722,0.614736,-0.1927362
12,-1.3176123,-1.2790495,"('unsupportive', 'supportive')",-1.3176123,-1.2790495,0.0385628
13,0.36479372,0.11539895,"('impolite', 'polite')",0.3647937,0.115399,-0.2493947
14,0.63767266,0.4808368,"('antisocial', 'social')",0.6376727,0.4808368,-0.1568359
15,0.25112635,0.23295835,"('boring', 'funny')",0.2511263,0.2329583,-0.018168
16,0.1832362,0.1107292,"('unpopular', 'popular')",0.1832362,0.1107292,-0.072507
17,-0.10665655,-0.024574302,"('nasty', 'nice')",-0.1066566,-0.0245743,0.0820823
18,-1.0088105,-0.8702848,"('disagreeable', 'welcoming')",-1.0088105,-0.8702848,0.1385257
19,-1.4887367,-1.3927019,"('inhospitable', 'hospitable')",-1.4887367,-1.3927019,0.0960348
20,0.3101374,0.29915965,"('rough', 'thoughtful')",0.3101374,0.2991596,-0.0109778
21,0.94303554,0.79757243,"('immoral', 'moral')",0.9430355,0.7975724,-0.1454631
22,0.40007076,0.291105,"('untrustworthy', 'trustworthy')",0.4000708,0.291105,-0.1089658
23,1.2168604,1.0460311,"('insincere', 'sincere')",1.2168604,1.0460311,-0.1708293
24,-0.10799223,-0.24005342,"('dishonest', 'honest')",-0.1079922,-0.2400534,-0.1320612
25,-0.20637141,-0.23063235,"('egoistic', 'altruistic')",-0.2063714,-0.2306323,-0.0242609
26,-0.21772902,-0.33230546,"('hardhearted', 'benevolent')",-0.217729,-0.3323055,-0.1145765
27,0.08786154,0.14638978,"('hardhearted', 'softhearted')",0.0878615,0.1463898,0.0585283
28,0.044407062,-0.11017497,"('disloyal', 'loyal')",0.0444071,-0.110175,-0.1545821
29,-0.15027358,-0.26713312,"('unfair', 'fair')",-0.1502736,-0.2671331,-0.1168595
30,0.6049966,0.5102233,"('intolerant', 'tolerant')",0.6049966,0.5102233,-0.0947733
31,-1.4915355,-1.299698,"('evil', 'good')",-1.4915355,-1.299698,0.1918375
32,0.8274435,0.5962351,"('unkind', 'kind')",0.8274435,0.5962351,-0.2312084
33,-0.17439485,-0.15943195,"('wrong', 'right')",-0.1743948,-0.1594319,0.0149629
34,1.1961894,1.3944565,"('mean', 'honorable')",1.1961894,1.3944565,0.1982671
35,-0.6890098,-0.5852755,"('corrupt', 'incorrupt')",-0.6890098,-0.5852755,0.1037343
36,-1.3326952,-1.2145808,"('hostile', 'amicable')",-1.3326952,-1.2145808,0.1181144
37,0.31798187,0.23865959,"('fake', 'genuine')",0.3179819,0.2386596,-0.0793223
38,0.0054851263,-0.050302222,"('untruthful', 'truthful')",0.0054851,-0.0503022,-0.0557873
39,1.0099139,1.0547107,"('exploitative', 'cooperative')",1.0099139,1.0547107,0.0447968
40,-1.6306539,-1.6407295,"('stingy', 'generous')",-1.6306539,-1.6407295,-0.0100756
41,0.14892368,0.22679184,"('unforgiving', 'forgiving')",0.1489237,0.2267918,0.0778681
42,0.23015201,0.2505745,"('unreliable', 'reliable')",0.230152,0.2505745,0.0204225
43,0.3898282,0.28076008,"('irresponsible', 'responsible')",0.3898282,0.2807601,-0.1090681
44,0.5653968,0.59737515,"('prejudiced', 'unprejudiced')",0.5653968,0.5973752,0.0319784
45,0.0112255,-0.041582573,"('incompetent', 'competent')",0.0112255,-0.0415826,-0.0528081
46,-0.010594692,-0.17046943,"('uncompetitive', 'competitive')",-0.0105947,-0.1704694,-0.1598747
47,1.9379498,1.9433068,"('stupid', 'smart')",1.9379498,1.9433068,0.005357
48,-0.43431643,-0.48669595,"('unintelligent', 'intelligent')",-0.4343164,-0.4866959,-0.0523795
49,-0.22757185,0.046398282,"('unable', 'able')",-0.2275718,0.0463983,0.2739701
50,0.32767984,0.350176,"('clumsy', 'skillful')",0.3276798,0.350176,0.0224962
51,-0.1084851,-0.3137546,"('uneducated', 'educated')",-0.1084851,-0.3137546,-0.2052695
52,-0.25851,-0.40607524,"('irrational', 'rational')",-0.25851,-0.4060752,-0.1475652
53,-1.5693465,-1.5506456,"('uncreative', 'creative')",-1.5693465,-1.5506456,0.0187009
54,0.20359388,0.09286584,"('incapable', 'capable')",0.2035939,0.0928658,-0.1107281
55,0.3148539,0.20691632,"('incompetent', 'clever')",0.3148539,0.2069163,-0.1079376
