,dover_male,dover_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.6430063,0.6249261,"('unsociable', 'sociable')",-0.23688745,-0.30699483,0.2030594,0.1589656,-0.0440938
1,0.49281505,0.34476936,"('unfriendly', 'friendly')",1.3643938,1.16504,0.9286044,0.7549047,-0.1736997
2,0.4744947,0.5678034,"('unlikable', 'likable')",0.5528965,0.5799012,0.5136956,0.5738523,0.0601567
3,-0.09302864,0.10918906,"('repellent', 'pleasant')",0.81732005,0.85509866,0.3621457,0.4821439,0.1199982
4,-1.1002567,-1.1725092,"('disliked', 'liked')",-7.1540275,-7.3474264,-4.127142,-4.2599678,-0.1328258
5,-0.37654263,-0.5060502,"('distant', 'outgoing')",-0.40142342,-0.51341873,-0.388983,-0.5097345,-0.1207515
6,0.1997392,0.07842323,"('distant', 'open')",-0.21352983,-0.33844367,-0.0068953,-0.1300102,-0.1231149
7,0.4781362,0.68090785,"('insensitive', 'sensitive')",0.30063725,0.35710058,0.3893867,0.5190042,0.1296175
8,0.20633742,0.16958195,"('unaffectionate', 'affectionate')",0.79089934,0.69570404,0.4986184,0.432643,-0.0659754
9,0.6438324,0.660021,"('unaffectionate', 'caring')",1.192405,1.145784,0.9181187,0.9029025,-0.0152162
10,1.1463773,1.268104,"('unsympathetic', 'sympathetic')",-0.43582922,-0.3984414,0.3552741,0.4348313,0.0795572
11,0.089015976,0.19739133,"('unhelpful', 'helpful')",1.521273,1.6801418,0.8051445,0.9387666,0.1336221
12,0.60618144,0.7020027,"('unsupportive', 'supportive')",-1.9143913,-1.9392338,-0.6541049,-0.6186155,0.0354894
13,0.97714084,1.0079777,"('impolite', 'polite')",-0.9906006,-0.90138555,-0.0067299,0.0532961,0.060026
14,1.6617166,1.7678521,"('antisocial', 'social')",-0.19834742,-0.2255063,0.7316846,0.7711729,0.0394883
15,-0.29455677,-0.38691038,"('boring', 'funny')",-0.34503737,-0.34138355,-0.3197971,-0.3641469,-0.0443498
