,alder_male,alder_female,tuple,average_male,average_female,female-male
0,-0.01643232,-0.15505691,"('unsociable', 'sociable')",-0.0164323,-0.1550569,-0.1386246
1,-0.7501128,-0.9895339,"('unfriendly', 'friendly')",-0.7501128,-0.9895339,-0.2394211
2,0.07286066,0.13281024,"('unlikable', 'likable')",0.0728607,0.1328102,0.0599495
3,-0.316977,-0.16172478,"('repellent', 'pleasant')",-0.316977,-0.1617248,0.1552522
4,-2.807417,-3.0682096,"('disliked', 'liked')",-2.8074169,-3.0682096,-0.2607927
5,-0.6205098,-0.7436643,"('distant', 'outgoing')",-0.6205098,-0.7436643,-0.1231545
6,-0.2909129,-0.43399876,"('distant', 'open')",-0.2909129,-0.4339988,-0.1430859
7,0.7757977,0.7831357,"('insensitive', 'sensitive')",0.7757977,0.7831357,0.007338
8,-0.5036194,-0.61304134,"('unaffectionate', 'affectionate')",-0.5036194,-0.6130413,-0.1094219
9,-0.042338196,-0.08440701,"('unaffectionate', 'caring')",-0.0423382,-0.084407,-0.0420688
10,-0.0031638928,0.07078245,"('unsympathetic', 'sympathetic')",-0.0031639,0.0707825,0.0739464
11,0.20853311,0.43163392,"('unhelpful', 'helpful')",0.2085331,0.4316339,0.2231008
12,-0.9726079,-0.874618,"('unsupportive', 'supportive')",-0.9726079,-0.874618,0.0979899
13,-0.18735242,-0.1384739,"('impolite', 'polite')",-0.1873524,-0.1384739,0.0488785
14,0.32551944,0.29033363,"('antisocial', 'social')",0.3255194,0.2903336,-0.0351858
15,0.31367818,0.14260446,"('boring', 'funny')",0.3136782,0.1426045,-0.1710737
16,-0.32889724,-0.35756412,"('unpopular', 'popular')",-0.3288972,-0.3575641,-0.0286669
17,-0.19691256,-0.16328788,"('nasty', 'nice')",-0.1969126,-0.1632879,0.0336247
18,-0.22095588,-0.19259457,"('disagreeable', 'welcoming')",-0.2209559,-0.1925946,0.0283613
19,-1.0538583,-1.0357757,"('inhospitable', 'hospitable')",-1.0538583,-1.0357757,0.0180826
20,0.42662805,0.33499953,"('rough', 'thoughtful')",0.4266281,0.3349995,-0.0916286
21,-0.043022275,0.1958183,"('immoral', 'moral')",-0.0430223,0.1958183,0.2388406
22,-0.24058515,-0.34877905,"('untrustworthy', 'trustworthy')",-0.2405851,-0.3487791,-0.108194
23,2.4899893,2.614961,"('insincere', 'sincere')",2.4899893,2.6149609,0.1249716
