,father_male,father_female,tuple,average_male,average_female,female-male
0,0.405595,0.38257328,"('unsociable', 'sociable')",0.405595,0.3825733,-0.0230217
1,1.1696581,1.0160998,"('unfriendly', 'friendly')",1.1696581,1.0160998,-0.1535583
2,0.4087724,0.5897169,"('unlikable', 'likable')",0.4087724,0.5897169,0.1809445
3,0.88592046,1.1272427,"('repellent', 'pleasant')",0.8859205,1.1272427,0.2413222
4,-7.3133016,-7.262764,"('disliked', 'liked')",-7.3133016,-7.262764,0.0505376
5,-0.53130144,-0.5162469,"('distant', 'outgoing')",-0.5313014,-0.5162469,0.0150545
6,-0.17787549,-0.2596693,"('distant', 'open')",-0.1778755,-0.2596693,-0.0817938
7,0.65368474,0.75971156,"('insensitive', 'sensitive')",0.6536847,0.7597116,0.1060269
8,0.94546205,0.82280964,"('unaffectionate', 'affectionate')",0.945462,0.8228096,-0.1226524
9,1.4563876,1.4799289,"('unaffectionate', 'caring')",1.4563876,1.4799289,0.0235413
10,1.3045546,1.5942506,"('unsympathetic', 'sympathetic')",1.3045546,1.5942506,0.289696
11,2.087598,2.2289915,"('unhelpful', 'helpful')",2.0875981,2.2289915,0.1413934
12,-1.4666148,-1.3995969,"('unsupportive', 'supportive')",-1.4666148,-1.3995969,0.0670179
13,0.58100873,0.70674,"('impolite', 'polite')",0.5810087,0.70674,0.1257313
14,-0.00094420835,0.0048911734,"('antisocial', 'social')",-0.0009442,0.0048912,0.0058354
15,0.2451915,0.14346704,"('boring', 'funny')",0.2451915,0.143467,-0.1017245
16,-0.5098176,-0.4891318,"('unpopular', 'popular')",-0.5098176,-0.4891318,0.0206858
17,-0.11817304,-0.08829215,"('nasty', 'nice')",-0.118173,-0.0882922,0.0298808
18,-0.5001303,-0.7157916,"('disagreeable', 'welcoming')",-0.5001303,-0.7157916,-0.2156613
19,-0.82547015,-0.77604675,"('inhospitable', 'hospitable')",-0.8254701,-0.7760468,0.0494233
20,0.74900687,0.5502909,"('rough', 'thoughtful')",0.7490069,0.5502909,-0.198716
21,0.20898582,0.5046184,"('immoral', 'moral')",0.2089858,0.5046184,0.2956326
22,-0.29780534,-0.21165341,"('untrustworthy', 'trustworthy')",-0.2978053,-0.2116534,0.0861519
23,6.2749786,6.3097405,"('insincere', 'sincere')",6.2749786,6.3097405,0.0347619
24,1.6307114,1.6584792,"('dishonest', 'honest')",1.6307114,1.6584792,0.0277678
25,0.40663028,0.18965614,"('egoistic', 'altruistic')",0.4066303,0.1896561,-0.2169742
26,0.21148102,0.0075740293,"('hardhearted', 'benevolent')",0.211481,0.007574,-0.203907
27,1.7087197,1.4344558,"('hardhearted', 'softhearted')",1.7087197,1.4344558,-0.2742639
28,1.3415208,1.3159887,"('disloyal', 'loyal')",1.3415208,1.3159887,-0.0255321
