,dollar_male,dollar_female,tuple,tree_male,tree_female,inc_male,inc_female,average_male,average_female,female-male
0,0.10112655,0.023151178,"('unsociable', 'sociable')",1.1890361,1.0770059,-0.15712398,-0.3164676,0.3776796,0.2612298,-0.1164498
1,0.456919,0.28551784,"('unfriendly', 'friendly')",-0.27759412,-0.41477913,2.4893959,2.3840492,0.8895736,0.751596,-0.1379776
2,0.8750132,0.88528126,"('unlikable', 'likable')",-0.026110679,-0.07836172,0.51467335,0.5238399,0.4545253,0.4435865,-0.0109388
3,-0.9157931,-0.764237,"('repellent', 'pleasant')",0.4691578,0.6530906,0.041103274,0.16665752,-0.1351774,0.0185037,0.1536811
4,0.17763188,0.24180266,"('disliked', 'liked')",-1.0606447,-1.0824136,-6.0087,-6.018042,-2.2972376,-2.2862177,0.0110199
5,0.41981977,0.41165578,"('distant', 'outgoing')",-1.3862083,-1.4356781,0.26182264,0.3151065,-0.2348553,-0.2363053,-0.00145
6,0.4014037,0.4137835,"('distant', 'open')",-1.7917161,-1.8401029,0.5049216,0.5774833,-0.2951303,-0.2829454,0.0121849
7,0.4358141,0.41629416,"('insensitive', 'sensitive')",0.9817026,1.1433816,0.873365,0.9784487,0.7636272,0.8460414,0.0824142
8,0.6917982,0.5029285,"('unaffectionate', 'affectionate')",-0.06370545,-0.22997077,1.173455,1.0920259,0.6005159,0.4549945,-0.1455214
9,1.6853224,1.5587853,"('unaffectionate', 'caring')",0.53599393,0.50624216,1.5759703,1.6468378,1.2657622,1.2372885,-0.0284737
10,-0.18951924,-0.3094685,"('unsympathetic', 'sympathetic')",0.8736331,0.95095766,-0.52450264,-0.52884954,0.0532037,0.0375465,-0.0156572
11,0.49255702,0.57280403,"('unhelpful', 'helpful')",0.9977632,1.125722,2.0282946,2.1788657,1.1728716,1.2924639,0.1195923
12,0.81160676,0.8665328,"('unsupportive', 'supportive')",1.058074,1.2856017,-1.3878473,-1.3020797,0.1606112,0.2833516,0.1227404
13,0.7829148,0.7192262,"('impolite', 'polite')",0.9601795,0.8839355,-0.5239901,-0.6118176,0.4063681,0.330448,-0.0759201
