,foot_male,foot_female,tuple,locker_male,locker_female,inc_male,inc_female,average_male,average_female,female-male
0,0.20262127,0.14461946,"('unsociable', 'sociable')",2.0129027,1.86472,0.08807844,-0.09339406,0.7678675,0.6386484,-0.1292191
1,0.0016164705,0.06476633,"('unfriendly', 'friendly')",-0.47183388,-0.4617501,2.0049949,1.925757,0.5115925,0.5095911,-0.0020014
2,-0.59924304,-0.5514424,"('unlikable', 'likable')",0.25401014,0.24306932,0.46468854,0.5875523,0.0398185,0.0930597,0.0532412
3,-0.9072112,-0.7043932,"('repellent', 'pleasant')",0.4257412,0.6314421,0.07655987,0.2657924,-0.13497,0.0642804,0.1992504
4,0.98139036,0.96067005,"('disliked', 'liked')",-0.64099675,-0.64384836,-6.3861637,-6.3444924,-2.0152567,-2.0092236,0.0060331
5,0.72452885,0.7127205,"('distant', 'outgoing')",-1.2343233,-1.189264,-0.13246514,-0.101763144,-0.2140865,-0.1927689,0.0213176
6,-0.036298297,-0.07248736,"('distant', 'open')",-1.6007043,-1.5611649,0.23432103,0.25057295,-0.4675605,-0.4610264,0.0065341
7,-0.19924134,-0.14560942,"('insensitive', 'sensitive')",1.3504181,1.547443,1.1454527,1.1636608,0.7655431,0.8551648,0.0896217
8,-0.8765025,-0.891864,"('unaffectionate', 'affectionate')",-1.4068443,-1.4436728,0.78153527,0.7009239,-0.5006038,-0.5448709,-0.0442671
9,-0.2242181,-0.17301601,"('unaffectionate', 'caring')",-0.6767319,-0.63758075,1.5681037,1.617728,0.2223846,0.2690437,0.0466591
10,-1.1045032,-1.0257658,"('unsympathetic', 'sympathetic')",0.875777,0.8632247,0.2564934,0.22885235,0.0092557,0.0221038,0.0128481
11,-0.34094277,-0.20994784,"('unhelpful', 'helpful')",0.35464382,0.38135883,2.4239366,2.4576676,0.8125459,0.8763595,0.0638136
12,0.49967796,0.6693453,"('unsupportive', 'supportive')",0.69552326,0.80358446,-1.3994398,-1.3941994,-0.0680796,0.0262434,0.094323
13,1.0137831,0.9718555,"('impolite', 'polite')",1.9288598,1.7904896,0.08407489,-0.015960481,1.008906,0.9154615,-0.0934445
14,1.203241,1.2140437,"('antisocial', 'social')",1.775942,1.7883846,-0.1597786,-0.2835472,0.9398015,0.9062937,-0.0335078
15,1.0785184,1.001655,"('boring', 'funny')",-0.46079078,-0.50176054,0.64557636,0.57263654,0.4211013,0.3575103,-0.063591
16,-0.89153755,-0.7658995,"('unpopular', 'popular')",-1.1369232,-1.0361289,0.417906,0.4905455,-0.5368516,-0.437161,0.0996906
17,0.52058125,0.5924181,"('nasty', 'nice')",-0.29562414,-0.19902538,-0.25534326,-0.2519079,-0.0101287,0.0471616,0.0572903
