,welfare_male,welfare_female,tuple,average_male,average_female,female-male
0,0.528848,0.31235233,"('unsociable', 'sociable')",0.528848,0.3123523,-0.2164957
1,2.0921264,2.034087,"('unfriendly', 'friendly')",2.0921264,2.0340869,-0.0580395
2,0.30096376,0.3820085,"('unlikable', 'likable')",0.3009638,0.3820085,0.0810447
3,-0.20510969,0.06178646,"('repellent', 'pleasant')",-0.2051097,0.0617865,0.2668962
4,-6.527439,-6.752623,"('disliked', 'liked')",-6.5274391,-6.7526231,-0.225184
5,0.31098682,0.26983732,"('distant', 'outgoing')",0.3109868,0.2698373,-0.0411495
6,0.20300703,0.2350551,"('distant', 'open')",0.203007,0.2350551,0.0320481
7,0.4805132,0.4988203,"('insensitive', 'sensitive')",0.4805132,0.4988203,0.0183071
8,1.9348512,1.8942631,"('unaffectionate', 'affectionate')",1.9348512,1.8942631,-0.0405881
9,2.2690933,2.2614176,"('unaffectionate', 'caring')",2.2690933,2.2614176,-0.0076757
10,0.03085573,0.17291437,"('unsympathetic', 'sympathetic')",0.0308557,0.1729144,0.1420587
11,2.2028759,2.178866,"('unhelpful', 'helpful')",2.2028759,2.1788659,-0.02401
12,-0.67241323,-0.88609666,"('unsupportive', 'supportive')",-0.6724132,-0.8860967,-0.2136835
13,-0.514948,-0.4764645,"('impolite', 'polite')",-0.514948,-0.4764645,0.0384835
14,0.6243018,0.5168014,"('antisocial', 'social')",0.6243018,0.5168014,-0.1075004
15,0.81973934,0.62518185,"('boring', 'funny')",0.8197393,0.6251819,-0.1945574
16,-0.42435837,-0.4059599,"('unpopular', 'popular')",-0.4243584,-0.4059599,0.0183985
17,0.3414257,0.4390955,"('nasty', 'nice')",0.3414257,0.4390955,0.0976698
18,-0.62758803,-0.5827512,"('disagreeable', 'welcoming')",-0.627588,-0.5827512,0.0448368
19,0.22087178,0.18714134,"('inhospitable', 'hospitable')",0.2208718,0.1871413,-0.0337305
20,-0.011009131,0.0065988153,"('rough', 'thoughtful')",-0.0110091,0.0065988,0.0176079
21,-0.48894438,-0.3539605,"('immoral', 'moral')",-0.4889444,-0.3539605,0.1349839
22,-0.9560245,-0.86544955,"('untrustworthy', 'trustworthy')",-0.9560245,-0.8654495,0.090575
23,6.638241,6.7278733,"('insincere', 'sincere')",6.6382408,6.7278733,0.0896325
24,1.0611019,1.2176913,"('dishonest', 'honest')",1.0611019,1.2176913,0.1565894
25,1.419183,1.4317628,"('egoistic', 'altruistic')",1.419183,1.4317628,0.0125798
26,3.0903194,2.6269267,"('hardhearted', 'benevolent')",3.0903194,2.6269267,-0.4633927
27,1.6276686,1.6033549,"('hardhearted', 'softhearted')",1.6276686,1.6033549,-0.0243137
28,1.1427274,1.1077625,"('disloyal', 'loyal')",1.1427274,1.1077625,-0.0349649
29,-0.90920275,-1.0689335,"('unfair', 'fair')",-0.9092028,-1.0689335,-0.1597307
30,0.8439597,0.87428296,"('intolerant', 'tolerant')",0.8439597,0.874283,0.0303233
31,-1.477747,-1.3424989,"('evil', 'good')",-1.477747,-1.3424989,0.1352481
32,1.3115964,1.2042633,"('unkind', 'kind')",1.3115964,1.2042633,-0.1073331
33,0.115585834,0.0059959143,"('wrong', 'right')",0.1155858,0.0059959,-0.1095899
34,5.2003975,5.4306436,"('mean', 'honorable')",5.2003975,5.4306436,0.2302461
35,-0.5583614,-0.74567676,"('corrupt', 'incorrupt')",-0.5583614,-0.7456768,-0.1873154
36,-0.34005374,-0.40756172,"('hostile', 'amicable')",-0.3400537,-0.4075617,-0.067508
37,0.4384905,0.5381153,"('fake', 'genuine')",0.4384905,0.5381153,0.0996248
38,0.7889992,0.7283552,"('untruthful', 'truthful')",0.7889992,0.7283552,-0.060644
39,-0.20778756,-0.14261834,"('exploitative', 'cooperative')",-0.2077876,-0.1426183,0.0651693
40,-1.9589832,-2.0435627,"('stingy', 'generous')",-1.9589832,-2.0435627,-0.0845795
41,0.7322272,0.58496755,"('unforgiving', 'forgiving')",0.7322272,0.5849676,-0.1472596
42,-3.6146066,-3.5080657,"('unreliable', 'reliable')",-3.6146066,-3.5080657,0.1065409
43,0.8614721,0.8883648,"('irresponsible', 'responsible')",0.8614721,0.8883648,0.0268927
44,-1.5453987,-1.438202,"('prejudiced', 'unprejudiced')",-1.5453987,-1.438202,0.1071967
45,0.011482965,-0.016162558,"('incompetent', 'competent')",0.011483,-0.0161626,-0.0276456
46,-1.4064809,-1.4880288,"('uncompetitive', 'competitive')",-1.4064809,-1.4880288,-0.0815479
47,5.552659,5.744729,"('stupid', 'smart')",5.552659,5.744729,0.19207
48,0.10831124,0.07010985,"('unintelligent', 'intelligent')",0.1083112,0.0701099,-0.0382013
49,-0.081288666,0.08286049,"('unable', 'able')",-0.0812887,0.0828605,0.1641492
50,-0.6846123,-0.6299261,"('clumsy', 'skillful')",-0.6846123,-0.6299261,0.0546862
51,-0.3725028,-0.3098743,"('uneducated', 'educated')",-0.3725028,-0.3098743,0.0626285
52,0.42404628,0.40574244,"('irrational', 'rational')",0.4240463,0.4057424,-0.0183039
53,0.1492644,0.03554962,"('uncreative', 'creative')",0.1492644,0.0355496,-0.1137148
54,1.1355146,1.2026927,"('incapable', 'capable')",1.1355146,1.2026927,0.0671781
55,-0.3842892,-0.14317232,"('incompetent', 'clever')",-0.3842892,-0.1431723,0.2411169
56,0.70050895,0.68271327,"('impractical', 'practical')",0.700509,0.6827133,-0.0177957
57,-2.7618346,-2.9517171,"('unimaginative', 'imaginative')",-2.7618346,-2.9517171,-0.1898825
58,-0.34132677,-0.25526592,"('undiscriminating', 'discriminating')",-0.3413268,-0.2552659,0.0860609
59,0.505851,0.4755337,"('foolish', 'wise')",0.505851,0.4755337,-0.0303173
60,-0.6601068,-0.38203147,"('inefficient', 'efficient')",-0.6601068,-0.3820315,0.2780753
61,-0.054992296,-0.18271324,"('illogical', 'logical')",-0.0549923,-0.1827132,-0.1277209
62,0.31501803,0.4626483,"('incompetent', 'brilliant')",0.315018,0.4626483,0.1476303
63,0.25187048,0.24729884,"('unperceptive', 'insightful')",0.2518705,0.2472988,-0.0045717
64,-7.00428,-6.9619527,"('shy', 'confident')",-7.0042801,-6.9619527,0.0423274
65,-0.9663341,-0.66232646,"('insecure', 'secure')",-0.9663341,-0.6623265,0.3040076
66,-0.16355544,-0.31431848,"('inactive', 'active')",-0.1635554,-0.3143185,-0.1507631
67,-0.14824928,-0.24157481,"('doubtful', 'determined')",-0.1482493,-0.2415748,-0.0933255
68,-1.9626105,-1.831877,"('dependent', 'independent')",-1.9626105,-1.831877,0.1307335
69,-1.16977,-1.2378541,"('lazy', 'industrious')",-1.16977,-1.2378541,-0.0680841
70,0.14194669,0.22867095,"('lethargic', 'energetic')",0.1419467,0.228671,0.0867243
71,0.61741513,0.50159264,"('diffident', 'self-confident')",0.6174151,0.5015926,-0.1158225
72,0.48815677,0.5829406,"('unambitious', 'ambitious')",0.4881568,0.5829406,0.0947838
73,-3.8044765,-3.6073742,"('helpless', 'self-reliant')",-3.8044765,-3.6073742,0.1971023
74,-0.18665588,-0.17934406,"('undedicated', 'dedicated')",-0.1866559,-0.1793441,0.0073118
75,-0.91118705,-0.90263903,"('meek', 'impulsive')",-0.9111871,-0.902639,0.0085481
76,-1.0367745,-0.7893334,"('anxious', 'daring')",-1.0367745,-0.7893334,0.2474411
77,-1.4188553,-1.4138464,"('unmotivated', 'motivated')",-1.4188553,-1.4138464,0.0050089
78,-0.3218753,-0.5319263,"('nonresilient', 'resilient')",-0.3218753,-0.5319263,-0.210051
79,0.5054241,0.4260913,"('wavering', 'unwavering')",0.5054241,0.4260913,-0.0793328
80,-0.33319923,-0.39318138,"('dominated', 'dominating')",-0.3331992,-0.3931814,-0.0599822
81,-0.7700015,-0.6563845,"('submissive', 'aggressive')",-0.7700015,-0.6563845,0.113617
82,5.414762,5.812031,"('poor', 'rich')",5.414762,5.8120308,0.3972688
83,-0.55262965,-0.6079821,"('powerless', 'powerful')",-0.5526296,-0.6079821,-0.0553525
84,-0.42226535,-0.41398108,"('inferior', 'superior')",-0.4222654,-0.4139811,0.0082843
85,-0.050296575,-0.19770819,"('insignificant', 'prestigious')",-0.0502966,-0.1977082,-0.1474116
86,0.31214195,0.17536514,"('uninfluential', 'influential')",0.312142,0.1753651,-0.1367769
87,-0.025540896,0.058716234,"('unsuccessful', 'successful')",-0.0255409,0.0587162,0.0842571
88,0.07334374,-0.050052702,"('low', 'eminent')",0.0733437,-0.0500527,-0.1233964
