,dollar_male,dollar_female,tuple,tree_male,tree_female,inc_male,inc_female,average_male,average_female,female-male
0,0.009687293,-0.08799982,"('unsociable', 'sociable')",1.1956005,1.0040525,-0.27441716,-0.4181763,0.3102902,0.1659588,-0.1443314
1,0.4639009,0.2582435,"('unfriendly', 'friendly')",-0.26491508,-0.40863085,2.286893,2.1711266,0.8286262,0.6735798,-0.1550464
2,0.8115569,0.8975488,"('unlikable', 'likable')",0.08608763,0.09021632,0.33137733,0.40085226,0.4096739,0.4628725,0.0531986
3,-1.0709802,-0.976538,"('repellent', 'pleasant')",0.2403625,0.3913319,0.017465154,0.13588391,-0.2710508,-0.1497741,0.1212767
4,0.003505459,0.031982116,"('disliked', 'liked')",-1.0388312,-1.008244,-6.2688556,-6.395455,-2.434727,-2.457239,-0.022512
5,0.32013237,0.3289886,"('distant', 'outgoing')",-1.4181452,-1.4127792,0.2158875,0.25511116,-0.2940418,-0.2762265,0.0178153
6,0.2299193,0.2717111,"('distant', 'open')",-1.7642037,-1.7631623,0.613768,0.6875334,-0.3068388,-0.2679726,0.0388662
7,0.27309686,0.2279165,"('insensitive', 'sensitive')",0.9934922,1.0392262,0.84863394,0.878161,0.7050743,0.7151012,0.0100269
8,0.9664451,0.79874754,"('unaffectionate', 'affectionate')",0.018026061,-0.1004619,1.3682977,1.2732879,0.7842563,0.6571912,-0.1270651
9,1.515959,1.3792847,"('unaffectionate', 'caring')",0.4972332,0.43352535,1.54843,1.5483048,1.1872074,1.1203717,-0.0668357
10,-0.42528492,-0.5559532,"('unsympathetic', 'sympathetic')",0.8028934,0.77161956,-0.5981966,-0.6687083,-0.0735294,-0.151014,-0.0774846
11,0.24262847,0.32889578,"('unhelpful', 'helpful')",0.90070325,1.0398295,1.6131548,1.7250934,0.9188288,1.0312729,0.1124441
12,0.5343297,0.5766439,"('unsupportive', 'supportive')",0.9424373,1.0632823,-1.6583898,-1.6291878,-0.0605409,0.0035795,0.0641204
13,0.6180819,0.5649284,"('impolite', 'polite')",0.94160426,0.8690361,-0.7628666,-0.75614953,0.2656065,0.2259383,-0.0396682
14,0.19940965,0.15379454,"('antisocial', 'social')",1.6748571,1.5803993,-0.39041212,-0.49764812,0.4946182,0.4121819,-0.0824363
15,0.95832515,0.8599197,"('boring', 'funny')",0.026990172,-0.07998412,0.68354785,0.63525593,0.5562877,0.4717305,-0.0845572
16,-1.1918678,-1.1139401,"('unpopular', 'popular')",-1.6815062,-1.5793629,-0.07531816,0.023731805,-0.9828974,-0.8898571,0.0930403
17,0.18762822,0.3620416,"('nasty', 'nice')",-0.14368922,-0.04903305,-0.43779063,-0.4139634,-0.1312839,-0.0336516,0.0976323
18,-0.32583922,-0.27955848,"('disagreeable', 'welcoming')",-0.28800175,-0.1568153,-0.37882528,-0.35973522,-0.3308887,-0.2653697,0.065519
19,0.2285362,0.31660613,"('inhospitable', 'hospitable')",-0.9339042,-0.9411182,0.040495917,0.097158596,-0.221624,-0.1757845,0.0458395
20,-0.17911568,-0.04857997,"('rough', 'thoughtful')",-0.3678528,-0.2791664,0.6370192,0.59768236,0.0300169,0.0899787,0.0599618
21,-0.77242094,-0.7395999,"('immoral', 'moral')",1.5053965,1.5978929,-0.7770462,-0.7122684,-0.0146902,0.0486749,0.0633651
22,-0.33931834,-0.31417617,"('untrustworthy', 'trustworthy')",1.0466781,1.0880923,-0.8918309,-0.9629005,-0.0614904,-0.0629948,-0.0015044
23,0.73424107,0.7208485,"('insincere', 'sincere')",1.1336915,1.218064,5.5933347,5.692175,2.4870892,2.5436958,0.0566066
24,0.6555766,0.59752965,"('dishonest', 'honest')",0.5405598,0.5356802,0.6283101,0.57367253,0.6081489,0.5689608,-0.0391881
25,-0.022301897,-0.14116165,"('egoistic', 'altruistic')",-0.09646852,-0.1191496,1.8656838,1.7723159,0.5823045,0.5040015,-0.078303
