,spectra_male,spectra_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.21479036,-0.2189062,"('unsociable', 'sociable')",-0.1278454,-0.20821303,-0.3832193,-0.51966304,-0.2419517,-0.3155941,-0.0736424
1,0.3977914,0.27997804,"('unfriendly', 'friendly')",0.30996478,0.108900785,1.0717468,0.9751344,0.5931677,0.4546711,-0.1384966
2,0.46011227,0.523657,"('unlikable', 'likable')",1.2762039,1.2942702,0.8570439,0.86460614,0.8644534,0.8941778,0.0297244
3,-0.3848686,-0.2120192,"('repellent', 'pleasant')",-0.53681993,-0.38507712,0.77234197,0.7789851,-0.0497822,0.0606296,0.1104118
4,-0.88614666,-0.9786818,"('disliked', 'liked')",0.5654669,0.33658051,-6.500479,-6.8417597,-2.2737196,-2.4946203,-0.2209007
5,-0.36490154,-0.454247,"('distant', 'outgoing')",-0.33860263,-0.4220248,-0.64561814,-0.6695903,-0.4497074,-0.5152874,-0.06558
6,-0.83402693,-0.9060323,"('distant', 'open')",-0.8639307,-0.9912069,-0.649022,-0.649243,-0.7823265,-0.8488274,-0.0665009
7,1.4188747,1.552657,"('insensitive', 'sensitive')",0.49629694,0.64339566,0.29215214,0.3336448,0.7357746,0.8432325,0.1074579
8,0.06953017,-0.034409143,"('unaffectionate', 'affectionate')",-0.28825235,-0.45651776,0.42450732,0.43093124,0.068595,-0.0199986,-0.0885936
9,1.3350015,1.2730949,"('unaffectionate', 'caring')",0.30276337,0.21297866,0.8327943,0.86588794,0.8235197,0.7839871,-0.0395326
10,0.45008412,0.59660393,"('unsympathetic', 'sympathetic')",-0.83306265,-0.8096344,-0.76975036,-0.7512804,-0.384243,-0.321437,0.062806
11,-0.5452954,-0.44762704,"('unhelpful', 'helpful')",0.31490177,0.47472548,1.7518643,1.8549368,0.5071569,0.6273451,0.1201882
12,1.0788383,1.1566225,"('unsupportive', 'supportive')",0.46510208,0.5236642,-2.022901,-2.0684671,-0.1596535,-0.1293935,0.03026
13,-0.6003818,-0.50206006,"('impolite', 'polite')",-0.33175924,-0.17293581,-0.9839996,-0.94632804,-0.6387136,-0.5404413,0.0982723
14,0.5355224,0.6027641,"('antisocial', 'social')",1.068787,1.1257914,0.0929199,-0.07839573,0.5657431,0.5500533,-0.0156898
15,-0.15825838,-0.30238175,"('boring', 'funny')",-0.10815876,-0.24993211,-0.34602794,-0.36651883,-0.2041484,-0.3062776,-0.1021292
16,-0.5223453,-0.6081146,"('unpopular', 'popular')",-0.05959486,-0.23087975,0.329147,0.23596255,-0.0842644,-0.2010106,-0.1167462
17,0.34443128,0.40069792,"('nasty', 'nice')",-0.82923335,-0.7802836,-0.8538323,-0.78031576,-0.4462115,-0.3866338,0.0595777
18,-0.238138,-0.23642452,"('disagreeable', 'welcoming')",-0.56996816,-0.57777125,-0.6717124,-0.69366956,-0.4932729,-0.5026218,-0.0093489
19,-0.49476904,-0.4657328,"('inhospitable', 'hospitable')",-1.0273186,-1.0383644,-0.91984636,-0.7616775,-0.813978,-0.7552582,0.0587198
20,0.9175815,0.98853946,"('rough', 'thoughtful')",0.16963989,0.24398434,0.6472094,0.61820406,0.5781436,0.6169093,0.0387657
21,0.17077279,0.21829268,"('immoral', 'moral')",1.1440698,1.1470581,-0.41028497,-0.3769569,0.3015192,0.3294646,0.0279454
22,0.008654298,0.07418121,"('untrustworthy', 'trustworthy')",-0.54030424,-0.58188814,-0.8024464,-0.8688726,-0.4446988,-0.4588598,-0.014161
23,1.5917875,1.6871798,"('insincere', 'sincere')",-0.22522876,-0.14673829,5.421429,5.5587835,2.2626626,2.3664083,0.1037457
24,0.5554258,0.6699665,"('dishonest', 'honest')",0.5840193,0.65062124,0.5498593,0.5659085,0.5631015,0.6288321,0.0657306
