,goggles_male,goggles_female,tuple,average_male,average_female,female-male
0,-0.36226082,-0.6224531,"('unsociable', 'sociable')",-0.3622608,-0.6224531,-0.2601923
1,-0.04826566,-0.13205132,"('unfriendly', 'friendly')",-0.0482657,-0.1320513,-0.0837856
2,0.23224157,0.36270857,"('unlikable', 'likable')",0.2322416,0.3627086,0.130467
3,-0.58261704,-0.46786627,"('repellent', 'pleasant')",-0.582617,-0.4678663,0.1147507
4,-3.7348425,-3.7783487,"('disliked', 'liked')",-3.7348425,-3.7783487,-0.0435062
5,-0.6752355,-0.65048045,"('distant', 'outgoing')",-0.6752355,-0.6504804,0.0247551
6,-1.021915,-0.8798473,"('distant', 'open')",-1.021915,-0.8798473,0.1420677
7,-0.014416462,0.051508315,"('insensitive', 'sensitive')",-0.0144165,0.0515083,0.0659248
8,-0.123939686,-0.1633225,"('unaffectionate', 'affectionate')",-0.1239397,-0.1633225,-0.0393828
9,0.2307646,0.22518447,"('unaffectionate', 'caring')",0.2307646,0.2251845,-0.0055801
10,-0.5339099,-0.61142045,"('unsympathetic', 'sympathetic')",-0.5339099,-0.6114205,-0.0775106
11,1.4311061,1.4501661,"('unhelpful', 'helpful')",1.4311061,1.4501661,0.01906
12,-1.2064815,-1.2453673,"('unsupportive', 'supportive')",-1.2064815,-1.2453673,-0.0388858
13,-0.27463287,-0.5023871,"('impolite', 'polite')",-0.2746329,-0.5023871,-0.2277542
14,0.11934474,-0.011616411,"('antisocial', 'social')",0.1193447,-0.0116164,-0.1309611
15,0.4344979,0.38143477,"('boring', 'funny')",0.4344979,0.3814348,-0.0530631
16,0.13644095,0.16670677,"('unpopular', 'popular')",0.1364409,0.1667068,0.0302659
17,-0.4400679,-0.41898045,"('nasty', 'nice')",-0.4400679,-0.4189804,0.0210875
18,-0.42008385,-0.4267152,"('disagreeable', 'welcoming')",-0.4200839,-0.4267152,-0.0066313
19,-1.7837505,-1.7508817,"('inhospitable', 'hospitable')",-1.7837505,-1.7508817,0.0328688
20,0.26753765,0.235441,"('rough', 'thoughtful')",0.2675377,0.235441,-0.0320967
21,-0.42179263,-0.48565686,"('immoral', 'moral')",-0.4217926,-0.4856569,-0.0638643
22,-0.048517585,-0.05557617,"('untrustworthy', 'trustworthy')",-0.0485176,-0.0555762,-0.0070586
23,3.3692362,3.317353,"('insincere', 'sincere')",3.3692362,3.317353,-0.0518832
24,0.38914758,0.3451925,"('dishonest', 'honest')",0.3891476,0.3451925,-0.0439551
25,-0.10163924,-0.20455587,"('egoistic', 'altruistic')",-0.1016392,-0.2045559,-0.1029167
26,0.012458704,-0.02065403,"('hardhearted', 'benevolent')",0.0124587,-0.020654,-0.0331127
27,0.18978286,0.19370057,"('hardhearted', 'softhearted')",0.1897829,0.1937006,0.0039177
28,0.12082189,0.0995747,"('disloyal', 'loyal')",0.1208219,0.0995747,-0.0212472
29,0.035704847,-0.014367882,"('unfair', 'fair')",0.0357048,-0.0143679,-0.0500727
30,0.6922678,0.51101214,"('intolerant', 'tolerant')",0.6922678,0.5110121,-0.1812557
31,-1.2179699,-1.1017681,"('evil', 'good')",-1.2179699,-1.1017681,0.1162018
32,0.42038634,0.3072107,"('unkind', 'kind')",0.4203863,0.3072107,-0.1131756
33,-0.07409359,-0.15097457,"('wrong', 'right')",-0.0740936,-0.1509746,-0.076881
34,2.0491135,2.086622,"('mean', 'honorable')",2.0491135,2.086622,0.0375085
35,-0.48032355,-0.4750374,"('corrupt', 'incorrupt')",-0.4803236,-0.4750374,0.0052862
36,-1.02376,-0.95042586,"('hostile', 'amicable')",-1.02376,-0.9504259,0.0733341
37,-0.46634158,-0.4696873,"('fake', 'genuine')",-0.4663416,-0.4696873,-0.0033457
38,0.05886706,-0.05431787,"('untruthful', 'truthful')",0.0588671,-0.0543179,-0.113185
39,0.44839817,0.48530298,"('exploitative', 'cooperative')",0.4483982,0.485303,0.0369048
40,-1.3224016,-1.3619093,"('stingy', 'generous')",-1.3224016,-1.3619093,-0.0395077
41,0.16296646,0.06926061,"('unforgiving', 'forgiving')",0.1629665,0.0692606,-0.0937059
42,-1.7733275,-1.6334972,"('unreliable', 'reliable')",-1.7733275,-1.6334972,0.1398303
43,-0.071696885,-0.18529299,"('irresponsible', 'responsible')",-0.0716969,-0.185293,-0.1135961
44,-0.64648175,-0.6068135,"('prejudiced', 'unprejudiced')",-0.6464818,-0.6068135,0.0396683
45,-0.21522963,-0.27878028,"('incompetent', 'competent')",-0.2152296,-0.2787803,-0.0635507
46,-0.7290331,-0.8095343,"('uncompetitive', 'competitive')",-0.7290331,-0.8095343,-0.0805012
47,3.2107797,3.2989092,"('stupid', 'smart')",3.2107797,3.2989092,0.0881295
48,0.52211237,0.415605,"('unintelligent', 'intelligent')",0.5221124,0.415605,-0.1065074
49,-0.08087919,-0.04373853,"('unable', 'able')",-0.0808792,-0.0437385,0.0371407
50,-0.17236705,0.022699563,"('clumsy', 'skillful')",-0.1723671,0.0226996,0.1950667
51,0.091686726,0.025407195,"('uneducated', 'educated')",0.0916867,0.0254072,-0.0662795
52,-0.13014038,-0.056305744,"('irrational', 'rational')",-0.1301404,-0.0563057,0.0738347
53,-0.6307248,-0.7083982,"('uncreative', 'creative')",-0.6307248,-0.7083982,-0.0776734
54,-0.11337899,-0.0008796677,"('incapable', 'capable')",-0.113379,-0.0008797,0.1124993
55,0.6996451,0.55119056,"('incompetent', 'clever')",0.6996451,0.5511906,-0.1484545
56,0.5425596,0.30724105,"('impractical', 'practical')",0.5425596,0.3072411,-0.2353185
57,-2.2700303,-2.3445468,"('unimaginative', 'imaginative')",-2.2700303,-2.3445468,-0.0745165
58,-0.0053851493,-0.0727309,"('undiscriminating', 'discriminating')",-0.0053851,-0.0727309,-0.0673458
59,0.4548311,0.69741225,"('foolish', 'wise')",0.4548311,0.6974123,0.2425812
60,0.98905575,0.7982749,"('inefficient', 'efficient')",0.9890558,0.7982749,-0.1907809
61,0.047626533,-0.09678951,"('illogical', 'logical')",0.0476265,-0.0967895,-0.144416
62,1.1150514,1.0944906,"('incompetent', 'brilliant')",1.1150514,1.0944906,-0.0205608
63,0.030734558,-0.014412731,"('unperceptive', 'insightful')",0.0307346,-0.0144127,-0.0451473
64,-2.791476,-2.7783675,"('shy', 'confident')",-2.791476,-2.7783675,0.0131085
