,saffron_male,saffron_female,tuple,average_male,average_female,female-male
0,-0.65379596,-0.7932348,"('unsociable', 'sociable')",-0.653796,-0.7932348,-0.1394388
1,-0.4529084,-0.61310846,"('unfriendly', 'friendly')",-0.4529084,-0.6131085,-0.1602001
2,0.6488805,0.664455,"('unlikable', 'likable')",0.6488805,0.664455,0.0155745
3,-0.7379613,-0.6156946,"('repellent', 'pleasant')",-0.7379613,-0.6156946,0.1222667
4,-1.6324382,-1.6332936,"('disliked', 'liked')",-1.6324382,-1.6332936,-0.0008554
5,-0.26326627,-0.28401604,"('distant', 'outgoing')",-0.2632663,-0.284016,-0.0207497
6,-0.33404288,-0.4067442,"('distant', 'open')",-0.3340429,-0.4067442,-0.0727013
7,-0.6750397,-0.6415442,"('insensitive', 'sensitive')",-0.6750397,-0.6415442,0.0334955
8,-0.01236175,-0.115376145,"('unaffectionate', 'affectionate')",-0.0123618,-0.1153761,-0.1030143
9,0.15756907,0.08680078,"('unaffectionate', 'caring')",0.1575691,0.0868008,-0.0707683
10,-1.1170657,-1.1152776,"('unsympathetic', 'sympathetic')",-1.1170657,-1.1152776,0.0017881
11,0.3121847,0.41108644,"('unhelpful', 'helpful')",0.3121847,0.4110864,0.0989017
12,-1.6625161,-1.6142541,"('unsupportive', 'supportive')",-1.6625161,-1.6142541,0.048262
13,-0.9026247,-0.9675102,"('impolite', 'polite')",-0.9026247,-0.9675102,-0.0648855
14,-0.33116257,-0.2902835,"('antisocial', 'social')",-0.3311626,-0.2902835,0.0408791
15,0.8207805,0.7014624,"('boring', 'funny')",0.8207805,0.7014624,-0.1193181
16,1.0920634,1.030188,"('unpopular', 'popular')",1.0920634,1.030188,-0.0618754
17,0.11922886,0.14770329,"('nasty', 'nice')",0.1192289,0.1477033,0.0284744
18,0.20517716,0.15002939,"('disagreeable', 'welcoming')",0.2051772,0.1500294,-0.0551478
19,-0.85728794,-0.8604121,"('inhospitable', 'hospitable')",-0.8572879,-0.8604121,-0.0031242
20,-0.34943026,-0.387876,"('rough', 'thoughtful')",-0.3494303,-0.387876,-0.0384457
21,-0.6570125,-0.58746004,"('immoral', 'moral')",-0.6570125,-0.58746,0.0695525
22,-0.89479226,-0.8616892,"('untrustworthy', 'trustworthy')",-0.8947923,-0.8616892,0.0331031
23,1.055439,1.0549976,"('insincere', 'sincere')",1.055439,1.0549976,-0.0004414
24,-0.06470033,-0.17168045,"('dishonest', 'honest')",-0.0647003,-0.1716805,-0.1069802
25,0.42705142,0.29001346,"('egoistic', 'altruistic')",0.4270514,0.2900135,-0.1370379
26,0.36179549,0.18462332,"('hardhearted', 'benevolent')",0.3617955,0.1846233,-0.1771722
27,0.39331678,0.25395826,"('hardhearted', 'softhearted')",0.3933168,0.2539583,-0.1393585
28,0.3488328,0.28325754,"('disloyal', 'loyal')",0.3488328,0.2832575,-0.0655753
29,-0.9635262,-0.99787855,"('unfair', 'fair')",-0.9635262,-0.9978786,-0.0343524
30,0.26545513,0.25161564,"('intolerant', 'tolerant')",0.2654551,0.2516156,-0.0138395
31,-0.97420096,-1.0061858,"('evil', 'good')",-0.974201,-1.0061858,-0.0319848
32,0.4162522,0.32800066,"('unkind', 'kind')",0.4162522,0.3280007,-0.0882515
33,-0.049314044,-0.1290047,"('wrong', 'right')",-0.049314,-0.1290047,-0.0796907
34,0.7661469,0.88073677,"('mean', 'honorable')",0.7661469,0.8807368,0.1145899
35,0.67683744,0.6030484,"('corrupt', 'incorrupt')",0.6768374,0.6030484,-0.073789
36,-0.6665285,-0.74515355,"('hostile', 'amicable')",-0.6665285,-0.7451535,-0.078625
37,-0.1053267,-0.1491932,"('fake', 'genuine')",-0.1053267,-0.1491932,-0.0438665
38,-0.64576113,-0.5905818,"('untruthful', 'truthful')",-0.6457611,-0.5905818,0.0551793
39,0.37470916,0.39293122,"('exploitative', 'cooperative')",0.3747092,0.3929312,0.018222
40,-1.0493848,-1.0439856,"('stingy', 'generous')",-1.0493848,-1.0439856,0.0053992
41,-0.42902654,-0.46623704,"('unforgiving', 'forgiving')",-0.4290265,-0.466237,-0.0372105
42,-1.0725377,-0.9683239,"('unreliable', 'reliable')",-1.0725377,-0.9683239,0.1042138
43,-1.3692043,-1.3478831,"('irresponsible', 'responsible')",-1.3692043,-1.3478831,0.0213212
44,-0.17702717,-0.17444436,"('prejudiced', 'unprejudiced')",-0.1770272,-0.1744444,0.0025828
45,-0.7904278,-0.75508875,"('incompetent', 'competent')",-0.7904278,-0.7550887,0.0353391
46,-0.78427106,-0.69246924,"('uncompetitive', 'competitive')",-0.7842711,-0.6924692,0.0918019
47,1.0240307,1.0250072,"('stupid', 'smart')",1.0240307,1.0250072,0.0009765
48,-0.22013308,-0.23772731,"('unintelligent', 'intelligent')",-0.2201331,-0.2377273,-0.0175942
49,-0.24427706,-0.11493262,"('unable', 'able')",-0.2442771,-0.1149326,0.1293445
50,0.23305598,0.3387881,"('clumsy', 'skillful')",0.233056,0.3387881,0.1057321
51,-0.23885682,-0.20417972,"('uneducated', 'educated')",-0.2388568,-0.2041797,0.0346771
52,-0.19503585,-0.3596773,"('irrational', 'rational')",-0.1950358,-0.3596773,-0.1646415
53,-0.5613242,-0.5821131,"('uncreative', 'creative')",-0.5613242,-0.5821131,-0.0207889
54,0.020646721,-0.044124357,"('incapable', 'capable')",0.0206467,-0.0441244,-0.0647711
55,0.10447909,0.15584674,"('incompetent', 'clever')",0.1044791,0.1558467,0.0513676
56,-0.16165186,-0.09460206,"('impractical', 'practical')",-0.1616519,-0.0946021,0.0670498
57,-1.7247701,-1.751177,"('unimaginative', 'imaginative')",-1.7247701,-1.751177,-0.0264069
58,-0.41102982,-0.36640334,"('undiscriminating', 'discriminating')",-0.4110298,-0.3664033,0.0446265
59,0.48800105,0.49384338,"('foolish', 'wise')",0.488001,0.4938434,0.0058424
60,-0.2754889,-0.19532612,"('inefficient', 'efficient')",-0.2754889,-0.1953261,0.0801628
61,-0.4599978,-0.5590701,"('illogical', 'logical')",-0.4599978,-0.5590701,-0.0990723
62,0.24382071,0.44569895,"('incompetent', 'brilliant')",0.2438207,0.4456989,0.2018782
