,paperwork_male,paperwork_female,tuple,average_male,average_female,female-male
0,0.3338706,0.24192797,"('unsociable', 'sociable')",0.3338706,0.241928,-0.0919426
1,0.36980152,0.15316406,"('unfriendly', 'friendly')",0.3698015,0.1531641,-0.2166374
2,-0.037532765,0.018578034,"('unlikable', 'likable')",-0.0375328,0.018578,0.0561108
3,0.707128,0.7496281,"('repellent', 'pleasant')",0.707128,0.7496281,0.0425001
4,-7.4228354,-7.42237,"('disliked', 'liked')",-7.4228354,-7.42237,0.0004654
5,-1.5512855,-1.5718746,"('distant', 'outgoing')",-1.5512855,-1.5718746,-0.0205891
6,-1.2751188,-1.3459924,"('distant', 'open')",-1.2751188,-1.3459924,-0.0708736
7,1.2331803,1.2205145,"('insensitive', 'sensitive')",1.2331803,1.2205145,-0.0126658
8,0.74829865,0.5219536,"('unaffectionate', 'affectionate')",0.7482986,0.5219536,-0.226345
9,1.5479832,1.4612265,"('unaffectionate', 'caring')",1.5479832,1.4612265,-0.0867567
10,1.3548825,1.3490807,"('unsympathetic', 'sympathetic')",1.3548825,1.3490807,-0.0058018
11,2.3554819,2.44936,"('unhelpful', 'helpful')",2.3554819,2.4493599,0.093878
12,-1.3853415,-1.3556237,"('unsupportive', 'supportive')",-1.3853415,-1.3556237,0.0297178
13,0.29951653,0.27224934,"('impolite', 'polite')",0.2995165,0.2722493,-0.0272672
14,0.4077925,0.37680793,"('antisocial', 'social')",0.4077925,0.3768079,-0.0309846
15,-0.19274001,-0.25702116,"('boring', 'funny')",-0.19274,-0.2570212,-0.0642812
16,-0.4615205,-0.49736756,"('unpopular', 'popular')",-0.4615205,-0.4973676,-0.0358471
17,-0.7231958,-0.6870071,"('nasty', 'nice')",-0.7231958,-0.6870071,0.0361887
18,-1.4060671,-1.4720249,"('disagreeable', 'welcoming')",-1.4060671,-1.4720249,-0.0659578
19,-1.2997762,-1.289586,"('inhospitable', 'hospitable')",-1.2997762,-1.2895859,0.0101903
20,0.93730974,0.8745861,"('rough', 'thoughtful')",0.9373097,0.8745861,-0.0627236
21,0.08842398,0.23353943,"('immoral', 'moral')",0.088424,0.2335394,0.1451154
22,-0.3707989,-0.40799293,"('untrustworthy', 'trustworthy')",-0.3707989,-0.4079929,-0.037194
23,6.7281446,6.681676,"('insincere', 'sincere')",6.7281446,6.6816759,-0.0464687
24,1.2695332,1.1671978,"('dishonest', 'honest')",1.2695332,1.1671978,-0.1023354
25,-0.023658425,-0.11036654,"('egoistic', 'altruistic')",-0.0236584,-0.1103665,-0.0867081
26,0.52912533,0.4077494,"('hardhearted', 'benevolent')",0.5291253,0.4077494,-0.1213759
27,0.89718485,0.6557871,"('hardhearted', 'softhearted')",0.8971848,0.6557871,-0.2413977
28,1.2495193,1.1386229,"('disloyal', 'loyal')",1.2495193,1.1386229,-0.1108964
29,-1.0231024,-1.1659658,"('unfair', 'fair')",-1.0231024,-1.1659658,-0.1428634
30,0.635624,0.6443144,"('intolerant', 'tolerant')",0.635624,0.6443144,0.0086904
31,-2.5330236,-2.6585636,"('evil', 'good')",-2.5330236,-2.6585636,-0.12554
32,1.5417008,1.4394935,"('unkind', 'kind')",1.5417008,1.4394935,-0.1022073
33,-0.5251031,-0.5098248,"('wrong', 'right')",-0.5251031,-0.5098248,0.0152783
34,4.2371454,4.337761,"('mean', 'honorable')",4.2371454,4.3377609,0.1006155
35,-1.4944022,-1.6950723,"('corrupt', 'incorrupt')",-1.4944022,-1.6950723,-0.2006701
36,-1.1079676,-1.2739583,"('hostile', 'amicable')",-1.1079676,-1.2739583,-0.1659907
37,0.3796598,0.25287643,"('fake', 'genuine')",0.3796598,0.2528764,-0.1267834
38,0.08594033,0.18941778,"('untruthful', 'truthful')",0.0859403,0.1894178,0.1034775
39,0.05897753,0.14425339,"('exploitative', 'cooperative')",0.0589775,0.1442534,0.0852759
40,-2.2641757,-2.4436092,"('stingy', 'generous')",-2.2641757,-2.4436092,-0.1794335
41,0.09258061,0.0014962088,"('unforgiving', 'forgiving')",0.0925806,0.0014962,-0.0910844
42,-2.144424,-2.083838,"('unreliable', 'reliable')",-2.144424,-2.083838,0.060586
43,1.3956598,1.4145701,"('irresponsible', 'responsible')",1.3956598,1.4145701,0.0189103
44,-1.5045344,-1.5125228,"('prejudiced', 'unprejudiced')",-1.5045344,-1.5125228,-0.0079884
45,0.5830314,0.4699013,"('incompetent', 'competent')",0.5830314,0.4699013,-0.1131301
46,0.1663413,0.16006052,"('uncompetitive', 'competitive')",0.1663413,0.1600605,-0.0062808
47,5.3107753,5.2910423,"('stupid', 'smart')",5.3107753,5.2910423,-0.019733
48,0.49336424,0.45405996,"('unintelligent', 'intelligent')",0.4933642,0.45406,-0.0393042
49,-0.19628918,-0.08459867,"('unable', 'able')",-0.1962892,-0.0845987,0.1116905
50,-0.17168905,-0.20955895,"('clumsy', 'skillful')",-0.171689,-0.2095589,-0.0378699
51,0.32047334,0.3737534,"('uneducated', 'educated')",0.3204733,0.3737534,0.0532801
52,-1.4682482,-1.7445161,"('irrational', 'rational')",-1.4682482,-1.7445161,-0.2762679
53,0.04238893,-0.006229883,"('uncreative', 'creative')",0.0423889,-0.0062299,-0.0486188
54,0.66975355,0.7081774,"('incapable', 'capable')",0.6697536,0.7081774,0.0384238
55,1.0762866,1.1111611,"('incompetent', 'clever')",1.0762866,1.1111611,0.0348745
56,1.4829301,1.5888997,"('impractical', 'practical')",1.4829301,1.5888997,0.1059696
57,-2.4665911,-2.47927,"('unimaginative', 'imaginative')",-2.4665911,-2.47927,-0.0126789
58,0.49868265,0.4533262,"('undiscriminating', 'discriminating')",0.4986826,0.4533262,-0.0453564
59,-0.8584816,-0.93321455,"('foolish', 'wise')",-0.8584816,-0.9332145,-0.0747329
60,1.4630512,1.6627115,"('inefficient', 'efficient')",1.4630512,1.6627115,0.1996603
61,0.7939076,0.6077034,"('illogical', 'logical')",0.7939076,0.6077034,-0.1862042
62,1.1443325,1.2622974,"('incompetent', 'brilliant')",1.1443325,1.2622974,0.1179649
63,0.7865,0.85791254,"('unperceptive', 'insightful')",0.7865,0.8579125,0.0714125
64,-5.781912,-5.653594,"('shy', 'confident')",-5.7819118,-5.653594,0.1283178
65,0.6555344,0.68459237,"('insecure', 'secure')",0.6555344,0.6845924,0.029058
66,-0.26491898,-0.34757778,"('inactive', 'active')",-0.264919,-0.3475778,-0.0826588
67,-0.25592035,-0.11357805,"('doubtful', 'determined')",-0.2559204,-0.1135781,0.1423423
68,-1.1625342,-1.1282634,"('dependent', 'independent')",-1.1625342,-1.1282634,0.0342708
69,-2.697159,-2.6847124,"('lazy', 'industrious')",-2.6971591,-2.6847124,0.0124467
70,1.7306169,1.7183182,"('lethargic', 'energetic')",1.7306169,1.7183182,-0.0122987
71,0.13378283,0.106353186,"('diffident', 'self-confident')",0.1337828,0.1063532,-0.0274296
72,0.99349236,1.1023077,"('unambitious', 'ambitious')",0.9934924,1.1023077,0.1088153
