,reactant_male,reactant_female,tuple,average_male,average_female,female-male
0,0.17885381,0.032828473,"('unsociable', 'sociable')",0.1788538,0.0328285,-0.1460253
1,-0.7219828,-0.9860241,"('unfriendly', 'friendly')",-0.7219828,-0.9860241,-0.2640413
2,0.22044003,0.064936474,"('unlikable', 'likable')",0.22044,0.0649365,-0.1555035
3,-0.7794899,-0.5552606,"('repellent', 'pleasant')",-0.7794899,-0.5552606,0.2242293
4,-3.8156383,-4.1668625,"('disliked', 'liked')",-3.8156383,-4.1668625,-0.3512242
5,-1.122713,-1.2410636,"('distant', 'outgoing')",-1.122713,-1.2410636,-0.1183506
6,-1.2663416,-1.3993438,"('distant', 'open')",-1.2663416,-1.3993438,-0.1330022
7,0.39887816,0.5306903,"('insensitive', 'sensitive')",0.3988782,0.5306903,0.1318121
8,-1.2527434,-1.4769657,"('unaffectionate', 'affectionate')",-1.2527434,-1.4769657,-0.2242223
9,-0.44671738,-0.58145905,"('unaffectionate', 'caring')",-0.4467174,-0.581459,-0.1347416
10,0.57592905,0.7088247,"('unsympathetic', 'sympathetic')",0.575929,0.7088247,0.1328957
11,1.9931422,2.1036396,"('unhelpful', 'helpful')",1.9931422,2.1036396,0.1104974
12,-0.47120142,-0.54505897,"('unsupportive', 'supportive')",-0.4712014,-0.545059,-0.0738576
13,0.28662667,0.2597709,"('impolite', 'polite')",0.2866267,0.2597709,-0.0268558
14,0.18568753,0.13530564,"('antisocial', 'social')",0.1856875,0.1353056,-0.0503819
15,0.49843118,0.39613536,"('boring', 'funny')",0.4984312,0.3961354,-0.1022958
16,-0.66384757,-0.7160036,"('unpopular', 'popular')",-0.6638476,-0.7160036,-0.052156
17,-0.45082906,-0.43684584,"('nasty', 'nice')",-0.4508291,-0.4368458,0.0139833
18,-1.2476581,-1.2596912,"('disagreeable', 'welcoming')",-1.2476581,-1.2596912,-0.0120331
19,-1.4476495,-1.4167368,"('inhospitable', 'hospitable')",-1.4476495,-1.4167368,0.0309127
20,0.93962187,1.0234185,"('rough', 'thoughtful')",0.9396219,1.0234185,0.0837966
21,0.46956035,0.5461052,"('immoral', 'moral')",0.4695604,0.5461052,0.0765448
22,-0.4162283,-0.50352603,"('untrustworthy', 'trustworthy')",-0.4162283,-0.503526,-0.0872977
23,2.7493658,2.953218,"('insincere', 'sincere')",2.7493658,2.953218,0.2038522
24,-0.36684278,-0.44955802,"('dishonest', 'honest')",-0.3668428,-0.449558,-0.0827152
25,-0.16175133,-0.26082137,"('egoistic', 'altruistic')",-0.1617513,-0.2608214,-0.0990701
26,0.37053326,0.038708583,"('hardhearted', 'benevolent')",0.3705333,0.0387086,-0.3318247
27,0.04135368,0.16964862,"('hardhearted', 'softhearted')",0.0413537,0.1696486,0.1282949
28,0.4540026,0.48489776,"('disloyal', 'loyal')",0.4540026,0.4848978,0.0308952
29,-0.5694618,-0.7213965,"('unfair', 'fair')",-0.5694618,-0.7213965,-0.1519347
30,0.048214044,-0.0983746,"('intolerant', 'tolerant')",0.048214,-0.0983746,-0.1465886
31,-1.9292804,-2.1461678,"('evil', 'good')",-1.9292804,-2.1461678,-0.2168874
32,0.75846964,0.72635895,"('unkind', 'kind')",0.7584696,0.726359,-0.0321106
33,0.01203002,-0.2476528,"('wrong', 'right')",0.01203,-0.2476528,-0.2596828
34,2.1034114,2.4649367,"('mean', 'honorable')",2.1034114,2.4649367,0.3615253
35,-0.6985306,-0.85338193,"('corrupt', 'incorrupt')",-0.6985306,-0.8533819,-0.1548513
36,-1.6543475,-1.9638339,"('hostile', 'amicable')",-1.6543475,-1.9638339,-0.3094864
37,0.5264488,0.60572743,"('fake', 'genuine')",0.5264488,0.6057274,0.0792786
38,0.24402627,0.0105563775,"('untruthful', 'truthful')",0.2440263,0.0105564,-0.2334699
39,0.07820885,-0.07868987,"('exploitative', 'cooperative')",0.0782088,-0.0786899,-0.1568987
40,-1.6610079,-1.7961987,"('stingy', 'generous')",-1.6610079,-1.7961987,-0.1351908
41,0.07929066,-0.083883986,"('unforgiving', 'forgiving')",0.0792907,-0.083884,-0.1631747
42,-0.76443714,-0.8909124,"('unreliable', 'reliable')",-0.7644371,-0.8909124,-0.1264753
43,0.60091007,0.5310399,"('irresponsible', 'responsible')",0.6009101,0.5310399,-0.0698702
44,-0.77388996,-0.78254855,"('prejudiced', 'unprejudiced')",-0.77389,-0.7825485,-0.0086585
45,-0.095083155,-0.1538988,"('incompetent', 'competent')",-0.0950832,-0.1538988,-0.0588156
46,0.11002067,0.25220826,"('uncompetitive', 'competitive')",0.1100207,0.2522083,0.1421876
47,2.1436768,2.341574,"('stupid', 'smart')",2.1436768,2.341574,0.1978972
48,0.7887133,0.87563115,"('unintelligent', 'intelligent')",0.7887133,0.8756312,0.0869179
49,-3.1642616e-05,0.25619307,"('unable', 'able')",-3.16e-05,0.2561931,0.2562247
50,0.3504657,0.34499368,"('clumsy', 'skillful')",0.3504657,0.3449937,-0.005472
51,0.29580438,0.3420648,"('uneducated', 'educated')",0.2958044,0.3420648,0.0462604
52,-1.0645707,-1.449273,"('irrational', 'rational')",-1.0645707,-1.449273,-0.3847023
53,-1.091686,-1.1236016,"('uncreative', 'creative')",-1.091686,-1.1236016,-0.0319156
54,0.20111415,0.22673719,"('incapable', 'capable')",0.2011141,0.2267372,0.0256231
55,0.51917374,0.5924438,"('incompetent', 'clever')",0.5191737,0.5924438,0.0732701
56,1.0100653,1.025495,"('impractical', 'practical')",1.0100653,1.0254951,0.0154298
57,-1.0424091,-1.132643,"('unimaginative', 'imaginative')",-1.0424091,-1.132643,-0.0902339
58,0.37035254,0.17498855,"('undiscriminating', 'discriminating')",0.3703525,0.1749886,-0.1953639
59,-0.8755633,-1.1870688,"('foolish', 'wise')",-0.8755633,-1.1870688,-0.3115055
60,1.2646987,1.4105204,"('inefficient', 'efficient')",1.2646987,1.4105204,0.1458217
61,0.28137228,0.17450042,"('illogical', 'logical')",0.2813723,0.1745004,-0.1068719
