,sba_male,sba_female,tuple,communications_male,communications_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.3410876,-0.466883,"('unsociable', 'sociable')",-0.071838714,-0.26245612,-0.3250594,-0.4865198,-0.2459952,-0.4052863,-0.1592911
1,-1.7327963,-1.7958488,"('unfriendly', 'friendly')",0.9933796,0.8942376,1.0694287,0.985879,0.110004,0.0280892,-0.0819148
2,1.1321375,1.1488779,"('unlikable', 'likable')",1.588165,1.6993778,1.1396457,1.1729052,1.2866494,1.340387,0.0537376
3,0.62709516,0.7988478,"('repellent', 'pleasant')",0.43371955,0.56353676,0.7680161,0.7652794,0.6096103,0.7092214,0.0996111
4,-0.33287966,-0.36996073,"('disliked', 'liked')",-0.62300193,-0.72974205,-5.7936487,-5.924792,-2.2498434,-2.3414982,-0.0916548
5,-0.95814,-0.9420282,"('distant', 'outgoing')",0.21782671,0.35603923,-0.68960536,-0.5752065,-0.4766395,-0.3870652,0.0895743
6,-1.2108669,-1.1286131,"('distant', 'open')",-0.49829802,-0.3870446,-0.65487397,-0.55519795,-0.788013,-0.6902852,0.0977278
7,0.28071287,0.37894362,"('insensitive', 'sensitive')",0.0067904424,0.1169409,0.22527178,0.27193868,0.170925,0.2559411,0.0850161
8,-1.3821616,-1.4100415,"('unaffectionate', 'affectionate')",-0.5064805,-0.44373402,0.35610735,0.3905388,-0.5108449,-0.4877456,0.0230993
9,-1.1061386,-1.1319592,"('unaffectionate', 'caring')",0.059002854,0.10190731,0.93284196,0.9726313,-0.0380979,-0.0191402,0.0189577
10,-0.27131248,-0.21033642,"('unsympathetic', 'sympathetic')",-0.420693,-0.38031843,-0.48333505,-0.51508594,-0.3917802,-0.3685803,0.0231999
11,0.22371481,0.22532132,"('unhelpful', 'helpful')",0.84012866,0.9028484,1.7486484,1.7642637,0.9374973,0.9641445,0.0266472
12,0.062333416,0.23690149,"('unsupportive', 'supportive')",-0.12195508,0.13347943,-1.681167,-1.5926024,-0.5802629,-0.4074071,0.1728558
13,0.29038095,0.25858903,"('impolite', 'polite')",0.5143938,0.5675116,-0.68069065,-0.65151393,0.0413614,0.0581956,0.0168342
14,0.74580896,0.7077726,"('antisocial', 'social')",1.5930755,1.5415566,0.06603041,-0.07587275,0.8016383,0.7244855,-0.0771528
