,endo_male,endo_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.78359455,-0.7424278,"('unsociable', 'sociable')",0.2133366,0.14083505,-0.36874944,-0.4656668,-0.3130025,-0.3557532,-0.0427507
1,-1.489959,-1.5167038,"('unfriendly', 'friendly')",0.059194937,-0.109063014,1.8084675,1.564586,0.1259011,-0.0203936,-0.1462947
2,0.6174107,0.6652628,"('unlikable', 'likable')",1.3091747,1.348817,0.4301154,0.46583205,0.785567,0.8266373,0.0410703
3,-0.7422688,-0.60985583,"('repellent', 'pleasant')",-0.7499796,-0.7267192,-0.37149042,-0.35747343,-0.6212463,-0.5646828,0.0565635
4,-0.4321139,-0.48155493,"('disliked', 'liked')",0.26993525,0.22335702,-3.765051,-3.4595,-1.3090765,-1.2392327,0.0698438
5,-0.80712944,-0.8193904,"('distant', 'outgoing')",-0.103471145,-0.09892724,0.3388158,0.27448446,-0.1905949,-0.2146111,-0.0240162
6,-0.8759038,-0.8737691,"('distant', 'open')",-0.14549495,-0.18800876,0.26037014,0.14316213,-0.2536762,-0.3062052,-0.052529
7,-0.1460228,-0.07487743,"('insensitive', 'sensitive')",-0.32086,-0.29203415,0.3583217,0.3053803,-0.036187,-0.0205104,0.0156766
8,-0.9258684,-1.0589128,"('unaffectionate', 'affectionate')",-0.4339712,-0.5161269,0.6320927,0.4303262,-0.2425823,-0.3815711,-0.1389888
9,-1.2450503,-1.3267401,"('unaffectionate', 'caring')",-0.085060924,-0.1674205,0.8775684,0.70483464,-0.1508476,-0.2631087,-0.1122611
10,-0.6697281,-0.5542387,"('unsympathetic', 'sympathetic')",-0.9788012,-0.95673573,-0.79488456,-0.81013316,-0.8144712,-0.7737025,0.0407687
11,-0.014451891,0.013007963,"('unhelpful', 'helpful')",0.020006627,0.039866358,0.55627286,0.43296602,0.1872759,0.1619468,-0.0253291
12,-0.3873254,-0.32731587,"('unsupportive', 'supportive')",0.1994133,0.23797596,-1.073268,-1.0118088,-0.4203934,-0.3670495,0.0533439
13,0.023234323,0.10711795,"('impolite', 'polite')",0.44823298,0.52241653,-0.8073911,-0.7983887,-0.1119746,-0.0562847,0.0556899
14,0.4014576,0.46332246,"('antisocial', 'social')",0.8939312,0.92424154,0.82276976,0.8914031,0.7060529,0.7596556,0.0536027
15,0.69196784,0.5891323,"('boring', 'funny')",0.31526354,0.23997569,0.12035663,0.040441997,0.3758627,0.28985,-0.0860127
16,-1.0841936,-1.0852414,"('unpopular', 'popular')",0.3123189,0.28344542,-0.17184225,-0.29009265,-0.3145723,-0.3639629,-0.0493906
17,-0.4508019,-0.43278772,"('nasty', 'nice')",-0.71463114,-0.71870005,-0.97939295,-1.0371798,-0.714942,-0.7295559,-0.0146139
18,-0.7375609,-0.68985385,"('disagreeable', 'welcoming')",0.8204239,0.8209686,-0.7284141,-0.8499479,-0.2151837,-0.239611,-0.0244273
19,-1.3955994,-1.4120378,"('inhospitable', 'hospitable')",-0.8065119,-0.8836966,-0.62889165,-0.74329,-0.9436677,-1.0130081,-0.0693404
20,0.0038636196,0.036632713,"('rough', 'thoughtful')",0.45165712,0.46239474,1.326092,1.2376283,0.5938709,0.5788853,-0.0149856
21,0.08778416,0.16090435,"('immoral', 'moral')",-0.119245395,-0.112934515,-1.2592804,-1.2134781,-0.4302472,-0.3885028,0.0417444
22,-0.10435471,-0.044841282,"('untrustworthy', 'trustworthy')",-0.10408663,-0.07500961,-0.38605988,-0.41142058,-0.1981671,-0.1770905,0.0210766
23,-1.1605146,-1.1425416,"('insincere', 'sincere')",-0.46306843,-0.5142413,3.4703875,3.0243657,0.6156015,0.4558609,-0.1597406
24,-0.19136912,-0.17875205,"('dishonest', 'honest')",-0.28410175,-0.25237402,0.39127657,0.2599295,-0.0280648,-0.0570655,-0.0290007
25,-0.3768191,-0.45756847,"('egoistic', 'altruistic')",0.60924584,0.52435446,1.5663148,1.4423933,0.5995805,0.5030598,-0.0965207
26,-0.21959916,-0.2591309,"('hardhearted', 'benevolent')",1.4263059,1.3747542,2.913022,2.792085,1.373243,1.3025694,-0.0706736
27,-0.5014691,-0.5236965,"('hardhearted', 'softhearted')",-0.2744456,-0.40627956,0.17743562,-0.15569544,-0.199493,-0.3618905,-0.1623975
28,-1.0772594,-1.1335769,"('disloyal', 'loyal')",-0.053250812,-0.14968812,0.7289586,0.5303704,-0.1338505,-0.2509649,-0.1171144
29,-0.41102603,-0.46811953,"('unfair', 'fair')",-0.18503618,-0.23306912,-0.5230814,-0.659592,-0.3730479,-0.4535936,-0.0805457
30,0.23863809,0.26427203,"('intolerant', 'tolerant')",0.23698199,0.24585396,0.39943072,0.36819303,0.2916836,0.292773,0.0010894
31,-1.3491045,-1.2648093,"('evil', 'good')",-0.5329293,-0.511664,0.027484354,0.090239644,-0.6181832,-0.5620779,0.0561053
