,novellus_male,novellus_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1019316,-1.2648028,"('unsociable', 'sociable')",0.3934472,0.23332018,-0.7737685,-1.0278343,-0.4940843,-0.686439,-0.1923547
1,-0.049619798,-0.1992665,"('unfriendly', 'friendly')",0.8488316,0.6403307,1.8714982,1.7431693,0.8902367,0.7280778,-0.1621589
2,0.2920879,0.39343694,"('unlikable', 'likable')",0.66489017,0.7354479,0.8165867,0.95670354,0.5911883,0.6951962,0.1040079
3,-0.39433417,-0.33710396,"('repellent', 'pleasant')",0.54601026,0.6861508,0.14593391,0.19305477,0.0992033,0.1807005,0.0814972
4,-0.14100823,-0.14690755,"('disliked', 'liked')",-0.9521347,-1.0765334,-5.9271574,-6.051953,-2.3401001,-2.4251313,-0.0850312
5,0.21258716,0.2538809,"('distant', 'outgoing')",-0.6716664,-0.7112587,0.12020077,0.21642254,-0.1129595,-0.0803184,0.0326411
6,-0.07582227,0.00876461,"('distant', 'open')",-1.1237816,-1.1681385,0.6357333,0.7470091,-0.1879568,-0.1374549,0.0505019
7,-0.41020215,-0.44013447,"('insensitive', 'sensitive')",-0.08161973,-0.026543632,-0.10068376,-0.0926383,-0.1975019,-0.1864388,0.0110631
8,0.0177313,-0.041507848,"('unaffectionate', 'affectionate')",-0.48355114,-0.520568,0.6522279,0.6875179,0.062136,0.041814,-0.020322
9,-0.27556708,-0.31955817,"('unaffectionate', 'caring')",0.0027963873,-0.034965552,1.168534,1.2211012,0.2985878,0.2888591,-0.0097287
10,-1.3139706,-1.3915697,"('unsympathetic', 'sympathetic')",-0.93831944,-0.8976027,-1.0170382,-1.0854871,-1.089776,-1.1248865,-0.0351105
11,-0.6065353,-0.5649494,"('unhelpful', 'helpful')",0.6802945,0.74143684,1.3939878,1.4506717,0.489249,0.5423864,0.0531374
12,-0.56095123,-0.48698005,"('unsupportive', 'supportive')",-0.09945284,0.04060501,-2.2063177,-2.1804519,-0.9555739,-0.875609,0.0799649
13,-1.2182058,-1.3107163,"('impolite', 'polite')",-0.335925,-0.3187437,-0.7918239,-0.8607066,-0.7819849,-0.8300556,-0.0480707
14,-0.31721476,-0.3537299,"('antisocial', 'social')",0.26523393,0.3000893,-1.215541,-1.2959971,-0.4225073,-0.4498792,-0.0273719
15,-0.015433647,-0.020619638,"('boring', 'funny')",-0.8580067,-0.9366724,0.7408082,0.6677344,-0.0442107,-0.0965192,-0.0523085
16,-0.32801232,-0.27794686,"('unpopular', 'popular')",-0.5118274,-0.48057133,0.84210515,0.87174356,0.0007552,0.0377418,0.0369866
17,-0.07510556,-0.03223733,"('nasty', 'nice')",-0.18464097,-0.12614004,-0.27101684,-0.20986709,-0.1769211,-0.1227482,0.0541729
18,-0.15862656,-0.18605107,"('disagreeable', 'welcoming')",-0.16217586,-0.090473264,-0.42114893,-0.37345508,-0.2473171,-0.2166598,0.0306573
19,-0.91967875,-0.870282,"('inhospitable', 'hospitable')",-1.0558549,-1.1000692,0.22524472,0.39147034,-0.5834297,-0.5262936,0.0571361
20,0.2302725,0.19684441,"('rough', 'thoughtful')",0.4538468,0.5371442,1.120535,1.0913827,0.6015515,0.6084571,0.0069056
21,-0.41155627,-0.4726127,"('immoral', 'moral')",0.52971923,0.46654677,-1.0915143,-1.1388938,-0.3244505,-0.3816533,-0.0572028
22,-0.52228075,-0.579978,"('untrustworthy', 'trustworthy')",0.20727634,0.047956064,-1.147186,-1.305527,-0.4873968,-0.6125163,-0.1251195
23,-0.47443488,-0.5412225,"('insincere', 'sincere')",0.83306384,0.8497564,5.095823,5.0607305,1.8181505,1.7897549,-0.0283956
24,-0.1976111,-0.1863009,"('dishonest', 'honest')",-1.479681,-1.4728501,0.40863156,0.34925595,-0.4228868,-0.4366317,-0.0137449
25,0.33229724,0.35628384,"('egoistic', 'altruistic')",0.54724663,0.54053676,1.5646217,1.4907801,0.8147219,0.7958669,-0.018855
26,0.27220598,0.18358825,"('hardhearted', 'benevolent')",0.38975698,0.3399015,1.3535572,1.1972508,0.67184,0.5735802,-0.0982598
27,-0.6447519,-0.68452406,"('hardhearted', 'softhearted')",0.018947195,0.041162513,1.4137454,1.3691984,0.2626469,0.2419456,-0.0207013
28,-0.5766457,-0.7074031,"('disloyal', 'loyal')",-0.047582593,-0.12276352,0.78248405,0.66621333,0.0527519,-0.0546511,-0.107403
