,fee_male,fee_female,tuple,average_male,average_female,female-male
0,0.19425163,0.039839223,"('unsociable', 'sociable')",0.1942516,0.0398392,-0.1544124
1,1.5515642,1.6165897,"('unfriendly', 'friendly')",1.5515642,1.6165897,0.0650255
2,0.415849,0.5040118,"('unlikable', 'likable')",0.415849,0.5040118,0.0881628
3,0.73905444,0.8817102,"('repellent', 'pleasant')",0.7390544,0.8817102,0.1426558
4,-7.3420663,-7.1710124,"('disliked', 'liked')",-7.3420663,-7.1710124,0.1710539
5,-0.29738414,-0.09743154,"('distant', 'outgoing')",-0.2973841,-0.0974315,0.1999526
6,0.08318004,0.2500734,"('distant', 'open')",0.08318,0.2500734,0.1668934
7,1.7104605,1.5998061,"('insensitive', 'sensitive')",1.7104605,1.5998061,-0.1106544
8,1.3064946,1.3064188,"('unaffectionate', 'affectionate')",1.3064946,1.3064188,-7.58e-05
9,1.8770118,1.9284409,"('unaffectionate', 'caring')",1.8770118,1.9284409,0.0514291
10,1.3953404,1.2839205,"('unsympathetic', 'sympathetic')",1.3953404,1.2839205,-0.1114199
11,2.109421,2.0567122,"('unhelpful', 'helpful')",2.109421,2.0567122,-0.0527088
12,-1.2209392,-1.2097837,"('unsupportive', 'supportive')",-1.2209392,-1.2097837,0.0111555
13,0.13539973,0.013496425,"('impolite', 'polite')",0.1353997,0.0134964,-0.1219033
14,0.1142025,-0.012636885,"('antisocial', 'social')",0.1142025,-0.0126369,-0.1268394
15,0.2686032,0.33541894,"('boring', 'funny')",0.2686032,0.3354189,0.0668157
16,-0.41509643,-0.24242413,"('unpopular', 'popular')",-0.4150964,-0.2424241,0.1726723
17,-0.069371894,-0.023424465,"('nasty', 'nice')",-0.0693719,-0.0234245,0.0459474
18,-0.03978001,-0.060522053,"('disagreeable', 'welcoming')",-0.03978,-0.0605221,-0.0207421
19,-0.09138357,0.046371147,"('inhospitable', 'hospitable')",-0.0913836,0.0463711,0.1377547
20,0.8681501,0.76580364,"('rough', 'thoughtful')",0.8681501,0.7658036,-0.1023465
21,0.19205394,0.17880908,"('immoral', 'moral')",0.1920539,0.1788091,-0.0132448
22,-0.12561841,-0.16653119,"('untrustworthy', 'trustworthy')",-0.1256184,-0.1665312,-0.0409128
23,7.0307465,6.960494,"('insincere', 'sincere')",7.0307465,6.960494,-0.0702525
24,2.366691,2.3101919,"('dishonest', 'honest')",2.3666911,2.3101919,-0.0564992
25,0.16510797,0.10260483,"('egoistic', 'altruistic')",0.165108,0.1026048,-0.0625032
26,0.53044546,0.53698933,"('hardhearted', 'benevolent')",0.5304455,0.5369893,0.0065438
27,1.4957162,1.3826783,"('hardhearted', 'softhearted')",1.4957162,1.3826783,-0.1130379
28,1.6742896,1.638353,"('disloyal', 'loyal')",1.6742896,1.638353,-0.0359366
29,-0.5691913,-0.69645363,"('unfair', 'fair')",-0.5691913,-0.6964536,-0.1272623
30,1.3058647,1.1807147,"('intolerant', 'tolerant')",1.3058647,1.1807147,-0.12515
31,-1.3665702,-1.2185072,"('evil', 'good')",-1.3665702,-1.2185072,0.148063
32,1.5384704,1.4253222,"('unkind', 'kind')",1.5384704,1.4253222,-0.1131482
33,-0.6947695,-0.6207994,"('wrong', 'right')",-0.6947695,-0.6207994,0.0739701
34,4.7316694,4.8708625,"('mean', 'honorable')",4.7316694,4.8708625,0.1391931
35,-1.088861,-1.0725983,"('corrupt', 'incorrupt')",-1.088861,-1.0725983,0.0162627
36,-0.88163024,-0.7716475,"('hostile', 'amicable')",-0.8816302,-0.7716475,0.1099827
37,0.7770034,0.6921285,"('fake', 'genuine')",0.7770034,0.6921285,-0.0848749
38,-0.05688025,-0.10044159,"('untruthful', 'truthful')",-0.0568803,-0.1004416,-0.0435613
39,0.014705405,-0.054973308,"('exploitative', 'cooperative')",0.0147054,-0.0549733,-0.0696787
40,-0.8600099,-0.91911787,"('stingy', 'generous')",-0.8600099,-0.9191179,-0.059108
41,0.18409315,0.100274906,"('unforgiving', 'forgiving')",0.1840931,0.1002749,-0.0838182
42,-1.6337788,-1.6476469,"('unreliable', 'reliable')",-1.6337788,-1.6476469,-0.0138681
43,1.5650716,1.3917109,"('irresponsible', 'responsible')",1.5650716,1.3917109,-0.1733607
44,-1.7467387,-1.9278463,"('prejudiced', 'unprejudiced')",-1.7467387,-1.9278463,-0.1811076
45,0.303173,0.26404706,"('incompetent', 'competent')",0.303173,0.2640471,-0.0391259
46,-0.40249568,-0.4722014,"('uncompetitive', 'competitive')",-0.4024957,-0.4722014,-0.0697057
47,5.9252644,6.0928063,"('stupid', 'smart')",5.9252644,6.0928063,0.1675419
48,1.0845815,1.0085657,"('unintelligent', 'intelligent')",1.0845815,1.0085657,-0.0760158
49,0.42239714,0.5726154,"('unable', 'able')",0.4223971,0.5726154,0.1502183
50,0.18697394,0.28263372,"('clumsy', 'skillful')",0.1869739,0.2826337,0.0956598
51,1.0226161,1.0018345,"('uneducated', 'educated')",1.0226161,1.0018345,-0.0207816
52,-0.35746655,-0.28900114,"('irrational', 'rational')",-0.3574665,-0.2890011,0.0684654
53,0.67345864,0.69244015,"('uncreative', 'creative')",0.6734586,0.6924402,0.0189816
