,mention_male,mention_female,tuple,average_male,average_female,female-male
0,-0.03382054,-0.088164225,"('unsociable', 'sociable')",-0.0338205,-0.0881642,-0.0543437
1,1.1012713,1.0441115,"('unfriendly', 'friendly')",1.1012713,1.0441115,-0.0571598
2,0.0064420663,0.17178436,"('unlikable', 'likable')",0.0064421,0.1717844,0.1653423
3,0.8477286,0.89550567,"('repellent', 'pleasant')",0.8477286,0.8955057,0.0477771
4,-7.0394435,-7.1022625,"('disliked', 'liked')",-7.0394435,-7.1022625,-0.062819
5,-0.80155736,-0.75338715,"('distant', 'outgoing')",-0.8015574,-0.7533872,0.0481702
6,-0.19942477,-0.22554424,"('distant', 'open')",-0.1994248,-0.2255442,-0.0261194
7,0.8562221,0.87898767,"('insensitive', 'sensitive')",0.8562221,0.8789877,0.0227656
8,0.9520022,0.92532533,"('unaffectionate', 'affectionate')",0.9520022,0.9253253,-0.0266769
9,1.1064713,1.1363304,"('unaffectionate', 'caring')",1.1064713,1.1363304,0.0298591
10,1.3091507,1.3040397,"('unsympathetic', 'sympathetic')",1.3091507,1.3040397,-0.005111
11,1.5986128,1.6102899,"('unhelpful', 'helpful')",1.5986128,1.6102899,0.0116771
12,-1.816048,-1.8183817,"('unsupportive', 'supportive')",-1.816048,-1.8183817,-0.0023337
13,0.017901495,0.022216283,"('impolite', 'polite')",0.0179015,0.0222163,0.0043148
14,0.33244595,0.28966,"('antisocial', 'social')",0.3324459,0.28966,-0.0427859
15,0.267546,0.19885609,"('boring', 'funny')",0.267546,0.1988561,-0.0686899
16,-0.43571588,-0.32549214,"('unpopular', 'popular')",-0.4357159,-0.3254921,0.1102238
17,-0.48935652,-0.4086603,"('nasty', 'nice')",-0.4893565,-0.4086603,0.0806962
18,-0.12463629,-0.22648343,"('disagreeable', 'welcoming')",-0.1246363,-0.2264834,-0.1018471
19,-0.77023554,-0.75936025,"('inhospitable', 'hospitable')",-0.7702355,-0.7593603,0.0108752
20,1.0553004,0.97302866,"('rough', 'thoughtful')",1.0553004,0.9730287,-0.0822717
21,-0.14332545,-0.037688524,"('immoral', 'moral')",-0.1433254,-0.0376885,0.1056369
22,-0.25216696,-0.25827754,"('untrustworthy', 'trustworthy')",-0.252167,-0.2582775,-0.0061105
23,6.2103453,6.1951227,"('insincere', 'sincere')",6.2103453,6.1951227,-0.0152226
24,1.6866349,1.614385,"('dishonest', 'honest')",1.6866349,1.614385,-0.0722499
25,0.8467301,0.7602183,"('egoistic', 'altruistic')",0.8467301,0.7602183,-0.0865118
26,0.840137,0.76774883,"('hardhearted', 'benevolent')",0.840137,0.7677488,-0.0723882
27,1.5404314,1.3643453,"('hardhearted', 'softhearted')",1.5404314,1.3643453,-0.1760861
28,1.0694838,1.0099181,"('disloyal', 'loyal')",1.0694838,1.0099181,-0.0595657
29,-0.9133482,-0.990562,"('unfair', 'fair')",-0.9133482,-0.990562,-0.0772138
30,1.1339728,1.0866783,"('intolerant', 'tolerant')",1.1339728,1.0866783,-0.0472945
31,-1.5681773,-1.4772924,"('evil', 'good')",-1.5681773,-1.4772924,0.0908849
32,0.9850313,0.9219261,"('unkind', 'kind')",0.9850313,0.9219261,-0.0631052
33,-0.7780968,-0.7761895,"('wrong', 'right')",-0.7780968,-0.7761895,0.0019073
34,4.431221,4.5833516,"('mean', 'honorable')",4.431221,4.5833516,0.1521306
35,-0.8335235,-1.0019445,"('corrupt', 'incorrupt')",-0.8335235,-1.0019445,-0.168421
36,-0.9088358,-0.948378,"('hostile', 'amicable')",-0.9088358,-0.948378,-0.0395422
37,0.9591837,0.90879315,"('fake', 'genuine')",0.9591837,0.9087932,-0.0503905
38,-0.41214964,-0.3945518,"('untruthful', 'truthful')",-0.4121496,-0.3945518,0.0175978
39,0.58779883,0.52625364,"('exploitative', 'cooperative')",0.5877988,0.5262536,-0.0615452
40,-1.0308746,-1.2179505,"('stingy', 'generous')",-1.0308746,-1.2179505,-0.1870759
41,-0.04991656,-0.09538664,"('unforgiving', 'forgiving')",-0.0499166,-0.0953866,-0.04547
42,-1.6670438,-1.7184733,"('unreliable', 'reliable')",-1.6670438,-1.7184733,-0.0514295
43,0.9377037,0.94981813,"('irresponsible', 'responsible')",0.9377037,0.9498181,0.0121144
44,-0.83979535,-0.83554035,"('prejudiced', 'unprejudiced')",-0.8397954,-0.8355404,0.004255
45,0.08671096,0.11991948,"('incompetent', 'competent')",0.086711,0.1199195,0.0332085
46,-0.26050216,-0.30389938,"('uncompetitive', 'competitive')",-0.2605022,-0.3038994,-0.0433972
47,4.855776,5.0491605,"('stupid', 'smart')",4.8557758,5.0491605,0.1933847
48,0.53999317,0.49801198,"('unintelligent', 'intelligent')",0.5399932,0.498012,-0.0419812
49,0.2625047,0.32709813,"('unable', 'able')",0.2625047,0.3270981,0.0645934
50,-0.36148843,-0.40103778,"('clumsy', 'skillful')",-0.3614884,-0.4010378,-0.0395494
51,0.8867997,0.78101766,"('uneducated', 'educated')",0.8867997,0.7810177,-0.105782
52,-0.72731054,-0.72740597,"('irrational', 'rational')",-0.7273105,-0.727406,-9.55e-05
53,-0.13568328,-0.20582716,"('uncreative', 'creative')",-0.1356833,-0.2058272,-0.0701439
54,0.95928425,1.042314,"('incapable', 'capable')",0.9592842,1.0423141,0.0830299
55,0.9188791,0.9226522,"('incompetent', 'clever')",0.9188791,0.9226522,0.0037731
56,0.7275304,0.7214095,"('impractical', 'practical')",0.7275304,0.7214095,-0.0061209
