,shape_male,shape_female,tuple,average_male,average_female,female-male
0,0.57687527,0.44732845,"('unsociable', 'sociable')",0.5768753,0.4473284,-0.1295469
1,1.1830635,1.1364492,"('unfriendly', 'friendly')",1.1830635,1.1364492,-0.0466143
2,0.38016546,0.6064805,"('unlikable', 'likable')",0.3801655,0.6064805,0.226315
3,1.1538428,1.2099433,"('repellent', 'pleasant')",1.1538428,1.2099433,0.0561005
4,-7.203058,-7.1597586,"('disliked', 'liked')",-7.2030578,-7.1597586,0.0432992
5,-0.54480886,-0.35169676,"('distant', 'outgoing')",-0.5448089,-0.3516968,0.1931121
6,-0.27615103,-0.09529583,"('distant', 'open')",-0.276151,-0.0952958,0.1808552
7,0.9631353,0.90657705,"('insensitive', 'sensitive')",0.9631353,0.9065771,-0.0565582
8,0.8575938,0.85833544,"('unaffectionate', 'affectionate')",0.8575938,0.8583354,0.0007416
9,1.8033835,1.8712096,"('unaffectionate', 'caring')",1.8033835,1.8712096,0.0678261
10,1.3996811,1.4215803,"('unsympathetic', 'sympathetic')",1.3996811,1.4215803,0.0218992
11,2.3042674,2.3252835,"('unhelpful', 'helpful')",2.3042674,2.3252835,0.0210161
12,-1.2717086,-1.2765983,"('unsupportive', 'supportive')",-1.2717086,-1.2765983,-0.0048897
13,0.7167179,0.6728321,"('impolite', 'polite')",0.7167179,0.6728321,-0.0438858
14,0.0071832966,-0.18940115,"('antisocial', 'social')",0.0071833,-0.1894011,-0.1965844
15,0.6792591,0.6402068,"('boring', 'funny')",0.6792591,0.6402068,-0.0390523
16,0.02751292,0.10145606,"('unpopular', 'popular')",0.0275129,0.1014561,0.0739432
17,-0.40492648,-0.32777077,"('nasty', 'nice')",-0.4049265,-0.3277708,0.0771557
18,-0.63113564,-0.74685603,"('disagreeable', 'welcoming')",-0.6311356,-0.746856,-0.1157204
19,-0.6856215,-0.5283547,"('inhospitable', 'hospitable')",-0.6856215,-0.5283547,0.1572668
20,0.9596259,0.7936878,"('rough', 'thoughtful')",0.9596259,0.7936878,-0.1659381
21,0.39154375,0.44245273,"('immoral', 'moral')",0.3915437,0.4424527,0.050909
22,-0.3092366,-0.30174175,"('untrustworthy', 'trustworthy')",-0.3092366,-0.3017417,0.0074949
23,6.696136,6.6529593,"('insincere', 'sincere')",6.696136,6.6529593,-0.0431767
24,1.8880641,1.873706,"('dishonest', 'honest')",1.8880641,1.873706,-0.0143581
25,0.52329224,0.51715237,"('egoistic', 'altruistic')",0.5232922,0.5171524,-0.0061398
26,0.39092407,0.22330727,"('hardhearted', 'benevolent')",0.3909241,0.2233073,-0.1676168
27,1.3615804,1.2088398,"('hardhearted', 'softhearted')",1.3615804,1.2088398,-0.1527406
28,1.1180589,1.0436759,"('disloyal', 'loyal')",1.1180589,1.0436759,-0.074383
29,-0.8306793,-0.82466644,"('unfair', 'fair')",-0.8306793,-0.8246664,0.0060129
30,1.1489545,1.0822091,"('intolerant', 'tolerant')",1.1489545,1.0822091,-0.0667454
31,-1.7832476,-1.6863332,"('evil', 'good')",-1.7832476,-1.6863332,0.0969144
32,1.4078201,1.3790303,"('unkind', 'kind')",1.4078201,1.3790303,-0.0287898
33,-0.16232625,-0.14577696,"('wrong', 'right')",-0.1623262,-0.145777,0.0165492
34,4.7859097,4.949888,"('mean', 'honorable')",4.7859097,4.9498882,0.1639785
35,-1.5233072,-1.6120151,"('corrupt', 'incorrupt')",-1.5233072,-1.6120151,-0.0887079
36,-1.1255354,-1.1455468,"('hostile', 'amicable')",-1.1255354,-1.1455468,-0.0200114
37,0.6738112,0.709046,"('fake', 'genuine')",0.6738112,0.709046,0.0352348
38,-0.09635602,-0.04207185,"('untruthful', 'truthful')",-0.096356,-0.0420718,0.0542842
39,0.102663204,0.016695093,"('exploitative', 'cooperative')",0.1026632,0.0166951,-0.0859681
40,-1.5033435,-1.7088627,"('stingy', 'generous')",-1.5033435,-1.7088627,-0.2055192
41,-0.13641924,-0.19494958,"('unforgiving', 'forgiving')",-0.1364192,-0.1949496,-0.0585304
42,-1.8376207,-1.7671051,"('unreliable', 'reliable')",-1.8376207,-1.7671051,0.0705156
