,oracle_male,oracle_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.43777177,-0.47822577,"('unsociable', 'sociable')",-0.036994662,-0.10045339,-0.2373832,-0.2893396,-0.0519564
1,2.0026863,2.0432405,"('unfriendly', 'friendly')",1.2582353,1.1315954,1.6304607,1.587418,-0.0430427
2,1.2404406,1.2265056,"('unlikable', 'likable')",0.73048025,0.73169106,0.9854604,0.9790983,-0.0063621
3,-0.88698566,-0.7742649,"('repellent', 'pleasant')",0.9821671,0.984737,0.0475907,0.1052361,0.0576454
4,0.12479908,0.12326065,"('disliked', 'liked')",-6.4885893,-6.7958097,-3.181895,-3.3362746,-0.1543796
5,1.3069643,1.295377,"('distant', 'outgoing')",-0.76455134,-0.8204211,0.2712065,0.237478,-0.0337285
6,1.7031078,1.7170143,"('distant', 'open')",-0.51899344,-0.5777762,0.5920572,0.5696191,-0.0224381
7,-0.02183147,0.019196533,"('insensitive', 'sensitive')",0.1525268,0.19163124,0.0653477,0.1054139,0.0400662
8,1.2526451,1.1430993,"('unaffectionate', 'affectionate')",0.0668955,-0.0041211396,0.6597703,0.5694891,-0.0902812
9,1.7258567,1.7052274,"('unaffectionate', 'caring')",0.82907337,0.80767536,1.277465,1.2564514,-0.0210136
10,-1.0048403,-0.9365983,"('unsympathetic', 'sympathetic')",-0.24019021,-0.23776856,-0.6225152,-0.5871834,0.0353318
11,-0.19382873,-0.23033309,"('unhelpful', 'helpful')",1.9802012,2.0066879,0.8931863,0.8881774,-0.0050089
12,1.0568624,1.1544211,"('unsupportive', 'supportive')",-1.756978,-1.7774234,-0.3500578,-0.3115011,0.0385567
13,-1.3023145,-1.3616481,"('impolite', 'polite')",-0.9614414,-0.90304816,-1.1318779,-1.1323481,-0.0004702
14,-0.0057253577,-0.02053674,"('antisocial', 'social')",-0.020992264,-0.055485062,-0.0133588,-0.0380109,-0.0246521
15,0.45417145,0.27385116,"('boring', 'funny')",-0.48742768,-0.4905779,-0.0166281,-0.1083634,-0.0917353
