,applied_male,applied_female,tuple,materials_male,materials_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.94897103,-0.9920545,"('unsociable', 'sociable')",0.3691526,0.323863,-0.77762395,-0.8116734,-0.4524808,-0.4932883,-0.0408075
1,-0.4283126,-0.49495366,"('unfriendly', 'friendly')",0.8046923,0.6105907,2.1689951,2.1188097,0.8484583,0.7448156,-0.1036427
2,0.11969578,0.15645349,"('unlikable', 'likable')",0.4732518,0.5034603,0.44531745,0.49582782,0.3460883,0.3852472,0.0391589
3,-0.65570027,-0.58110726,"('repellent', 'pleasant')",0.21925159,0.3470761,0.2258502,0.3346312,-0.0701995,0.0335333,0.1037328
4,-0.09022306,-0.1372342,"('disliked', 'liked')",-0.62072635,-0.67877936,-5.927533,-6.071884,-2.2128275,-2.2959658,-0.0831383
5,-0.84419674,-0.76152647,"('distant', 'outgoing')",-1.0729561,-1.0502584,0.09341581,0.023338549,-0.6079123,-0.5961488,0.0117635
6,-0.93922126,-0.85307837,"('distant', 'open')",-1.3758456,-1.3379469,0.42439336,0.3862633,-0.6302245,-0.6015873,0.0286372
7,0.35097954,0.36715335,"('insensitive', 'sensitive')",0.24739547,0.24292822,0.6112668,0.7408804,0.4032139,0.4503206,0.0471067
8,-0.3753135,-0.38857573,"('unaffectionate', 'affectionate')",-0.2976361,-0.3272425,1.1852876,1.1256973,0.1707793,0.1366263,-0.034153
9,0.15445906,0.16868699,"('unaffectionate', 'caring')",0.04421816,0.0021853,1.3389741,1.355524,0.5125504,0.5087988,-0.0037516
10,-0.6608372,-0.68167543,"('unsympathetic', 'sympathetic')",0.38744512,0.31783137,-0.47153512,-0.3374049,-0.2483091,-0.2337497,0.0145594
11,0.06437608,0.15452677,"('unhelpful', 'helpful')",0.27944583,0.2655492,1.5877769,1.7416638,0.6438663,0.7205799,0.0767136
12,0.4981631,0.62065536,"('unsupportive', 'supportive')",0.79798025,0.8461093,-1.5467827,-1.5056487,-0.0835465,-0.0129613,0.0705852
13,-0.59924376,-0.6252352,"('impolite', 'polite')",0.47523355,0.48284054,-0.82069385,-0.8076293,-0.3149014,-0.3166746,-0.0017732
