,fright_male,fright_female,tuple,average_male,average_female,female-male
0,0.596896,0.42004907,"('unsociable', 'sociable')",0.596896,0.4200491,-0.1768469
1,0.58029217,0.5575832,"('unfriendly', 'friendly')",0.5802922,0.5575832,-0.022709
2,-0.12949117,-0.051736273,"('unlikable', 'likable')",-0.1294912,-0.0517363,0.0777549
3,0.8601555,0.97486717,"('repellent', 'pleasant')",0.8601555,0.9748672,0.1147117
4,-7.013093,-7.2576456,"('disliked', 'liked')",-7.013093,-7.2576456,-0.2445526
5,-0.7489156,-0.78764945,"('distant', 'outgoing')",-0.7489156,-0.7876495,-0.0387339
6,-0.33500475,-0.4502399,"('distant', 'open')",-0.3350047,-0.4502399,-0.1152352
7,1.4264818,1.4236047,"('insensitive', 'sensitive')",1.4264818,1.4236047,-0.0028771
8,0.60769325,0.58552754,"('unaffectionate', 'affectionate')",0.6076933,0.5855275,-0.0221658
9,0.9425505,0.98004484,"('unaffectionate', 'caring')",0.9425505,0.9800448,0.0374943
10,1.4256123,1.4476063,"('unsympathetic', 'sympathetic')",1.4256123,1.4476063,0.021994
11,1.6185578,1.6243443,"('unhelpful', 'helpful')",1.6185578,1.6243443,0.0057865
12,-1.3195667,-1.3685364,"('unsupportive', 'supportive')",-1.3195667,-1.3685364,-0.0489697
13,0.07417655,0.18767877,"('impolite', 'polite')",0.0741765,0.1876788,0.1135023
14,0.5145696,0.49811295,"('antisocial', 'social')",0.5145696,0.4981129,-0.0164567
15,0.40771648,0.33153,"('boring', 'funny')",0.4077165,0.33153,-0.0761865
16,-0.89574945,-0.9867987,"('unpopular', 'popular')",-0.8957494,-0.9867987,-0.0910493
17,0.11774902,0.11866513,"('nasty', 'nice')",0.117749,0.1186651,0.0009161
18,-0.48110038,-0.4578129,"('disagreeable', 'welcoming')",-0.4811004,-0.4578129,0.0232875
19,-0.86116236,-0.86015934,"('inhospitable', 'hospitable')",-0.8611624,-0.8601593,0.0010031
20,0.60519224,0.52408093,"('rough', 'thoughtful')",0.6051922,0.5240809,-0.0811113
21,0.1249076,0.2953404,"('immoral', 'moral')",0.1249076,0.2953404,0.1704328
22,0.14938979,0.09137062,"('untrustworthy', 'trustworthy')",0.1493898,0.0913706,-0.0580192
23,5.7848682,5.9353027,"('insincere', 'sincere')",5.7848682,5.9353027,0.1504345
24,1.2733033,1.2793335,"('dishonest', 'honest')",1.2733033,1.2793335,0.0060302
25,0.42545858,0.47682935,"('egoistic', 'altruistic')",0.4254586,0.4768293,0.0513707
26,1.1415801,0.9539962,"('hardhearted', 'benevolent')",1.1415801,0.9539962,-0.1875839
27,1.5709643,1.4309406,"('hardhearted', 'softhearted')",1.5709643,1.4309406,-0.1400237
28,1.1829764,1.0391855,"('disloyal', 'loyal')",1.1829764,1.0391855,-0.1437909
29,-0.38118437,-0.49154016,"('unfair', 'fair')",-0.3811844,-0.4915402,-0.1103558
30,0.9564756,1.02701,"('intolerant', 'tolerant')",0.9564756,1.02701,0.0705344
31,-1.4730271,-1.534369,"('evil', 'good')",-1.4730271,-1.534369,-0.0613419
32,1.2314932,1.0965939,"('unkind', 'kind')",1.2314932,1.0965939,-0.1348993
33,-0.48801786,-0.5696318,"('wrong', 'right')",-0.4880179,-0.5696318,-0.0816139
34,3.8402987,4.054122,"('mean', 'honorable')",3.8402987,4.054122,0.2138233
35,-1.0886086,-1.3668845,"('corrupt', 'incorrupt')",-1.0886086,-1.3668845,-0.2782759
36,-1.0861577,-1.2433115,"('hostile', 'amicable')",-1.0861577,-1.2433115,-0.1571538
37,1.0389985,1.0306278,"('fake', 'genuine')",1.0389985,1.0306278,-0.0083707
38,-0.7196384,-0.6364913,"('untruthful', 'truthful')",-0.7196384,-0.6364913,0.0831471
