,domination_male,domination_female,tuple,average_male,average_female,female-male
0,-0.14621918,-0.17484255,"('unsociable', 'sociable')",-0.1462192,-0.1748426,-0.0286234
1,1.243718,1.2087839,"('unfriendly', 'friendly')",1.243718,1.2087839,-0.0349341
2,-0.190074,-0.11016998,"('unlikable', 'likable')",-0.190074,-0.11017,0.079904
3,0.8136689,0.8363153,"('repellent', 'pleasant')",0.8136689,0.8363153,0.0226464
4,-7.422373,-7.551566,"('disliked', 'liked')",-7.4223728,-7.5515661,-0.1291933
5,-0.36449635,-0.34782633,"('distant', 'outgoing')",-0.3644964,-0.3478263,0.0166701
6,0.14774078,0.11932838,"('distant', 'open')",0.1477408,0.1193284,-0.0284124
7,0.63056034,0.73739845,"('insensitive', 'sensitive')",0.6305603,0.7373984,0.1068381
8,1.0550041,0.97201437,"('unaffectionate', 'affectionate')",1.0550041,0.9720144,-0.0829897
9,1.3675286,1.3839589,"('unaffectionate', 'caring')",1.3675286,1.3839589,0.0164303
10,0.93781847,0.9927845,"('unsympathetic', 'sympathetic')",0.9378185,0.9927845,0.054966
11,1.5394198,1.5914448,"('unhelpful', 'helpful')",1.5394198,1.5914448,0.052025
12,-1.8248068,-1.829724,"('unsupportive', 'supportive')",-1.8248068,-1.829724,-0.0049172
13,-0.12784848,-0.10460146,"('impolite', 'polite')",-0.1278485,-0.1046015,0.023247
14,0.04921868,0.033558425,"('antisocial', 'social')",0.0492187,0.0335584,-0.0156603
15,-0.023103211,-0.07264033,"('boring', 'funny')",-0.0231032,-0.0726403,-0.0495371
16,-0.608858,-0.5677794,"('unpopular', 'popular')",-0.608858,-0.5677794,0.0410786
17,-0.8200383,-0.7025616,"('nasty', 'nice')",-0.8200383,-0.7025616,0.1174767
18,-0.22796273,-0.28086755,"('disagreeable', 'welcoming')",-0.2279627,-0.2808675,-0.0529048
19,-0.694182,-0.7428443,"('inhospitable', 'hospitable')",-0.694182,-0.7428443,-0.0486623
20,1.0953475,1.0390835,"('rough', 'thoughtful')",1.0953475,1.0390835,-0.056264
21,-0.32809085,-0.26585498,"('immoral', 'moral')",-0.3280908,-0.265855,0.0622358
22,-0.42777345,-0.46515822,"('untrustworthy', 'trustworthy')",-0.4277734,-0.4651582,-0.0373848
23,6.4365687,6.4823217,"('insincere', 'sincere')",6.4365687,6.4823217,0.045753
24,1.4893228,1.3897483,"('dishonest', 'honest')",1.4893228,1.3897483,-0.0995745
