,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.48111442,-0.48694488,"('unsociable', 'sociable')",0.17911609,0.21844263,-0.11756322,-0.28685892,-0.1398538,-0.1851204,-0.0452666
1,-0.94063884,-0.8074939,"('unfriendly', 'friendly')",0.6940943,0.6497603,1.923129,1.861936,0.5588615,0.5680675,0.009206
2,-0.2433522,-0.038292944,"('unlikable', 'likable')",-0.26226795,-0.021936424,0.52806854,0.7002186,0.0074828,0.2133298,0.205847
3,-1.267991,-1.0970936,"('repellent', 'pleasant')",-0.2872035,0.021410748,0.5484095,0.59387404,-0.335595,-0.1606029,0.1749921
4,-0.06280951,-0.25404796,"('disliked', 'liked')",0.41515765,0.26435634,-6.552723,-6.515767,-2.0667915,-2.1684863,-0.1016948
5,-1.081721,-1.0546491,"('distant', 'outgoing')",0.2200377,-0.03668965,-0.2812404,-0.2299826,-0.3809745,-0.4404405,-0.059466
6,-1.5192541,-1.3947539,"('distant', 'open')",-0.6059046,-0.76145124,0.31616977,0.35208336,-0.6029963,-0.601374,0.0016223
7,-0.43445182,-0.21106435,"('insensitive', 'sensitive')",-0.18155792,0.07924649,0.969692,0.9038626,0.1178941,0.2573482,0.1394541
8,0.44039235,0.4963194,"('unaffectionate', 'affectionate')",0.36398005,0.36767706,0.8270829,0.7480469,0.5438184,0.5373478,-0.0064706
9,0.49405923,0.522428,"('unaffectionate', 'caring')",0.51403373,0.47311237,1.1223049,1.0819587,0.7101326,0.6924996,-0.017633
10,-0.53708297,-0.29860783,"('unsympathetic', 'sympathetic')",-0.68605447,-0.3931249,0.019975863,-0.07009278,-0.4010538,-0.2539419,0.1471119
11,-0.16864136,-0.094334066,"('unhelpful', 'helpful')",-0.9500709,-0.7157894,2.1009157,2.1448345,0.3274011,0.4449037,0.1175026
12,0.8587887,1.0629827,"('unsupportive', 'supportive')",0.33163092,0.55978,-1.9117526,-1.8332916,-0.2404443,-0.0701763,0.170268
13,-0.090529025,-0.08636939,"('impolite', 'polite')",-0.010332424,-0.014350377,-0.07502946,-0.18341623,-0.0586303,-0.094712,-0.0360817
14,0.32550314,0.23005271,"('antisocial', 'social')",1.2229775,1.3003324,-0.35517994,-0.46028066,0.3977669,0.3567015,-0.0410654
15,0.64522123,0.43011004,"('boring', 'funny')",0.43529603,0.26103982,0.5452881,0.51326054,0.5419351,0.4014701,-0.140465
16,-0.68217516,-0.80594933,"('unpopular', 'popular')",-0.97551507,-0.9799138,0.4581986,0.51837087,-0.3998306,-0.4224974,-0.0226668
17,-0.7856042,-0.63026917,"('nasty', 'nice')",-0.4835822,-0.39633504,-0.2793349,-0.22180247,-0.5161738,-0.4161355,0.1000383
